# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.033,13.7,5,7.65,3.493,5.0,1,0.17,1.625,1.431,2.962,5.542,16.282,0.14,70.08,24.32,0.014,11.948
0.033,13.5,5,7.6,3.497,5.05,4,0.18,1.593,1.4,2.914,5.44,16.021,0.11,70.08,24.32,0.014,11.78
0.033,12.5,5,7.5,3.515,4.99,6,0.24,1.608,1.262,2.602,4.801,15.108,-0.17,70.08,24.32,0.014,10.844
0.033,12.2,5,7.4,3.52,4.99,5,0.27,1.572,1.211,2.526,4.714,14.825,-0.11,70.08,24.32,0.014,10.575
0.033,3.1,5,4.2,3.84,4.27,1,1.45,0.366,-0.044,0.409,0.828,5.786,-0.19,70.08,24.32,0.014,2.701
0.052,12.5,5,7.5,3.515,5.01,7,0.25,1.653,1.313,2.575,4.764,16.032,-0.32,70.08,24.32,0.027,10.844
0.052,11.3,5,7.3,3.537,4.93,3,0.37,1.417,1.136,2.319,4.504,14.958,0.23,70.08,24.32,0.027,9.707
0.052,10.7,5,7.3,3.548,4.87,2,0.43,1.497,1.139,2.111,4.299,14.242,0.01,70.08,24.32,0.027,9.139
0.052,10.2,5,7.2,3.559,4.85,5,0.48,1.486,1.176,2.016,4.15,13.878,-0.06,70.08,24.32,0.027,8.671
0.052,7.6,5,6.5,3.63,4.66,7,0.71,1.207,1.0,1.36,2.896,11.223,-0.61,70.08,24.32,0.027,6.325
0.052,7.2,5,6.37,3.674,4.71,8,0.63,1.028,0.842,1.03,2.463,10.746,-0.3,70.08,24.32,0.027,6.779
0.071,11.2,5,7.3,3.539,4.9,4,0.37,1.528,1.146,2.257,4.444,15.602,-0.06,70.08,24.32,0.04,9.607
0.071,10.9,5,7.3,3.544,4.86,6,0.4,1.344,1.022,2.198,4.425,15.155,0.51,70.08,24.32,0.04,9.307
0.071,7.2,5,6.5,3.644,4.61,4,0.72,1.22,1.172,1.279,2.903,11.545,0.03,70.08,24.32,0.04,5.965
0.071,7.1,5,6.5,3.648,4.59,7,0.74,1.139,0.937,1.225,2.764,11.397,-0.56,70.08,24.32,0.04,5.865
0.071,5.9,5,6.1,3.701,4.55,5,0.86,0.931,0.695,0.922,2.157,10.296,0.12,70.08,24.32,0.04,5.055
0.071,5.1,5,5.6,3.745,4.43,7,0.92,0.655,0.054,0.776,1.737,9.408,-0.58,70.08,24.32,0.04,4.383
0.071,4.1,5,4.8,3.79,4.38,2,1.2,0.552,0.052,0.6,1.328,8.438,0.08,70.08,24.32,0.04,3.542
0.071,11.0,5,7.16,3.566,5.03,8,0.26,1.517,1.172,2.329,3.746,15.239,-0.73,70.08,24.32,0.04,9.642
0.071,7.2,5,6.37,3.674,4.71,8,0.63,0.998,0.726,1.02,2.455,11.544,-0.65,70.08,24.32,0.04,6.779
0.091,10.7,5,7.3,3.548,4.87,2,0.43,1.436,1.115,2.144,4.196,15.609,0.19,70.08,24.32,0.053,9.139
0.091,10.7,5,7.3,3.548,4.87,5,0.43,1.472,1.14,2.138,4.204,15.596,0.08,70.08,24.32,0.053,9.139
0.091,9.2,5,7.1,3.582,4.74,3,0.57,1.438,1.239,1.812,3.84,14.137,-0.09,70.08,24.32,0.053,7.734
0.091,8.3,5,6.9,3.607,4.67,3,0.64,1.352,1.315,1.617,3.29,13.162,0.14,70.08,24.32,0.053,6.93
0.091,4.2,5,5.0,3.76,4.22,7,1.02,0.654,0.127,0.721,1.59,9.005,-0.02,70.08,24.32,0.053,3.547
0.091,4.4,5,5.0,3.78,4.42,3,1.13,0.583,0.058,0.645,1.445,9.349,0.02,70.08,24.32,0.053,3.81
0.091,1.4,4,3.7,3.9,3.95,2,2.0,0.193,0.137,0.212,0.476,6.248,-0.02,70.08,24.32,0.053,1.179
0.091,10.4,5,7.09,3.576,4.98,8,0.32,1.466,1.194,2.147,3.694,15.23,-0.44,70.08,24.32,0.053,9.179
0.091,7.6,5,6.51,3.655,4.73,8,0.6,1.067,0.674,1.144,2.647,12.388,-1.28,70.08,24.32,0.053,7.078
0.091,5.8,5,5.42,3.746,4.61,8,0.75,0.66,0.061,0.779,1.744,10.603,-0.57,70.08,24.32,0.053,5.637
0.111,9.9,5,7.2,3.565,4.79,2,0.51,1.478,1.207,1.958,4.125,15.177,0.0,70.08,24.32,0.065,8.371
0.111,9.8,5,7.15,3.568,4.81,7,0.52,1.501,1.206,1.978,3.842,15.103,-0.42,70.08,24.32,0.065,8.303
0.111,9.5,5,7.1,3.575,4.79,6,0.55,1.468,1.222,1.887,3.842,14.844,-0.25,70.08,24.32,0.065,8.034
0.111,9.1,5,7.0,3.585,4.77,5,0.58,1.406,1.268,1.804,3.649,14.369,0.13,70.08,24.32,0.065,7.666
0.111,8.3,5,6.9,3.607,4.67,2,0.64,1.349,1.354,1.618,3.342,13.519,0.32,70.08,24.32,0.065,6.93
0.111,8.3,5,6.9,3.607,4.67,6,0.64,1.36,1.3,1.62,3.361,13.569,0.07,70.08,24.32,0.065,6.93
0.111,8.0,5,6.7,3.616,4.66,5,0.67,1.334,1.271,1.525,3.342,13.369,0.03,70.08,24.32,0.065,6.662
0.111,7.2,5,6.5,3.644,4.62,5,0.74,1.228,1.19,1.294,2.901,12.585,0.07,70.08,24.32,0.065,5.965
0.111,7.0,5,6.5,3.652,4.61,6,0.75,1.178,1.078,1.223,2.788,12.304,-0.14,70.08,24.32,0.065,5.83
0.111,6.4,5,6.3,3.678,4.55,3,0.78,1.06,0.936,1.029,2.463,11.756,0.04,70.08,24.32,0.065,5.36
