# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.033,11.9,5,7.4,3.525,4.94,5,0.29,1.415,1.214,2.509,4.823,14.594,0.17,87.13,52.83,0.013,10.275
0.033,11.8,5,7.4,3.527,4.96,3,0.31,1.458,1.189,2.459,4.678,14.464,0.07,87.13,52.83,0.013,10.175
0.033,11.1,5,7.3,3.54,4.89,5,0.38,1.537,1.155,2.223,4.342,13.625,-0.17,87.13,52.83,0.013,9.507
0.033,10.8,5,7.3,3.546,4.89,1,0.42,1.485,1.128,2.132,4.268,13.41,0.04,87.13,52.83,0.013,9.239
0.052,12.5,5,7.5,3.515,4.99,2,0.24,1.462,1.275,2.659,5.109,16.106,0.27,87.13,52.83,0.026,10.844
0.052,12.5,5,7.5,3.515,5.01,7,0.25,1.652,1.312,2.575,4.764,16.061,-0.32,87.13,52.83,0.026,10.844
0.052,11.9,5,7.4,3.525,4.94,5,0.29,1.506,1.153,2.481,4.672,15.492,0.01,87.13,52.83,0.026,10.275
0.052,5.4,5,5.8,3.728,4.48,7,0.89,0.721,0.15,0.825,1.897,9.034,-0.69,87.13,52.83,0.026,4.651
0.052,10.8,5,7.14,3.569,5.01,8,0.28,1.488,1.191,2.261,3.753,14.418,-0.47,87.13,52.83,0.026,9.49
0.071,11.2,5,7.3,3.539,4.89,5,0.36,1.553,1.172,2.26,4.379,15.413,-0.2,87.13,52.83,0.038,9.607
0.071,10.9,5,7.3,3.544,4.86,4,0.4,1.504,1.128,2.155,4.35,15.172,0.02,87.13,52.83,0.038,9.307
0.071,10.7,5,7.3,3.548,4.87,1,0.43,1.511,1.148,2.119,4.308,14.946,-0.04,87.13,52.83,0.038,9.139
0.071,9.3,5,7.1,3.58,4.74,3,0.56,1.44,1.236,1.823,3.875,13.519,-0.06,87.13,52.83,0.038,7.834
0.071,7.3,5,6.5,3.641,4.63,3,0.72,1.234,1.195,1.309,2.938,11.557,0.06,87.13,52.83,0.038,6.065
0.071,5.5,5,5.8,3.723,4.51,3,0.94,0.793,0.364,0.849,1.966,9.81,-0.18,87.13,52.83,0.038,4.751
0.071,3.1,4,4.7,3.81,4.12,4,1.39,0.474,0.004,0.526,1.118,7.458,-0.01,87.13,52.83,0.038,2.663
0.071,7.2,5,6.37,3.674,4.71,8,0.63,0.985,0.671,1.01,2.443,11.572,-0.82,87.13,52.83,0.038,6.779
0.091,10.8,5,7.3,3.546,4.89,7,0.42,1.619,1.192,2.092,4.029,15.568,-0.8,87.13,52.83,0.048,9.239
0.091,10.6,5,7.3,3.55,4.87,3,0.43,1.457,1.145,2.122,4.13,15.372,0.1,87.13,52.83,0.048,9.039
0.091,10.5,5,7.3,3.552,4.86,7,0.45,1.578,1.191,2.077,3.969,15.414,-0.69,87.13,52.83,0.048,8.939
0.091,10.1,5,7.2,3.561,4.83,4,0.49,1.435,1.179,2.013,3.999,14.937,0.13,87.13,52.83,0.048,8.571
0.091,9.9,5,7.2,3.565,4.78,6,0.5,1.474,1.203,1.953,4.099,14.82,-0.02,87.13,52.83,0.048,8.371
