# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.033,13.7,5,7.65,3.493,5.0,3,0.17,1.678,1.351,2.969,5.332,16.28,-0.02,117.2,-13.79,0.014,11.948
0.033,12.6,5,7.5,3.513,5.01,5,0.24,1.583,1.235,2.661,4.883,15.199,-0.03,117.2,-13.79,0.014,10.944
0.033,10.4,5,7.3,3.555,4.84,1,0.46,1.47,1.154,2.05,4.17,13.082,0.03,117.2,-13.79,0.014,8.839
0.033,9.6,5,7.15,3.572,4.77,3,0.53,1.435,1.222,1.873,3.907,12.258,0.04,117.2,-13.79,0.014,8.103
0.052,12.2,5,7.4,3.52,4.99,5,0.27,1.45,1.249,2.587,4.919,15.818,0.13,117.2,-13.79,0.028,10.575
0.052,11.9,5,7.4,3.525,4.94,2,0.29,1.432,1.224,2.508,4.797,15.506,0.12,117.2,-13.79,0.028,10.275
0.052,11.9,5,7.4,3.525,4.95,7,0.3,1.576,1.204,2.416,4.583,15.419,-0.21,117.2,-13.79,0.028,10.275
0.052,11.8,5,7.4,3.527,4.96,7,0.31,1.614,1.241,2.355,4.496,15.332,-0.36,117.2,-13.79,0.028,10.175
0.052,11.7,5,7.4,3.529,4.94,3,0.31,1.445,1.204,2.441,4.664,15.242,0.1,117.2,-13.79,0.028,10.075
0.052,11.2,5,7.3,3.539,4.9,4,0.37,1.525,1.144,2.252,4.43,14.855,-0.07,117.2,-13.79,0.028,9.607
0.052,11.1,5,7.3,3.54,4.91,4,0.39,1.54,1.158,2.228,4.362,14.665,-0.15,117.2,-13.79,0.028,9.507
0.052,10.2,5,7.2,3.559,4.85,3,0.48,1.435,1.168,2.027,4.001,13.839,0.12,117.2,-13.79,0.028,8.671
0.052,10.1,5,7.2,3.561,4.83,3,0.49,1.422,1.17,2.004,3.994,13.614,0.16,117.2,-13.79,0.028,8.571
0.052,7.0,5,6.5,3.652,4.6,1,0.73,1.174,1.094,1.21,2.76,10.581,-0.07,117.2,-13.79,0.028,5.83
0.052,10.0,5,7.04,3.583,4.95,8,0.37,1.428,1.172,2.011,3.583,13.522,-0.45,117.2,-13.79,0.028,8.867
0.071,11.4,5,7.3,3.535,4.93,3,0.35,1.493,1.156,2.334,4.521,15.732,0.04,117.2,-13.79,0.042,9.807
0.071,11.1,5,7.3,3.54,4.88,4,0.37,1.459,1.143,2.248,4.334,15.44,0.11,117.2,-13.79,0.042,9.507
0.071,10.9,5,7.3,3.544,4.86,4,0.4,1.524,1.14,2.163,4.353,15.14,-0.06,117.2,-13.79,0.042,9.307
0.071,9.7,5,7.15,3.57,4.78,5,0.52,1.467,1.215,1.912,3.986,13.949,-0.09,117.2,-13.79,0.042,8.203
0.071,6.6,5,6.3,3.669,4.6,3,0.79,1.103,1.025,1.095,2.567,10.871,0.09,117.2,-13.79,0.042,5.56
0.071,5.0,5,5.5,3.76,4.5,3,1.03,0.673,0.2,0.726,1.575,9.296,0.2,117.2,-13.79,0.042,4.347
0.071,4.4,5,5.0,3.77,4.38,5,1.09,0.611,0.078,0.678,1.514,8.647,-0.04,117.2,-13.79,0.042,3.779
0.071,4.0,5,4.7,3.79,4.34,4,1.17,0.541,0.023,0.601,1.336,8.28,-0.03,117.2,-13.79,0.042,3.442
0.091,10.8,5,7.3,3.546,4.86,6,0.41,1.545,1.167,2.174,4.269,15.624,-0.21,117.2,-13.79,0.056,9.207
0.091,10.7,5,7.3,3.548,4.86,5,0.42,1.547,1.178,2.163,4.21,15.541,-0.27,117.2,-13.79,0.056,9.139
