# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.033,13.2,5,7.5,3.502,5.06,5,0.2,1.655,1.34,2.825,5.087,15.708,-0.09,73.58,45.92,0.014,11.512
0.033,13.0,5,7.5,3.506,5.03,7,0.21,1.906,1.467,2.574,4.722,15.656,-0.83,73.58,45.92,0.014,11.312
0.033,12.8,5,7.5,3.509,5.05,2,0.23,1.503,1.312,2.728,5.134,15.435,0.13,73.58,45.92,0.014,11.144
0.033,10.6,5,7.3,3.55,4.88,4,0.44,1.377,1.084,2.113,4.221,13.221,0.36,73.58,45.92,0.014,9.039
0.052,12.0,5,7.4,3.524,4.95,5,0.28,1.385,1.202,2.565,5.03,15.542,0.37,73.58,45.92,0.026,10.375
0.052,11.9,5,7.4,3.525,4.94,7,0.29,1.648,1.276,2.338,4.487,15.408,-0.47,73.58,45.92,0.026,10.275
0.052,11.9,5,7.4,3.525,4.95,3,0.3,1.522,1.15,2.472,4.652,15.481,-0.02,73.58,45.92,0.026,10.275
0.052,11.8,5,7.4,3.527,4.96,2,0.31,1.552,1.179,2.413,4.583,15.343,-0.13,73.58,45.92,0.026,10.175
0.052,11.6,5,7.3,3.531,4.95,5,0.33,1.597,1.222,2.329,4.442,15.297,-0.34,73.58,45.92,0.026,10.007
0.052,11.5,5,7.4,3.533,4.9,6,0.33,1.606,1.229,2.304,4.382,15.077,-0.4,73.58,45.92,0.026,9.875
0.052,11.3,5,7.3,3.537,4.91,2,0.35,1.439,1.154,2.313,4.461,14.806,0.15,73.58,45.92,0.026,9.707
0.052,10.8,5,7.3,3.546,4.86,5,0.41,1.562,1.184,2.192,4.152,14.425,-0.39,73.58,45.92,0.026,9.207
0.052,10.6,5,7.3,3.55,4.88,3,0.44,1.501,1.149,2.092,4.282,14.283,-0.02,73.58,45.92,0.026,9.039
0.052,10.4,5,7.3,3.555,4.84,1,0.46,1.492,1.161,2.054,4.219,13.991,-0.03,73.58,45.92,0.026,8.839
0.052,8.0,5,6.7,3.616,4.65,7,0.66,1.265,1.034,1.476,3.073,11.538,-0.7,73.58,45.92,0.026,6.662
0.052,7.6,5,6.7,3.63,4.61,7,0.69,1.208,1.01,1.359,2.902,11.271,-0.59,73.58,45.92,0.026,6.293
0.052,6.9,5,6.5,3.656,4.58,7,0.75,1.115,0.943,1.165,2.683,10.564,-0.4,73.58,45.92,0.026,5.73
0.052,4.7,5,5.2,3.75,4.35,7,0.97,0.683,0.178,0.751,1.673,8.364,-0.06,73.58,45.92,0.026,4.015
0.052,5.8,5,5.42,3.746,4.61,8,0.75,0.601,-0.107,0.77,1.73,9.353,-1.28,73.58,45.92,0.026,5.637
0.071,11.1,5,7.3,3.54,4.89,7,0.38,1.656,1.214,2.151,4.123,15.457,-0.78,73.58,45.92,0.038,9.507
0.071,11.1,5,7.3,3.54,4.91,5,0.39,1.529,1.147,2.226,4.406,15.364,-0.08,73.58,45.92,0.038,9.507
0.071,11.0,5,7.3,3.542,4.89,3,0.39,1.435,1.106,2.213,4.298,15.28,0.19,73.58,45.92,0.038,9.407
0.071,10.2,5,7.2,3.559,4.85,2,0.48,1.46,1.174,2.024,4.083,14.458,0.06,73.58,45.92,0.038,8.671
0.071,10.2,5,7.2,3.559,4.85,3,0.48,1.479,1.176,2.015,4.167,14.49,0.01,73.58,45.92,0.038,8.671
0.071,8.9,5,7.0,3.59,4.72,7,0.6,1.41,1.228,1.749,3.678,13.251,-0.17,73.58,45.92,0.038,7.466
0.071,8.4,5,6.9,3.604,4.7,5,0.64,1.356,1.315,1.641,3.312,12.668,0.16,73.58,45.92,0.038,7.03
0.071,7.8,5,6.7,3.623,4.66,5,0.68,1.298,1.22,1.445,3.267,12.012,-0.06,73.58,45.92,0.038,6.493
0.071,7.1,5,6.5,3.648,4.64,6,0.75,1.168,1.032,1.238,2.801,11.38,-0.29,73.58,45.92,0.038,5.93
0.071,9.8,5,7.01,3.588,4.93,8,0.4,1.398,1.058,1.953,3.391,14.075,-1.05,73.58,45.92,0.038,8.713
0.091,10.8,5,7.3,3.546,4.89,3,0.42,1.457,1.125,2.163,4.194,15.549,0.12,73.58,45.92,0.049,9.239
0.091,10.7,5,7.3,3.548,4.86,1,0.42,1.511,1.147,2.12,4.331,15.551,-0.01,73.58,45.92,0.049,9.139
0.091,10.6,5,7.3,3.55,4.88,1,0.44,1.502,1.152,2.1,4.298,15.38,0.01,73.58,45.92,0.049,9.039
0.091,10.0,5,7.2,3.563,4.81,2,0.5,1.481,1.195,1.979,4.116,14.896,-0.05,73.58,45.92,0.049,8.471
0.091,9.5,5,7.1,3.575,4.79,5,0.55,1.404,1.241,1.871,3.854,14.28,0.23,73.58,45.92,0.049,8.034
0.091,8.7,5,7.0,3.595,4.69,2,0.6,1.399,1.25,1.708,3.655,13.608,-0.1,73.58,45.92,0.049,7.298
0.091,8.1,5,6.7,3.613,4.66,5,0.65,1.342,1.268,1.548,3.419,12.987,0.02,73.58,45.92,0.049,6.762
0.091,6.9,5,6.5,3.656,4.57,3,0.74,1.187,1.17,1.208,2.746,11.841,0.18,73.58,45.92,0.049,5.73
0.091,4.9,5,5.4,3.76,4.45,4,1.01,0.666,0.168,0.728,1.589,9.795,0.12,73.58,45.92,0.049,4.247
0.091,4.1,5,4.8,3.78,4.33,5,1.14,0.584,0.064,0.643,1.439,9.044,0.04,73.58,45.92,0.049,3.51
