# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.033,13.6,5,7.6,3.495,5.07,5,0.18,1.682,1.378,2.949,5.291,16.177,-0.01,287.09,17.07,0.014,11.88
0.033,10.6,5,7.3,3.55,4.88,4,0.44,1.509,1.155,2.102,4.221,13.298,-0.12,287.09,17.07,0.014,9.039
0.033,7.8,5,6.7,3.623,4.66,5,0.68,1.264,1.127,1.432,3.104,10.42,-0.31,287.09,17.07,0.014,6.493
0.052,12.4,5,7.5,3.516,4.98,4,0.25,1.564,1.206,2.613,4.828,16.038,-0.02,287.09,17.07,0.027,10.744
0.052,12.0,5,7.4,3.524,4.95,7,0.28,1.77,1.31,2.313,4.423,15.621,-0.74,287.09,17.07,0.027,10.375
0.052,11.1,5,7.3,3.54,4.89,6,0.38,1.549,1.167,2.232,4.333,14.722,-0.21,287.09,17.07,0.027,9.507
0.052,9.7,5,7.15,3.57,4.79,2,0.53,1.418,1.215,1.91,3.857,13.326,0.13,287.09,17.07,0.027,8.203
0.052,9.4,5,7.1,3.577,4.77,5,0.56,1.45,1.206,1.857,3.733,12.908,-0.32,287.09,17.07,0.027,7.934
0.052,9.1,5,7.0,3.585,4.77,7,0.58,1.421,1.168,1.796,3.524,12.795,-0.53,287.09,17.07,0.027,7.666
0.052,8.7,5,7.0,3.595,4.7,5,0.61,1.391,1.243,1.699,3.633,12.324,-0.1,287.09,17.07,0.027,7.298
0.052,8.1,5,6.7,3.613,4.66,7,0.66,1.312,1.169,1.537,3.276,11.615,-0.29,287.09,17.07,0.027,6.762
0.052,4.9,5,5.4,3.76,4.44,5,1.0,0.613,0.023,0.71,1.578,8.564,-0.34,287.09,17.07,0.027,4.247
0.052,11.4,5,7.21,3.558,5.06,8,0.23,1.512,1.186,2.449,4.045,15.011,-0.27,287.09,17.07,0.027,9.94
0.071,11.4,5,7.3,3.535,4.92,2,0.34,1.56,1.181,2.31,4.449,15.715,-0.2,287.09,17.07,0.041,9.807
0.071,11.3,5,7.3,3.537,4.91,6,0.35,1.56,1.18,2.285,4.41,15.543,-0.21,287.09,17.07,0.041,9.707
0.071,11.1,5,7.3,3.54,4.89,4,0.38,1.524,1.141,2.225,4.42,15.479,-0.05,287.09,17.07,0.041,9.507
0.071,10.1,5,7.2,3.561,4.83,6,0.49,1.43,1.176,2.01,3.997,14.393,0.14,287.09,17.07,0.041,8.571
0.071,9.3,5,7.1,3.58,4.74,3,0.56,1.44,1.241,1.822,3.902,13.703,-0.02,287.09,17.07,0.041,7.834
