# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.016,13.0,5,7.5,3.506,5.03,2,0.21,1.517,1.333,2.773,5.208,14.05,0.13,302.67001,-40.88,0.0,11.312
0.033,12.7,5,7.5,3.511,5.01,2,0.23,1.648,1.317,2.645,4.843,15.227,-0.27,302.67001,-40.88,0.014,11.044
0.033,12.5,5,7.5,3.515,5.01,1,0.25,1.573,1.221,2.636,4.853,15.068,-0.02,302.67001,-40.88,0.014,10.844
0.033,7.4,5,6.5,3.637,4.62,6,0.71,1.249,1.262,1.333,2.924,9.954,0.22,302.67001,-40.88,0.014,6.125
0.033,2.9,4,4.7,3.8,4.0,4,1.45,0.486,-0.013,0.551,1.206,5.552,-0.15,302.67001,-40.88,0.014,2.439
0.052,11.4,5,7.3,3.535,4.93,2,0.35,1.573,1.195,2.3,4.406,14.985,-0.27,302.67001,-40.88,0.028,9.807
0.052,10.7,5,7.3,3.548,4.86,4,0.42,1.43,1.11,2.133,4.173,14.274,0.18,302.67001,-40.88,0.028,9.139
0.052,7.0,5,6.5,3.652,4.6,5,0.74,1.146,1.003,1.201,2.74,10.565,-0.31,302.67001,-40.88,0.028,5.83
0.052,5.3,5,5.6,3.734,4.49,5,0.94,0.741,0.266,0.811,1.843,8.865,-0.18,302.67001,-40.88,0.028,4.583
0.052,3.6,4,5.5,3.7,3.71,7,1.17,0.871,0.41,0.887,2.125,7.231,-0.6,302.67001,-40.88,0.028,2.729
0.052,8.6,5,6.8,3.617,4.8,8,0.52,1.254,0.982,1.532,3.038,12.274,-0.82,302.67001,-40.88,0.028,7.803
0.071,11.3,5,7.3,3.537,4.91,7,0.35,1.634,1.239,2.263,4.268,15.534,-0.56,302.67001,-40.88,0.042,9.707
0.071,10.7,5,7.3,3.548,4.87,3,0.43,1.506,1.144,2.115,4.327,15.083,0.0,302.67001,-40.88,0.042,9.139
0.071,10.4,5,7.3,3.555,4.84,5,0.46,1.522,1.182,2.091,4.115,14.758,-0.25,302.67001,-40.88,0.042,8.839
0.071,10.3,5,7.2,3.557,4.82,5,0.47,1.499,1.176,2.048,4.167,14.621,-0.1,302.67001,-40.88,0.042,8.739
0.071,8.8,5,7.0,3.593,4.73,3,0.61,1.403,1.232,1.728,3.657,13.159,-0.15,302.67001,-40.88,0.042,7.398
0.071,8.1,5,6.7,3.613,4.66,3,0.65,1.33,1.314,1.553,3.217,12.37,0.18,302.67001,-40.88,0.042,6.762
0.071,8.1,5,6.7,3.613,4.66,7,0.65,1.336,1.239,1.543,3.41,12.421,-0.07,302.67001,-40.88,0.042,6.762
0.071,7.8,5,6.7,3.623,4.65,2,0.67,1.294,1.207,1.446,3.245,12.092,-0.1,302.67001,-40.88,0.042,6.493
0.071,4.5,5,5.0,3.76,4.35,6,1.03,0.65,0.124,0.716,1.582,8.744,-0.02,302.67001,-40.88,0.042,3.847
0.071,0.9,3,5.8,3.68,2.73,3,1.95,1.074,0.876,0.966,2.361,5.191,-0.08,302.67001,-40.88,0.042,-0.064
0.091,10.8,5,7.3,3.546,4.86,5,0.41,1.459,1.126,2.165,4.201,15.643,0.12,302.67001,-40.88,0.055,9.207
0.091,10.1,5,7.2,3.561,4.83,3,0.49,1.495,1.192,2.013,4.11,14.94,-0.12,302.67001,-40.88,0.055,8.571
0.091,9.3,5,7.1,3.58,4.74,4,0.56,1.416,1.256,1.837,3.721,14.09,0.1,302.67001,-40.88,0.055,7.834
0.091,9.0,5,7.0,3.587,4.74,7,0.58,1.42,1.177,1.793,3.527,13.826,-0.5,302.67001,-40.88,0.055,7.566
0.091,8.6,5,7.0,3.598,4.71,7,0.62,1.378,1.19,1.693,3.476,13.381,-0.36,302.67001,-40.88,0.055,7.198
0.091,7.4,5,6.5,3.637,4.62,7,0.72,1.191,0.992,1.319,2.871,12.283,-0.56,302.67001,-40.88,0.055,6.125
0.091,7.0,5,6.5,3.652,4.6,7,0.73,1.175,1.074,1.219,2.778,11.808,-0.15,302.67001,-40.88,0.055,5.83
0.091,7.2,5,6.5,3.644,4.62,7,0.74,1.204,1.1,1.277,2.895,11.984,-0.17,302.67001,-40.88,0.055,5.965
0.091,6.7,5,6.4,3.664,4.59,6,0.79,1.102,0.956,1.118,2.614,11.649,-0.2,302.67001,-40.88,0.055,5.595
0.091,6.2,5,6.2,3.687,4.59,3,0.84,1.02,0.883,0.997,2.347,11.092,0.17,302.67001,-40.88,0.055,5.29
0.091,6.2,5,6.2,3.687,4.59,2,0.85,1.012,0.855,0.99,2.347,11.08,0.1,302.67001,-40.88,0.055,5.29
0.091,3.7,5,4.8,3.78,4.14,6,1.17,0.537,-0.058,0.646,1.459,8.643,-0.45,302.67001,-40.88,0.055,3.11
0.091,2.6,3,6.1,3.68,3.26,5,1.27,1.072,0.893,0.978,2.385,7.474,0.02,302.67001,-40.88,0.055,1.636
0.091,2.3,4,4.2,3.86,4.08,3,1.65,0.332,0.072,0.336,0.715,7.175,0.09,302.67001,-40.88,0.055,1.983
0.091,2.1,4,4.4,3.81,3.78,3,1.7,0.488,0.06,0.527,1.115,6.88,0.14,302.67001,-40.88,0.055,1.663
0.111,10.3,5,7.2,3.557,4.84,5,0.47,1.43,1.154,2.065,4.105,15.539,0.2,302.67001,-40.88,0.068,8.771
0.111,9.8,5,7.2,3.568,4.77,4,0.51,1.471,1.217,1.938,4.081,15.12,0.01,302.67001,-40.88,0.068,8.271
0.111,9.5,5,7.1,3.575,4.79,7,0.55,1.472,1.218,1.893,3.801,14.778,-0.31,302.67001,-40.88,0.068,8.034
0.111,9.0,5,7.0,3.587,4.75,1,0.59,1.429,1.25,1.777,3.806,14.204,-0.05,302.67001,-40.88,0.068,7.566
0.111,7.7,5,6.7,3.626,4.63,3,0.68,1.291,1.214,1.422,3.226,13.045,-0.08,302.67001,-40.88,0.068,6.393
0.111,7.4,5,6.5,3.637,4.62,5,0.72,1.251,1.181,1.34,3.063,12.712,-0.06,302.67001,-40.88,0.068,6.125
0.111,6.6,5,6.3,3.669,4.6,2,0.78,1.115,1.045,1.109,2.592,11.841,0.12,302.67001,-40.88,0.068,5.56
0.111,6.0,5,6.2,3.697,4.52,4,0.82,0.965,0.745,0.949,2.233,11.369,0.1,302.67001,-40.88,0.068,5.09
0.111,5.9,5,6.0,3.701,4.59,7,0.89,0.905,0.575,0.919,2.173,11.119,-0.23,302.67001,-40.88,0.068,5.12
0.111,5.5,5,5.8,3.723,4.49,2,0.91,0.821,0.433,0.861,1.996,10.862,-0.01,302.67001,-40.88,0.068,4.751
0.111,5.4,5,5.6,3.728,4.52,5,0.93,0.805,0.419,0.853,1.939,10.708,0.08,302.67001,-40.88,0.068,4.683
0.111,4.9,5,5.4,3.75,4.42,7,0.96,0.677,0.129,0.768,1.713,10.106,-0.25,302.67001,-40.88,0.068,4.215
0.111,4.3,5,4.8,3.79,4.43,2,1.17,0.558,0.051,0.611,1.354,9.531,0.06,302.67001,-40.88,0.068,3.742
0.111,4.2,5,4.8,3.79,4.4,1,1.19,0.568,0.072,0.611,1.35,9.487,0.14,302.67001,-40.88,0.068,3.642
0.111,3.3,5,4.2,3.83,4.29,2,1.39,0.417,-0.024,0.471,0.953,8.641,-0.14,302.67001,-40.88,0.068,2.869
0.111,0.0,5,2.7,4.1,4.08,1,3.38,-0.095,-0.376,-0.082,-0.268,5.336,-0.01,302.67001,-40.88,0.068,0.133
0.131,9.4,5,7.1,3.577,4.76,3,0.55,1.439,1.253,1.862,3.852,15.149,0.06,302.67001,-40.88,0.079,7.934
0.131,8.4,5,6.9,3.604,4.69,4,0.63,1.369,1.339,1.657,3.363,14.043,0.2,302.67001,-40.88,0.079,7.03
0.131,7.8,5,6.7,3.623,4.66,4,0.69,1.317,1.251,1.463,3.331,13.482,0.0,302.67001,-40.88,0.079,6.493
0.131,7.4,5,6.5,3.637,4.62,6,0.72,1.247,1.158,1.343,3.046,13.017,-0.13,302.67001,-40.88,0.079,6.125
0.131,6.4,5,6.3,3.678,4.58,2,0.81,1.076,0.988,1.048,2.483,12.082,0.16,302.67001,-40.88,0.079,5.425
0.131,6.0,5,6.1,3.697,4.56,2,0.84,0.957,0.709,0.946,2.242,11.693,-0.01,302.67001,-40.88,0.079,5.155
0.131,6.2,5,6.2,3.687,4.59,3,0.85,1.011,0.824,0.992,2.362,11.807,0.0,302.67001,-40.88,0.079,5.29
0.131,5.7,5,6.0,3.712,4.53,6,0.89,0.885,0.574,0.903,2.104,11.363,0.06,302.67001,-40.88,0.079,4.92
0.131,5.7,5,6.0,3.712,4.54,6,0.9,0.862,0.487,0.896,2.099,11.411,-0.18,302.67001,-40.88,0.079,4.92
0.131,5.6,5,5.8,3.717,4.55,7,0.93,0.838,0.445,0.882,2.055,11.2,-0.14,302.67001,-40.88,0.079,4.851
0.131,5.3,5,5.6,3.734,4.48,6,0.93,0.751,0.258,0.833,1.889,10.935,-0.25,302.67001,-40.88,0.079,4.583
0.131,5.3,5,5.6,3.734,4.49,4,0.95,0.774,0.334,0.833,1.89,10.993,-0.02,302.67001,-40.88,0.079,4.583
0.131,5.0,5,5.5,3.75,4.46,6,0.96,0.71,0.223,0.776,1.721,10.699,0.03,302.67001,-40.88,0.079,4.315
0.131,4.8,5,5.3,3.75,4.38,7,0.97,0.677,0.122,0.773,1.723,10.527,-0.29,302.67001,-40.88,0.079,4.115
0.131,5.2,5,5.5,3.74,4.52,3,0.99,0.779,0.368,0.825,1.83,10.823,0.2,302.67001,-40.88,0.079,4.515
0.131,4.8,5,5.3,3.76,4.43,5,1.01,0.678,0.184,0.74,1.614,10.502,0.14,302.67001,-40.88,0.079,4.147
0.131,5.1,5,5.5,3.745,4.49,2,1.02,0.728,0.256,0.795,1.768,10.83,0.03,302.67001,-40.88,0.079,4.415
0.131,4.7,5,5.3,3.76,4.44,3,1.06,0.66,0.126,0.731,1.618,10.281,-0.04,302.67001,-40.88,0.079,4.047
0.131,4.3,5,5.0,3.78,4.4,5,1.11,0.593,0.07,0.656,1.467,10.033,0.04,302.67001,-40.88,0.079,3.71
0.131,3.3,5,4.4,3.82,4.24,2,1.38,0.45,-0.016,0.509,1.06,9.001,-0.12,302.67001,-40.88,0.079,2.838
0.131,2.3,5,3.8,3.87,4.12,2,1.66,0.32,0.106,0.319,0.679,7.895,0.16,302.67001,-40.88,0.079,1.997
0.131,2.2,4,4.5,3.8,3.76,3,1.66,0.514,0.047,0.577,1.253,7.786,-0.02,302.67001,-40.88,0.079,1.739
0.131,2.1,4,4.2,3.87,4.05,2,1.71,0.307,0.084,0.32,0.69,7.812,-0.11,302.67001,-40.88,0.079,1.807
0.151,9.3,5,7.1,3.58,4.74,4,0.56,1.434,1.263,1.849,3.8,15.187,0.08,302.67001,-40.88,0.09,7.834
0.151,8.0,5,6.7,3.616,4.66,7,0.67,1.303,1.12,1.53,3.187,14.015,-0.46,302.67001,-40.88,0.09,6.662
0.151,7.9,5,6.7,3.62,4.64,4,0.67,1.326,1.292,1.509,3.182,13.979,0.09,302.67001,-40.88,0.09,6.562
0.151,7.5,5,6.5,3.633,4.62,2,0.7,1.281,1.268,1.387,3.019,13.398,0.14,302.67001,-40.88,0.09,6.225
0.151,7.4,5,6.5,3.637,4.61,5,0.7,1.265,1.222,1.355,3.052,13.476,0.04,302.67001,-40.88,0.09,6.125
0.151,7.4,5,6.5,3.637,4.62,3,0.72,1.268,1.255,1.362,2.984,13.435,0.14,302.67001,-40.88,0.09,6.125
0.151,7.1,5,6.5,3.648,4.63,5,0.74,1.237,1.237,1.287,2.877,13.013,0.22,302.67001,-40.88,0.09,5.93
0.151,6.3,5,6.3,3.682,4.56,2,0.83,1.042,0.887,1.018,2.429,12.347,0.03,302.67001,-40.88,0.09,5.325
0.151,6.2,5,6.2,3.687,4.58,5,0.83,1.002,0.784,0.992,2.366,12.202,-0.11,302.67001,-40.88,0.09,5.29
0.151,6.0,5,6.1,3.697,4.58,4,0.88,0.975,0.772,0.964,2.255,11.943,0.14,302.67001,-40.88,0.09,5.155
0.151,6.0,5,6.1,3.697,4.58,5,0.88,0.936,0.627,0.945,2.242,12.003,-0.25,302.67001,-40.88,0.09,5.155
0.151,5.0,5,5.5,3.75,4.46,5,0.97,0.698,0.18,0.778,1.732,10.935,-0.11,302.67001,-40.88,0.09,4.315
0.151,5.1,5,5.5,3.745,4.48,4,0.98,0.723,0.232,0.796,1.778,10.996,-0.05,302.67001,-40.88,0.09,4.415
0.151,4.5,5,5.0,3.77,4.4,6,1.04,0.616,0.061,0.698,1.559,10.43,-0.14,302.67001,-40.88,0.09,3.879
0.151,4.2,5,4.8,3.78,4.36,5,1.12,0.628,0.151,0.665,1.469,10.151,0.28,302.67001,-40.88,0.09,3.61
0.151,4.4,5,5.0,3.78,4.43,1,1.16,0.589,0.05,0.66,1.481,10.369,-0.04,302.67001,-40.88,0.09,3.81
0.151,1.3,3,6.1,3.64,2.46,7,1.16,1.214,1.074,1.273,2.897,7.299,-0.4,302.67001,-40.88,0.09,0.116
