# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.033,12.6,5,7.5,3.513,5.01,6,0.24,1.61,1.267,2.639,4.848,15.291,-0.14,116.62,14.69,0.014,10.944
0.033,12.2,5,7.4,3.52,4.99,4,0.27,1.507,1.206,2.565,4.804,14.869,0.04,116.62,14.69,0.014,10.575
0.052,11.5,5,7.4,3.533,4.9,5,0.33,1.418,1.166,2.387,4.632,15.172,0.22,116.62,14.69,0.027,9.875
0.052,10.3,5,7.2,3.557,4.82,5,0.47,1.477,1.165,2.031,4.182,13.963,0.02,116.62,14.69,0.027,8.739
0.052,9.7,5,7.15,3.57,4.79,2,0.53,1.47,1.206,1.919,3.888,13.217,-0.23,116.62,14.69,0.027,8.203
0.052,8.1,5,6.7,3.613,4.66,3,0.66,1.318,1.19,1.537,3.314,11.632,-0.22,116.62,14.69,0.027,6.762
0.052,6.4,5,6.3,3.678,4.58,4,0.81,1.05,0.937,1.017,2.433,9.912,0.07,116.62,14.69,0.027,5.425
0.052,3.8,5,4.6,3.8,4.34,3,1.24,0.504,0.003,0.557,1.219,7.309,-0.02,116.62,14.69,0.027,3.274
0.071,11.0,5,7.3,3.542,4.9,7,0.4,1.548,1.164,2.211,4.321,15.237,-0.19,116.62,14.69,0.041,9.407
0.071,10.7,5,7.3,3.548,4.86,6,0.42,1.449,1.127,2.139,4.164,15.017,0.13,116.62,14.69,0.041,9.139
0.071,10.0,5,7.2,3.563,4.81,7,0.5,1.498,1.196,2.003,3.97,14.276,-0.28,116.62,14.69,0.041,8.471
0.071,8.2,5,6.7,3.61,4.69,7,0.66,1.328,1.171,1.574,3.32,12.515,-0.31,116.62,14.69,0.041,6.862
0.071,7.0,5,6.5,3.652,4.61,4,0.75,1.159,1.034,1.209,2.757,11.325,-0.24,116.62,14.69,0.041,5.83
0.071,6.0,5,6.2,3.697,4.53,3,0.84,0.944,0.694,0.929,2.207,10.283,-0.02,116.62,14.69,0.041,5.09
0.071,6.1,5,6.2,3.692,4.56,3,0.85,0.99,0.827,0.969,2.272,10.422,0.18,116.62,14.69,0.041,5.19
0.091,10.7,5,7.3,3.548,4.86,3,0.42,1.449,1.127,2.144,4.181,15.536,0.14,116.62,14.69,0.054,9.139
0.091,10.7,5,7.3,3.548,4.87,2,0.43,1.43,1.111,2.145,4.207,15.547,0.21,116.62,14.69,0.054,9.139
0.091,10.6,5,7.3,3.55,4.88,3,0.44,1.484,1.15,2.112,4.228,15.353,0.05,116.62,14.69,0.054,9.039
0.091,10.5,5,7.3,3.552,4.86,5,0.45,1.512,1.167,2.092,4.247,15.3,-0.08,116.62,14.69,0.054,8.939
0.091,10.5,5,7.3,3.552,4.86,6,0.45,1.504,1.161,2.082,4.282,15.305,-0.01,116.62,14.69,0.054,8.939
0.091,10.4,5,7.3,3.555,4.83,5,0.45,1.474,1.163,2.07,4.173,15.226,0.05,116.62,14.69,0.054,8.839
0.091,9.8,5,7.15,3.568,4.81,3,0.52,1.446,1.213,1.941,3.954,14.627,0.07,116.62,14.69,0.054,8.303
0.091,9.1,5,7.0,3.585,4.77,1,0.58,1.399,1.268,1.799,3.655,14.021,0.17,116.62,14.69,0.054,7.666
0.091,8.7,5,7.0,3.595,4.7,1,0.61,1.391,1.285,1.713,3.556,13.65,0.06,116.62,14.69,0.054,7.298
0.091,8.1,5,6.7,3.613,4.66,6,0.65,1.328,1.201,1.548,3.345,12.878,-0.21,116.62,14.69,0.054,6.762
0.091,7.6,5,6.5,3.63,4.64,6,0.69,1.269,1.186,1.385,3.141,12.359,-0.11,116.62,14.69,0.054,6.325
0.091,7.3,5,6.5,3.641,4.63,2,0.71,1.239,1.185,1.311,2.995,12.2,0.01,116.62,14.69,0.054,6.065
0.091,5.3,5,5.6,3.734,4.47,7,0.9,0.707,0.129,0.821,1.866,10.06,-0.64,116.62,14.69,0.054,4.583
0.091,5.7,5,6.0,3.712,4.54,3,0.91,0.88,0.581,0.896,2.081,10.503,0.09,116.62,14.69,0.054,4.92
0.091,5.2,5,5.6,3.74,4.48,5,0.95,0.773,0.371,0.815,1.806,10.128,0.22,116.62,14.69,0.054,4.483
0.091,3.6,5,4.6,3.8,4.24,4,1.25,0.518,0.028,0.567,1.238,8.513,0.04,116.62,14.69,0.054,3.074
0.111,10.1,5,7.2,3.561,4.83,7,0.49,1.545,1.19,1.999,3.858,15.315,-0.68,116.62,14.69,0.067,8.571
0.111,10.0,5,7.2,3.563,4.81,4,0.5,1.465,1.198,1.989,4.072,15.281,0.05,116.62,14.69,0.067,8.471
0.111,9.7,5,7.15,3.57,4.79,5,0.53,1.47,1.224,1.915,4.057,14.959,-0.01,116.62,14.69,0.067,8.203
0.111,8.9,5,7.0,3.59,4.72,2,0.6,1.42,1.247,1.758,3.741,14.258,-0.1,116.62,14.69,0.067,7.466
0.111,8.8,5,7.0,3.593,4.7,5,0.6,1.413,1.273,1.734,3.745,14.174,0.01,116.62,14.69,0.067,7.366
0.111,8.6,5,7.0,3.598,4.71,5,0.62,1.38,1.184,1.699,3.463,13.896,-0.4,116.62,14.69,0.067,7.198
0.111,8.1,5,6.7,3.613,4.66,2,0.66,1.346,1.253,1.553,3.445,13.304,-0.05,116.62,14.69,0.067,6.762
0.111,7.8,5,6.7,3.623,4.66,2,0.68,1.308,1.283,1.468,3.107,13.001,0.11,116.62,14.69,0.067,6.493
0.111,7.6,5,6.5,3.63,4.65,2,0.7,1.287,1.293,1.404,3.039,12.935,0.2,116.62,14.69,0.067,6.325
0.111,6.8,5,6.4,3.66,4.61,7,0.76,1.097,0.894,1.147,2.663,12.009,-0.47,116.62,14.69,0.067,5.695
0.111,6.6,5,6.3,3.669,4.6,6,0.79,1.078,0.914,1.087,2.567,11.915,-0.23,116.62,14.69,0.067,5.56
0.111,5.8,5,6.0,3.707,4.55,2,0.89,0.9,0.594,0.908,2.136,11.097,-0.02,116.62,14.69,0.067,5.02
0.111,4.3,5,5.0,3.78,4.41,4,1.13,0.585,0.055,0.65,1.459,9.661,0.0,116.62,14.69,0.067,3.71
0.111,3.3,5,4.6,3.8,4.13,4,1.33,0.516,0.021,0.573,1.25,8.565,-0.03,116.62,14.69,0.067,2.774
0.111,8.4,5,6.75,3.623,4.78,8,0.54,1.259,1.047,1.467,3.027,13.695,-0.54,116.62,14.69,0.067,7.657
0.111,8.0,5,6.64,3.638,4.75,8,0.57,1.151,0.804,1.307,2.803,13.307,-1.13,116.62,14.69,0.067,7.368
0.131,9.4,5,7.1,3.577,4.76,6,0.55,1.466,1.224,1.875,3.806,14.974,-0.28,116.62,14.69,0.079,7.934
0.131,9.0,5,7.0,3.587,4.75,1,0.59,1.431,1.237,1.787,3.756,14.606,-0.15,116.62,14.69,0.079,7.566
0.131,9.0,5,7.0,3.587,4.75,2,0.59,1.432,1.252,1.782,3.812,14.67,-0.06,116.62,14.69,0.079,7.566
0.131,8.5,5,7.0,3.601,4.68,6,0.62,1.383,1.231,1.677,3.535,14.179,-0.23,116.62,14.69,0.079,7.098
0.131,7.6,5,6.5,3.63,4.65,4,0.7,1.28,1.2,1.397,3.177,13.211,-0.09,116.62,14.69,0.079,6.325
0.131,7.2,5,6.5,3.644,4.61,2,0.72,1.22,1.135,1.289,2.934,12.929,-0.1,116.62,14.69,0.079,5.965
0.131,7.0,5,6.5,3.652,4.6,2,0.74,1.182,1.078,1.228,2.799,12.691,-0.15,116.62,14.69,0.079,5.83
0.131,6.0,5,6.2,3.697,4.52,2,0.83,0.965,0.733,0.95,2.242,11.6,0.06,116.62,14.69,0.079,5.09
0.131,6.2,5,6.2,3.687,4.59,4,0.85,1.001,0.79,0.988,2.358,11.95,-0.09,116.62,14.69,0.079,5.29
0.131,5.6,5,6.0,3.717,4.49,5,0.86,0.836,0.434,0.881,2.053,11.348,-0.16,116.62,14.69,0.079,4.82
0.131,5.7,5,6.0,3.712,4.54,3,0.91,0.887,0.58,0.905,2.104,11.326,0.07,116.62,14.69,0.079,4.92
0.131,5.6,5,5.8,3.717,4.56,5,0.94,0.845,0.472,0.882,2.057,11.194,-0.07,116.62,14.69,0.079,4.851
0.131,4.9,5,5.4,3.76,4.46,3,1.03,0.695,0.225,0.741,1.608,10.587,0.26,116.62,14.69,0.079,4.247
0.131,4.2,5,5.0,3.77,4.26,6,1.08,0.617,0.072,0.694,1.546,9.959,-0.1,116.62,14.69,0.079,3.579
0.131,3.6,5,4.7,3.79,4.16,5,1.2,0.534,-0.007,0.617,1.373,9.26,-0.22,116.62,14.69,0.079,3.042
0.131,2.6,4,4.7,3.81,3.95,4,1.53,0.47,-0.006,0.542,1.158,8.305,-0.18,116.62,14.69,0.079,2.163
0.131,9.4,5,6.95,3.596,4.89,8,0.44,1.358,1.009,1.845,3.318,15.156,-1.16,116.62,14.69,0.079,8.405
0.131,9.2,5,6.91,3.601,4.87,8,0.47,1.361,1.129,1.783,3.374,14.913,-0.55,116.62,14.69,0.079,8.252
0.131,8.0,5,6.64,3.638,4.75,8,0.57,1.229,1.098,1.313,2.982,13.602,-0.25,116.62,14.69,0.079,7.368
0.151,9.3,5,7.1,3.58,4.74,1,0.56,1.456,1.256,1.842,3.956,15.226,0.0,116.62,14.69,0.091,7.834
0.151,9.3,5,7.1,3.58,4.74,3,0.56,1.42,1.268,1.851,3.782,15.235,0.16,116.62,14.69,0.091,7.834
0.151,9.1,5,7.0,3.585,4.77,6,0.58,1.437,1.263,1.807,3.836,15.135,0.02,116.62,14.69,0.091,7.666
0.151,8.8,5,7.0,3.593,4.73,3,0.61,1.42,1.256,1.747,3.735,14.72,-0.09,116.62,14.69,0.091,7.398
0.151,8.6,5,7.0,3.598,4.7,5,0.61,1.4,1.247,1.704,3.619,14.558,-0.16,116.62,14.69,0.091,7.198
0.151,8.6,5,7.0,3.598,4.71,2,0.62,1.405,1.267,1.702,3.669,14.537,-0.08,116.62,14.69,0.091,7.198
0.151,8.6,5,7.0,3.598,4.71,4,0.62,1.392,1.303,1.709,3.49,14.581,0.08,116.62,14.69,0.091,7.198
0.151,8.6,5,7.0,3.598,4.71,7,0.62,1.39,1.199,1.708,3.506,14.594,-0.36,116.62,14.69,0.091,7.198
0.151,7.8,5,6.7,3.623,4.66,3,0.68,1.314,1.232,1.467,3.311,13.738,-0.06,116.62,14.69,0.091,6.493
0.151,7.1,5,6.5,3.648,4.58,3,0.72,1.211,1.131,1.265,2.885,12.992,-0.07,116.62,14.69,0.091,5.865
0.151,6.6,5,6.3,3.669,4.59,6,0.77,1.044,0.775,1.078,2.566,12.551,-0.65,116.62,14.69,0.091,5.56
0.151,6.6,5,6.3,3.669,4.6,2,0.79,1.15,1.138,1.13,2.624,12.505,0.33,116.62,14.69,0.091,5.56
0.151,6.4,5,6.3,3.678,4.58,7,0.81,1.063,0.921,1.036,2.483,12.349,-0.01,116.62,14.69,0.091,5.425
0.151,5.5,5,5.8,3.723,4.47,2,0.87,0.823,0.42,0.871,2.015,11.532,-0.06,116.62,14.69,0.091,4.751
0.151,5.8,5,6.0,3.707,4.55,7,0.89,0.86,0.429,0.911,2.142,11.752,-0.5,116.62,14.69,0.091,5.02
0.151,5.8,5,6.0,3.707,4.56,4,0.9,0.938,0.706,0.936,2.162,11.736,0.25,116.62,14.69,0.091,5.02
0.151,4.7,5,5.2,3.77,4.46,3,1.07,0.62,0.07,0.699,1.561,10.626,-0.11,116.62,14.69,0.091,4.079
0.151,4.7,5,5.2,3.77,4.48,2,1.1,0.648,0.146,0.703,1.552,10.757,0.15,116.62,14.69,0.091,4.079
0.151,3.7,5,5.0,3.77,4.08,6,1.13,0.624,0.087,0.699,1.553,9.584,-0.06,116.62,14.69,0.091,3.079
0.151,4.3,5,4.8,3.79,4.43,1,1.17,0.595,0.116,0.627,1.371,10.31,0.27,116.62,14.69,0.091,3.742
0.151,3.7,5,4.5,3.81,4.34,2,1.3,0.507,0.032,0.546,1.16,9.612,0.12,116.62,14.69,0.091,3.206
0.151,1.9,3,6.2,3.67,2.92,5,1.31,1.08,0.785,1.044,2.519,7.936,-0.48,116.62,14.69,0.091,0.889
0.151,3.4,5,4.4,3.82,4.31,2,1.36,0.468,0.016,0.51,1.058,9.37,0.07,116.62,14.69,0.091,2.938
0.151,9.0,5,6.88,3.606,4.85,8,0.49,1.368,1.203,1.718,3.482,14.998,-0.21,116.62,14.69,0.091,8.101
0.151,7.2,5,6.37,3.674,4.71,8,0.63,0.978,0.524,1.015,2.457,13.206,-1.36,116.62,14.69,0.091,6.779
0.171,9.1,5,7.0,3.585,4.77,1,0.58,1.447,1.253,1.813,3.863,15.28,-0.07,116.62,14.69,0.103,7.666
0.171,8.5,5,7.0,3.601,4.68,4,0.63,1.392,1.314,1.69,3.491,14.747,0.07,116.62,14.69,0.103,7.098
0.171,8.4,5,6.9,3.604,4.7,6,0.64,1.373,1.202,1.66,3.46,14.586,-0.32,116.62,14.69,0.103,7.03
0.171,8.3,5,6.9,3.607,4.68,3,0.65,1.376,1.255,1.629,3.533,14.585,-0.11,116.62,14.69,0.103,6.93
0.171,7.9,5,6.7,3.62,4.68,3,0.68,1.334,1.275,1.511,3.295,14.172,0.05,116.62,14.69,0.103,6.593
0.171,7.5,5,6.5,3.633,4.62,3,0.7,1.286,1.274,1.393,3.031,13.716,0.14,116.62,14.69,0.103,6.225
0.171,7.1,5,6.5,3.648,4.58,6,0.72,1.188,1.047,1.262,2.858,13.438,-0.3,116.62,14.69,0.103,5.865
0.171,7.0,5,6.5,3.652,4.6,5,0.74,1.169,1.02,1.232,2.806,13.359,-0.32,116.62,14.69,0.103,5.83
0.171,7.0,5,6.5,3.652,4.61,2,0.75,1.209,1.16,1.25,2.836,13.334,0.06,116.62,14.69,0.103,5.83
0.171,7.0,5,6.5,3.652,4.61,5,0.75,1.162,0.997,1.23,2.801,13.322,-0.38,116.62,14.69,0.103,5.83
0.171,6.7,5,6.4,3.664,4.57,7,0.75,1.081,0.857,1.125,2.64,12.983,-0.5,116.62,14.69,0.103,5.595
0.171,6.0,5,6.1,3.697,4.58,5,0.88,0.973,0.75,0.964,2.266,12.302,0.08,116.62,14.69,0.103,5.155
0.171,5.8,5,6.0,3.707,4.55,7,0.89,0.903,0.574,0.921,2.166,11.967,-0.1,116.62,14.69,0.103,5.02
0.171,5.1,5,5.6,3.745,4.43,7,0.93,0.697,0.138,0.802,1.791,11.342,-0.35,116.62,14.69,0.103,4.383
0.171,5.0,5,5.5,3.75,4.47,5,1.0,0.706,0.192,0.783,1.743,11.277,-0.08,116.62,14.69,0.103,4.315
0.171,4.5,5,5.0,3.76,4.35,6,1.03,0.695,0.219,0.751,1.63,10.706,0.21,116.62,14.69,0.103,3.847
0.171,4.9,5,5.4,3.76,4.46,3,1.04,0.673,0.148,0.742,1.639,11.252,0.01,116.62,14.69,0.103,4.247
0.171,4.6,5,5.1,3.77,4.42,4,1.07,0.652,0.151,0.708,1.561,10.8,0.15,116.62,14.69,0.103,3.979
0.171,2.9,4,4.7,3.81,4.04,3,1.44,0.499,0.037,0.55,1.17,9.228,0.04,116.62,14.69,0.103,2.463
0.171,7.2,5,6.37,3.674,4.71,8,0.63,1.03,0.793,1.053,2.521,13.527,-0.49,116.62,14.69,0.103,6.779
0.171,6.4,5,5.93,3.716,4.66,8,0.7,0.829,0.393,0.895,2.083,12.609,-0.35,116.62,14.69,0.103,6.148
0.191,8.6,5,7.0,3.598,4.71,2,0.62,1.395,1.313,1.72,3.455,15.167,0.1,116.62,14.69,0.114,7.198
0.191,8.5,5,7.0,3.601,4.68,5,0.63,1.408,1.293,1.688,3.681,15.04,-0.02,116.62,14.69,0.114,7.098
0.191,8.4,5,6.9,3.604,4.69,6,0.63,1.375,1.202,1.665,3.461,14.963,-0.34,116.62,14.69,0.114,7.03
0.191,8.3,5,6.9,3.607,4.68,5,0.65,1.38,1.26,1.634,3.549,14.793,-0.1,116.62,14.69,0.114,6.93
0.191,8.1,5,6.7,3.613,4.66,5,0.65,1.365,1.28,1.573,3.514,14.663,0.0,116.62,14.69,0.114,6.762
0.191,8.1,5,6.7,3.613,4.66,5,0.66,1.356,1.245,1.573,3.452,14.655,-0.11,116.62,14.69,0.114,6.762
0.191,7.6,5,6.5,3.63,4.64,3,0.69,1.302,1.301,1.423,3.08,14.168,0.18,116.62,14.69,0.114,6.325
0.191,7.7,5,6.7,3.626,4.64,6,0.7,1.312,1.246,1.443,3.3,14.301,-0.02,116.62,14.69,0.114,6.393
0.191,7.6,5,6.5,3.63,4.66,6,0.71,1.273,1.151,1.408,3.125,14.104,-0.24,116.62,14.69,0.114,6.325
0.191,7.5,5,6.5,3.633,4.63,7,0.71,1.227,1.032,1.373,2.957,14.095,-0.53,116.62,14.69,0.114,6.225
0.191,6.9,5,6.5,3.656,4.59,3,0.76,1.191,1.116,1.217,2.786,13.383,0.0,116.62,14.69,0.114,5.73
0.191,6.4,5,6.3,3.678,4.59,5,0.82,1.016,0.765,1.028,2.484,12.896,-0.47,116.62,14.69,0.114,5.425
0.191,6.1,5,6.2,3.692,4.56,2,0.84,0.989,0.75,0.981,2.331,12.7,-0.07,116.62,14.69,0.114,5.19
