# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.016,13.5,5,7.6,3.497,5.05,7,0.18,1.901,1.508,2.781,4.966,14.501,-0.73,25.17,-62.15,0.0,11.78
0.016,7.2,5,6.5,3.644,4.62,6,0.73,1.173,1.044,1.251,2.819,8.283,-0.28,25.17,-62.15,0.0,5.965
0.033,12.8,5,7.5,3.509,4.99,7,0.22,1.794,1.422,2.58,4.733,15.473,-0.66,25.17,-62.15,0.014,11.112
0.033,11.6,5,7.4,3.531,4.91,4,0.32,1.439,1.194,2.406,4.611,14.113,0.11,25.17,-62.15,0.014,9.975
0.033,10.1,5,7.2,3.561,4.83,5,0.48,1.495,1.185,2.013,3.992,12.745,-0.26,25.17,-62.15,0.014,8.571
0.033,9.2,5,7.1,3.582,4.74,1,0.57,1.396,1.251,1.801,3.647,11.854,0.11,25.17,-62.15,0.014,7.734
0.033,4.9,5,5.4,3.76,4.46,4,1.03,0.64,0.113,0.705,1.56,7.466,-0.03,25.17,-62.15,0.014,4.247
0.033,2.4,5,3.7,3.88,4.2,2,1.67,0.267,0.08,0.275,0.577,4.914,0.04,25.17,-62.15,0.014,2.128
0.052,11.7,5,7.4,3.529,4.95,3,0.32,1.511,1.149,2.417,4.609,15.318,0.01,25.17,-62.15,0.028,10.075
0.052,11.6,5,7.4,3.531,4.91,6,0.32,1.545,1.17,2.361,4.521,15.199,-0.14,25.17,-62.15,0.028,9.975
0.052,11.4,5,7.3,3.535,4.93,3,0.35,1.467,1.166,2.338,4.5,14.946,0.07,25.17,-62.15,0.028,9.807
0.052,10.6,5,7.3,3.55,4.87,1,0.43,1.481,1.144,2.098,4.228,14.162,0.04,25.17,-62.15,0.028,9.039
0.052,9.7,5,7.15,3.57,4.78,4,0.52,1.459,1.214,1.9,4.012,13.347,-0.03,25.17,-62.15,0.028,8.203
0.052,9.4,5,7.1,3.577,4.76,7,0.55,1.45,1.207,1.856,3.739,13.003,-0.31,25.17,-62.15,0.028,7.934
0.052,4.6,5,5.1,3.77,4.42,4,1.07,0.601,0.059,0.673,1.503,8.115,-0.09,25.17,-62.15,0.028,3.979
0.052,9.8,5,7.01,3.588,4.93,8,0.4,1.403,1.133,1.949,3.468,13.462,-0.62,25.17,-62.15,0.028,8.713
0.071,11.4,5,7.3,3.535,4.93,2,0.35,1.439,1.167,2.354,4.538,15.803,0.16,25.17,-62.15,0.041,9.807
0.071,11.3,5,7.3,3.537,4.91,3,0.35,1.517,1.137,2.289,4.501,15.519,0.0,25.17,-62.15,0.041,9.707
0.071,11.1,5,7.3,3.54,4.91,1,0.39,1.458,1.143,2.249,4.331,15.392,0.11,25.17,-62.15,0.041,9.507
0.071,10.3,5,7.2,3.557,4.82,4,0.47,1.496,1.174,2.044,4.184,14.611,-0.07,25.17,-62.15,0.041,8.739
0.071,9.9,5,7.2,3.565,4.78,7,0.5,1.504,1.199,1.997,3.836,14.242,-0.45,25.17,-62.15,0.041,8.371
