# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.016,11.0,5,7.3,3.542,4.89,2,0.39,1.41,1.087,2.199,4.286,12.046,0.23,335.16,-44.33,0.0,9.407
0.016,9.9,5,7.2,3.565,4.79,4,0.51,1.446,1.19,1.936,4.013,10.894,0.03,335.16,-44.33,0.0,8.371
0.033,12.4,5,7.5,3.516,4.98,2,0.25,1.47,1.273,2.634,4.976,15.062,0.1,335.16,-44.33,0.014,10.744
0.033,12.1,5,7.4,3.522,4.97,2,0.28,1.566,1.202,2.492,4.671,14.69,-0.13,335.16,-44.33,0.014,10.475
0.033,12.0,5,7.4,3.524,4.95,6,0.28,1.563,1.195,2.455,4.625,14.654,-0.16,335.16,-44.33,0.014,10.375
0.033,10.1,5,7.2,3.561,4.83,4,0.49,1.414,1.164,1.999,3.988,12.643,0.18,335.16,-44.33,0.014,8.571
0.033,5.0,5,5.5,3.75,4.47,5,0.98,0.711,0.271,0.756,1.659,7.632,0.2,335.16,-44.33,0.014,4.315
0.052,12.3,5,7.4,3.518,5.0,2,0.26,1.455,1.258,2.612,4.975,15.904,0.17,335.16,-44.33,0.028,10.675
0.052,11.5,5,7.3,3.533,4.92,7,0.33,1.568,1.191,2.324,4.452,15.195,-0.24,335.16,-44.33,0.028,9.907
0.052,9.8,5,7.15,3.568,4.81,6,0.52,1.472,1.202,1.937,3.965,13.342,-0.16,335.16,-44.33,0.028,8.303
0.052,9.7,5,7.15,3.57,4.78,4,0.52,1.374,1.207,1.912,3.97,13.232,0.35,335.16,-44.33,0.028,8.203
0.052,6.0,5,6.1,3.697,4.57,2,0.87,0.931,0.662,0.923,2.193,9.594,-0.1,335.16,-44.33,0.028,5.155
0.052,4.3,5,5.0,3.76,4.27,7,1.03,0.596,-0.017,0.71,1.578,7.96,-0.48,335.16,-44.33,0.028,3.647
0.071,11.3,5,7.3,3.537,4.91,5,0.35,1.532,1.152,2.288,4.471,15.54,-0.07,335.16,-44.33,0.042,9.707
0.071,9.9,5,7.2,3.565,4.79,7,0.51,1.508,1.197,1.997,3.806,14.262,-0.51,335.16,-44.33,0.042,8.371
