# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.033,13.6,5,7.6,3.495,5.07,2,0.18,1.614,1.407,2.945,5.464,16.193,0.09,96.37,-18.19,0.014,11.88
0.033,10.9,5,7.3,3.544,4.86,2,0.4,1.423,1.083,2.167,4.222,13.475,0.2,96.37,-18.19,0.014,9.307
0.052,11.7,5,7.4,3.529,4.95,2,0.32,1.409,1.185,2.456,4.756,15.371,0.24,96.37,-18.19,0.028,10.075
0.052,11.2,5,7.3,3.539,4.89,5,0.36,1.542,1.161,2.255,4.39,14.718,-0.16,96.37,-18.19,0.028,9.607
0.052,11.2,5,7.3,3.539,4.89,7,0.36,1.618,1.226,2.25,4.225,14.837,-0.54,96.37,-18.19,0.028,9.607
0.052,11.1,5,7.3,3.54,4.88,5,0.37,1.519,1.137,2.219,4.408,14.756,-0.05,96.37,-18.19,0.028,9.507
0.052,11.2,5,7.3,3.539,4.91,4,0.38,1.492,1.14,2.26,4.431,14.785,0.04,96.37,-18.19,0.028,9.607
0.052,11.1,5,7.3,3.54,4.89,5,0.38,1.505,1.131,2.218,4.42,14.674,0.01,96.37,-18.19,0.028,9.507
0.052,9.5,5,7.1,3.575,4.79,5,0.55,1.449,1.226,1.857,3.929,13.18,-0.06,96.37,-18.19,0.028,8.034
0.052,6.6,5,6.3,3.669,4.6,5,0.79,1.109,1.054,1.097,2.558,10.172,0.17,96.37,-18.19,0.028,5.56
0.052,6.2,5,6.3,3.687,4.52,6,0.8,0.967,0.717,0.96,2.304,9.729,-0.25,96.37,-18.19,0.028,5.225
0.052,5.7,5,6.0,3.712,4.54,2,0.9,0.863,0.539,0.877,2.058,9.212,0.0,96.37,-18.19,0.028,4.92
0.052,2.3,5,3.8,3.87,4.12,2,1.66,0.295,0.068,0.3,0.645,5.863,-0.05,96.37,-18.19,0.028,1.997
0.052,11.0,5,7.16,3.566,5.03,8,0.26,1.512,1.171,2.324,3.74,14.668,-0.71,96.37,-18.19,0.028,9.642
0.071,11.6,5,7.4,3.531,4.92,2,0.33,1.512,1.145,2.391,4.591,15.814,0.01,96.37,-18.19,0.042,9.975
0.071,10.8,5,7.3,3.546,4.89,3,0.42,1.476,1.132,2.153,4.229,15.157,0.07,96.37,-18.19,0.042,9.239
0.071,10.7,5,7.3,3.548,4.87,2,0.43,1.474,1.138,2.131,4.212,15.072,0.07,96.37,-18.19,0.042,9.139
0.071,9.8,5,7.15,3.568,4.81,1,0.52,1.424,1.207,1.94,3.904,14.084,0.14,96.37,-18.19,0.042,8.303
0.071,8.3,5,6.9,3.607,4.68,5,0.65,1.363,1.266,1.603,3.531,12.675,-0.02,96.37,-18.19,0.042,6.93
0.071,6.5,5,6.3,3.673,4.57,5,0.79,1.068,0.938,1.048,2.496,10.91,-0.04,96.37,-18.19,0.042,5.46
0.071,6.6,5,6.3,3.669,4.61,5,0.8,1.102,1.02,1.094,2.565,10.896,0.07,96.37,-18.19,0.042,5.56
0.071,6.5,5,6.3,3.673,4.58,3,0.81,1.084,1.003,1.062,2.509,10.844,0.12,96.37,-18.19,0.042,5.46
0.071,6.0,5,6.1,3.697,4.57,7,0.87,0.887,0.491,0.916,2.187,10.407,-0.6,96.37,-18.19,0.042,5.155
0.071,5.7,5,6.0,3.712,4.54,3,0.91,0.88,0.587,0.893,2.071,10.11,0.12,96.37,-18.19,0.042,4.92
0.071,2.8,5,4.0,3.85,4.19,2,1.51,0.355,0.01,0.374,0.771,7.209,0.02,96.37,-18.19,0.042,2.433
0.091,9.7,5,7.15,3.57,4.79,6,0.53,1.473,1.217,1.92,3.981,14.612,-0.12,96.37,-18.19,0.056,8.203
0.091,9.3,5,7.1,3.58,4.74,7,0.56,1.451,1.209,1.85,3.707,14.121,-0.35,96.37,-18.19,0.056,7.834
0.091,7.8,5,6.7,3.623,4.66,5,0.68,1.301,1.217,1.452,3.27,12.573,-0.08,96.37,-18.19,0.056,6.493
0.091,7.4,5,6.5,3.637,4.62,4,0.72,1.256,1.24,1.348,2.951,12.265,0.12,96.37,-18.19,0.056,6.125
0.091,6.3,5,6.3,3.682,4.55,7,0.8,0.983,0.724,0.987,2.38,11.251,-0.4,96.37,-18.19,0.056,5.325
0.091,4.0,5,5.0,3.77,4.19,6,1.09,0.603,0.051,0.684,1.526,8.78,-0.15,96.37,-18.19,0.056,3.379
