# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.016,11.5,5,7.4,3.533,4.9,1,0.33,1.443,1.18,2.365,4.534,12.53,0.1,6.41,-38.47,0.0,9.875
0.016,11.4,5,7.3,3.535,4.93,2,0.35,1.521,1.145,2.301,4.464,12.336,-0.07,6.41,-38.47,0.0,9.807
0.033,13.3,5,7.6,3.5,4.99,5,0.19,1.647,1.317,2.852,5.139,15.979,-0.07,6.41,-38.47,0.014,11.58
0.033,12.4,5,7.5,3.516,4.98,2,0.25,1.568,1.212,2.6,4.806,15.051,-0.05,6.41,-38.47,0.014,10.744
0.033,12.3,5,7.4,3.518,5.0,6,0.26,1.612,1.26,2.525,4.707,14.871,-0.24,6.41,-38.47,0.014,10.675
0.033,11.5,5,7.4,3.533,4.9,4,0.33,1.436,1.179,2.375,4.567,14.186,0.13,6.41,-38.47,0.014,9.875
0.033,8.8,5,7.0,3.593,4.7,4,0.6,1.395,1.236,1.715,3.653,11.362,-0.11,6.41,-38.47,0.014,7.366
0.033,7.8,5,6.7,3.623,4.66,4,0.69,1.295,1.231,1.436,3.273,10.5,-0.01,6.41,-38.47,0.014,6.493
0.052,12.4,5,7.5,3.516,4.98,7,0.25,1.671,1.333,2.519,4.692,15.937,-0.43,6.41,-38.47,0.028,10.744
0.052,12.3,5,7.5,3.518,4.96,1,0.25,1.53,1.203,2.596,4.834,15.892,0.02,6.41,-38.47,0.028,10.644
0.052,12.1,5,7.4,3.522,4.97,1,0.28,1.478,1.218,2.551,4.817,15.665,0.07,6.41,-38.47,0.028,10.475
0.052,12.1,5,7.4,3.522,4.97,3,0.28,1.449,1.244,2.56,4.862,15.767,0.1,6.41,-38.47,0.028,10.475
0.052,12.0,5,7.4,3.524,4.97,5,0.29,1.379,1.195,2.568,5.044,15.585,0.41,6.41,-38.47,0.028,10.375
0.052,11.8,5,7.4,3.527,4.96,5,0.31,1.506,1.158,2.45,4.646,15.477,0.02,6.41,-38.47,0.028,10.175
0.052,11.5,5,7.3,3.533,4.94,5,0.34,1.485,1.16,2.363,4.549,15.077,0.04,6.41,-38.47,0.028,9.907
0.052,11.4,5,7.3,3.535,4.93,6,0.35,1.586,1.208,2.296,4.381,14.953,-0.33,6.41,-38.47,0.028,9.807
0.052,10.9,5,7.3,3.544,4.86,3,0.4,1.477,1.121,2.163,4.263,14.573,0.06,6.41,-38.47,0.028,9.307
0.052,10.4,5,7.3,3.555,4.83,6,0.45,1.529,1.185,2.099,4.05,14.078,-0.35,6.41,-38.47,0.028,8.839
0.052,9.2,5,7.1,3.582,4.74,6,0.57,1.425,1.245,1.798,3.838,12.853,0.01,6.41,-38.47,0.028,7.734
0.052,4.2,5,4.8,3.79,4.4,1,1.19,0.557,0.063,0.595,1.315,7.717,0.14,6.41,-38.47,0.028,3.642
0.052,7.6,5,6.51,3.655,4.73,8,0.6,1.072,0.76,1.144,2.652,11.269,-0.97,6.41,-38.47,0.028,7.078
0.071,11.4,5,7.3,3.535,4.93,4,0.35,1.491,1.157,2.335,4.521,15.621,0.04,6.41,-38.47,0.042,9.807
0.071,11.4,5,7.3,3.535,4.93,5,0.35,1.474,1.168,2.343,4.514,15.73,0.07,6.41,-38.47,0.042,9.807
0.071,11.3,5,7.3,3.537,4.92,5,0.36,1.446,1.159,2.32,4.469,15.646,0.14,6.41,-38.47,0.042,9.707
0.071,11.0,5,7.3,3.542,4.89,2,0.39,1.465,1.133,2.213,4.271,15.217,0.1,6.41,-38.47,0.042,9.407
0.071,10.4,5,7.3,3.555,4.84,2,0.46,1.455,1.158,2.073,4.099,14.675,0.08,6.41,-38.47,0.042,8.839
0.071,9.2,5,7.1,3.582,4.74,5,0.57,1.435,1.229,1.811,3.793,13.49,-0.15,6.41,-38.47,0.042,7.734
0.071,9.8,5,7.01,3.588,4.93,8,0.4,1.408,1.134,1.955,3.478,14.197,-0.63,6.41,-38.47,0.042,8.713
0.091,10.4,5,7.3,3.555,4.84,2,0.46,1.417,1.135,2.083,4.144,15.309,0.24,6.41,-38.47,0.055,8.839
0.091,10.1,5,7.2,3.561,4.83,5,0.48,1.498,1.193,2.017,4.09,14.901,-0.15,6.41,-38.47,0.055,8.571
0.091,10.0,5,7.2,3.563,4.81,5,0.5,1.501,1.199,2.006,3.998,14.908,-0.26,6.41,-38.47,0.055,8.471
