# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.016,14.1,5,7.65,3.486,5.06,5,0.16,1.756,1.462,3.085,5.461,15.009,-0.14,304.10999,-29.77,0.0,12.316
0.033,12.9,5,7.5,3.508,5.02,2,0.22,1.578,1.277,2.753,5.04,15.592,0.02,304.10999,-29.77,0.014,11.212
0.033,11.6,5,7.3,3.531,4.95,7,0.33,1.637,1.258,2.294,4.36,14.194,-0.51,304.10999,-29.77,0.014,10.007
0.033,9.9,5,7.2,3.565,4.79,5,0.51,1.482,1.193,1.966,3.919,12.457,-0.27,304.10999,-29.77,0.014,8.371
0.052,12.0,5,7.4,3.524,4.95,6,0.28,1.555,1.186,2.474,4.654,15.565,-0.11,304.10999,-29.77,0.028,10.375
0.052,11.7,5,7.4,3.529,4.95,2,0.32,1.476,1.177,2.43,4.636,15.225,0.05,304.10999,-29.77,0.028,10.075
0.052,11.7,5,7.4,3.529,4.95,4,0.32,1.551,1.177,2.387,4.553,15.23,-0.13,304.10999,-29.77,0.028,10.075
0.052,11.0,5,7.3,3.542,4.89,5,0.39,1.571,1.187,2.228,4.23,14.678,-0.36,304.10999,-29.77,0.028,9.407
0.052,10.8,5,7.3,3.546,4.86,6,0.41,1.524,1.149,2.148,4.286,14.402,-0.12,304.10999,-29.77,0.028,9.207
0.052,10.2,5,7.2,3.559,4.84,2,0.47,1.453,1.171,2.021,4.062,13.77,0.06,304.10999,-29.77,0.028,8.671
0.052,9.2,5,7.1,3.582,4.74,1,0.57,1.378,1.264,1.806,3.731,12.758,0.28,304.10999,-29.77,0.028,7.734
0.052,3.5,5,4.6,3.8,4.21,3,1.28,0.508,0.017,0.557,1.215,7.148,0.02,304.10999,-29.77,0.028,2.974
0.071,11.6,5,7.4,3.531,4.91,6,0.32,1.554,1.177,2.365,4.528,15.836,-0.15,304.10999,-29.77,0.042,9.975
0.071,11.5,5,7.3,3.533,4.94,1,0.34,1.522,1.145,2.355,4.557,15.732,-0.01,304.10999,-29.77,0.042,9.907
0.071,11.1,5,7.3,3.54,4.89,1,0.38,1.488,1.139,2.235,4.385,15.467,0.05,304.10999,-29.77,0.042,9.507
0.071,11.1,5,7.3,3.54,4.89,5,0.38,1.553,1.169,2.238,4.35,15.366,-0.21,304.10999,-29.77,0.042,9.507
0.071,11.1,5,7.3,3.54,4.89,7,0.38,1.566,1.182,2.244,4.316,15.398,-0.28,304.10999,-29.77,0.042,9.507
0.071,10.9,5,7.3,3.544,4.86,5,0.4,1.55,1.165,2.193,4.269,15.119,-0.24,304.10999,-29.77,0.042,9.307
0.071,10.0,5,7.2,3.563,4.81,4,0.5,1.484,1.194,1.984,4.071,14.396,-0.11,304.10999,-29.77,0.042,8.471
0.071,9.7,5,7.15,3.57,4.79,3,0.53,1.459,1.218,1.904,4.027,14.101,0.01,304.10999,-29.77,0.042,8.203
0.071,9.4,5,7.1,3.577,4.76,4,0.55,1.428,1.243,1.846,3.821,13.711,0.06,304.10999,-29.77,0.042,7.934
0.071,9.1,5,7.1,3.585,4.72,3,0.57,1.427,1.241,1.787,3.801,13.503,-0.08,304.10999,-29.77,0.042,7.634
0.071,9.1,5,7.0,3.585,4.77,5,0.58,1.427,1.234,1.789,3.794,13.325,-0.09,304.10999,-29.77,0.042,7.666
