# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.033,13.6,5,7.65,3.495,5.0,7,0.18,1.733,1.427,2.928,5.207,16.117,-0.28,340.26001,8.01,0.014,11.848
0.033,11.7,5,7.4,3.529,4.95,2,0.32,1.562,1.188,2.369,4.518,14.387,-0.19,340.26001,8.01,0.014,10.075
0.033,11.0,5,7.3,3.542,4.89,7,0.39,1.547,1.164,2.206,4.274,13.67,-0.24,340.26001,8.01,0.014,9.407
0.052,11.4,5,7.3,3.535,4.92,6,0.34,1.559,1.181,2.303,4.43,14.994,-0.21,340.26001,8.01,0.028,9.807
0.052,10.3,5,7.2,3.557,4.81,2,0.46,1.421,1.147,2.048,4.065,13.963,0.18,340.26001,8.01,0.028,8.739
0.052,10.2,5,7.2,3.559,4.85,4,0.48,1.483,1.175,2.012,4.167,13.839,-0.03,340.26001,8.01,0.028,8.671
0.052,10.0,5,7.2,3.563,4.81,1,0.5,1.465,1.189,1.967,4.096,13.595,0.01,340.26001,8.01,0.028,8.471
0.071,11.6,5,7.4,3.531,4.92,3,0.33,1.443,1.197,2.419,4.644,15.826,0.13,340.26001,8.01,0.041,9.975
0.071,11.3,5,7.3,3.537,4.92,3,0.36,1.447,1.16,2.319,4.467,15.685,0.14,340.26001,8.01,0.041,9.707
0.071,11.2,5,7.3,3.539,4.9,4,0.37,1.528,1.147,2.257,4.444,15.516,-0.07,340.26001,8.01,0.041,9.607
0.071,10.1,5,7.2,3.561,4.83,3,0.49,1.479,1.185,1.993,4.16,14.374,0.0,340.26001,8.01,0.041,8.571
0.071,10.0,5,7.2,3.563,4.81,7,0.5,1.51,1.198,2.019,3.889,14.299,-0.42,340.26001,8.01,0.041,8.471
