# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.052,12.4,5,7.5,3.516,4.98,2,0.25,1.507,1.247,2.631,4.928,15.914,0.06,217.60001,-44.36,0.028,10.744
0.052,8.0,5,6.64,3.638,4.75,8,0.57,1.145,0.832,1.291,2.782,11.622,-0.99,217.60001,-44.36,0.028,7.368
0.071,11.2,5,7.3,3.539,4.89,7,0.36,1.579,1.197,2.266,4.327,15.562,-0.33,217.60001,-44.36,0.041,9.607
0.071,11.1,5,7.3,3.54,4.91,1,0.39,1.519,1.137,2.222,4.438,15.311,-0.01,217.60001,-44.36,0.041,9.507
0.071,10.1,5,7.2,3.561,4.83,6,0.49,1.468,1.184,1.998,4.108,14.493,0.03,217.60001,-44.36,0.041,8.571
0.071,10.0,5,7.2,3.563,4.81,1,0.5,1.478,1.193,1.975,4.116,14.405,-0.03,217.60001,-44.36,0.041,8.471
0.071,9.7,5,7.15,3.57,4.79,1,0.53,1.451,1.219,1.907,3.983,13.914,0.03,217.60001,-44.36,0.041,8.203
0.071,8.0,5,6.7,3.616,4.66,4,0.67,1.32,1.303,1.522,3.174,12.402,0.16,217.60001,-44.36,0.041,6.662
0.071,7.3,5,6.5,3.641,4.64,6,0.73,1.218,1.123,1.301,2.948,11.643,-0.15,217.60001,-44.36,0.041,6.065
0.071,3.5,5,4.4,3.82,4.3,2,1.33,0.445,-0.017,0.494,1.025,7.811,-0.05,217.60001,-44.36,0.041,3.038
0.091,9.5,5,7.1,3.575,4.79,3,0.55,1.456,1.237,1.864,3.985,14.26,-0.01,217.60001,-44.36,0.054,8.034
0.091,9.4,5,7.1,3.577,4.76,3,0.55,1.403,1.252,1.855,3.818,14.161,0.23,217.60001,-44.36,0.054,7.934
0.091,8.0,5,6.7,3.616,4.66,5,0.67,1.324,1.223,1.517,3.351,12.933,-0.11,217.60001,-44.36,0.054,6.662
0.091,7.6,5,6.5,3.63,4.65,6,0.7,1.258,1.15,1.384,3.091,12.551,-0.21,217.60001,-44.36,0.054,6.325
0.091,6.9,5,6.5,3.656,4.58,4,0.75,1.18,1.147,1.205,2.746,11.825,0.13,217.60001,-44.36,0.054,5.73
0.091,4.5,5,5.0,3.78,4.44,2,1.12,0.614,0.125,0.649,1.439,9.309,0.24,217.60001,-44.36,0.054,3.91
