# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.016,15.3,5,7.74,3.463,5.11,4,0.12,1.855,1.643,3.469,6.264,16.332,0.05,232.06,-5.98,0.0,13.453
0.033,13.1,5,7.5,3.504,5.02,4,0.2,1.635,1.308,2.794,5.046,15.663,-0.08,232.06,-5.98,0.014,11.412
0.033,13.0,5,7.5,3.506,5.03,2,0.21,1.522,1.337,2.784,5.212,15.618,0.1,232.06,-5.98,0.014,11.312
0.033,10.7,5,7.3,3.548,4.87,6,0.43,1.53,1.164,2.141,4.189,13.346,-0.23,232.06,-5.98,0.014,9.139
0.033,3.4,4,4.8,3.78,4.04,6,1.2,0.566,0.043,0.629,1.406,5.975,-0.03,232.06,-5.98,0.014,2.891
0.052,12.6,5,7.5,3.513,5.01,4,0.24,1.517,1.277,2.685,5.016,16.107,0.07,232.06,-5.98,0.028,10.944
0.052,12.0,5,7.4,3.524,4.95,7,0.28,1.594,1.226,2.434,4.604,15.517,-0.25,232.06,-5.98,0.028,10.375
0.052,11.0,5,7.3,3.542,4.89,6,0.39,1.463,1.129,2.205,4.266,14.513,0.09,232.06,-5.98,0.028,9.407
0.052,10.7,5,7.3,3.548,4.87,3,0.43,1.52,1.155,2.129,4.255,14.4,-0.13,232.06,-5.98,0.028,9.139
0.052,10.0,5,7.2,3.563,4.81,7,0.5,1.515,1.189,2.001,3.818,13.608,-0.56,232.06,-5.98,0.028,8.471
0.052,8.9,5,7.0,3.59,4.72,3,0.59,1.403,1.26,1.741,3.696,12.43,0.03,232.06,-5.98,0.028,7.466
0.052,7.2,5,6.5,3.644,4.62,7,0.74,1.16,0.984,1.256,2.8,10.874,-0.46,232.06,-5.98,0.028,5.965
0.052,5.0,5,5.5,3.75,4.47,5,0.98,0.668,0.132,0.752,1.678,8.522,-0.21,232.06,-5.98,0.028,4.315
0.052,4.5,5,5.0,3.76,4.34,7,1.01,0.623,0.056,0.71,1.574,8.093,-0.23,232.06,-5.98,0.028,3.847
0.052,11.6,5,7.24,3.554,5.08,8,0.21,1.603,1.061,2.511,3.734,15.271,-1.43,232.06,-5.98,0.028,10.082
0.071,11.3,5,7.3,3.537,4.92,1,0.36,1.485,1.155,2.305,4.472,15.658,0.05,232.06,-5.98,0.042,9.707
0.071,11.0,5,7.3,3.542,4.9,7,0.4,1.627,1.206,2.172,4.119,15.289,-0.69,232.06,-5.98,0.042,9.407
0.071,10.7,5,7.3,3.548,4.87,1,0.43,1.445,1.124,2.139,4.17,15.094,0.15,232.06,-5.98,0.042,9.139
0.071,10.0,5,7.2,3.563,4.81,6,0.5,1.502,1.196,2.008,3.948,14.236,-0.32,232.06,-5.98,0.042,8.471
0.071,9.8,5,7.15,3.568,4.81,2,0.52,1.457,1.209,1.93,4.026,14.075,0.03,232.06,-5.98,0.042,8.303
0.071,2.7,4,4.6,3.82,4.02,3,1.51,0.445,0.019,0.487,1.008,6.993,0.05,232.06,-5.98,0.042,2.287
0.071,1.9,4,4.0,3.88,4.04,2,1.81,0.268,0.106,0.279,0.592,6.218,0.04,232.06,-5.98,0.042,1.631
0.091,10.5,5,7.3,3.552,4.86,7,0.45,1.524,1.175,2.107,4.2,15.332,-0.17,232.06,-5.98,0.055,8.939
0.091,10.1,5,7.2,3.561,4.83,7,0.49,1.521,1.2,2.048,3.947,14.905,-0.41,232.06,-5.98,0.055,8.571
0.091,9.7,5,7.15,3.57,4.79,2,0.53,1.439,1.223,1.919,3.905,14.557,0.08,232.06,-5.98,0.055,8.203
0.091,9.5,5,7.1,3.575,4.79,6,0.55,1.462,1.227,1.875,3.898,14.431,-0.15,232.06,-5.98,0.055,8.034
0.091,8.9,5,7.0,3.59,4.72,6,0.59,1.417,1.251,1.752,3.754,13.833,-0.06,232.06,-5.98,0.055,7.466
0.091,8.5,5,7.0,3.601,4.68,2,0.62,1.378,1.232,1.666,3.53,13.401,-0.2,232.06,-5.98,0.055,7.098
0.091,8.1,5,6.7,3.613,4.66,4,0.66,1.344,1.269,1.55,3.424,12.918,0.02,232.06,-5.98,0.055,6.762
0.091,7.9,5,6.7,3.62,4.68,7,0.68,1.268,1.062,1.474,3.071,12.726,-0.57,232.06,-5.98,0.055,6.593
0.091,7.6,5,6.5,3.63,4.65,5,0.7,1.261,1.159,1.385,3.105,12.414,-0.18,232.06,-5.98,0.055,6.325
0.091,7.2,5,6.5,3.644,4.62,7,0.73,1.213,1.132,1.28,2.915,12.023,-0.09,232.06,-5.98,0.055,5.965
0.091,6.6,5,6.3,3.669,4.6,2,0.79,1.119,1.065,1.11,2.583,11.501,0.18,232.06,-5.98,0.055,5.56
0.091,5.9,5,6.1,3.701,4.55,4,0.87,0.93,0.674,0.923,2.17,10.808,0.06,232.06,-5.98,0.055,5.055
0.091,6.0,5,6.1,3.697,4.58,7,0.88,0.894,0.506,0.923,2.2,10.778,-0.57,232.06,-5.98,0.055,5.155
0.091,5.2,5,5.5,3.74,4.52,2,1.0,0.728,0.238,0.806,1.808,10.075,-0.14,232.06,-5.98,0.055,4.515
0.091,3.9,4,5.1,3.75,4.05,7,1.05,0.658,0.088,0.763,1.699,8.686,-0.37,232.06,-5.98,0.055,3.263
0.091,4.5,5,5.0,3.78,4.45,1,1.14,0.584,0.059,0.646,1.448,9.39,0.02,232.06,-5.98,0.055,3.91
0.111,10.2,5,7.2,3.559,4.85,2,0.48,1.436,1.17,2.044,4.061,15.479,0.17,232.06,-5.98,0.069,8.671
0.111,9.9,5,7.2,3.565,4.79,4,0.51,1.483,1.208,1.965,4.102,15.294,-0.05,232.06,-5.98,0.069,8.371
0.111,9.7,5,7.15,3.57,4.79,2,0.53,1.477,1.221,1.926,3.994,14.914,-0.12,232.06,-5.98,0.069,8.203
0.111,9.5,5,7.15,3.575,4.76,2,0.54,1.47,1.224,1.889,3.837,14.7,-0.26,232.06,-5.98,0.069,8.003
0.111,9.2,5,7.1,3.582,4.74,5,0.57,1.444,1.227,1.827,3.774,14.493,-0.22,232.06,-5.98,0.069,7.734
0.111,9.0,5,7.0,3.587,4.75,7,0.59,1.426,1.213,1.789,3.664,14.228,-0.29,232.06,-5.98,0.069,7.566
0.111,8.0,5,6.7,3.616,4.66,3,0.67,1.338,1.258,1.523,3.421,13.225,-0.01,232.06,-5.98,0.069,6.662
0.111,6.9,5,6.4,3.656,4.6,1,0.74,1.156,1.039,1.192,2.735,12.217,-0.17,232.06,-5.98,0.069,5.795
0.111,6.8,5,6.4,3.66,4.61,6,0.77,1.154,1.072,1.167,2.693,12.084,0.01,232.06,-5.98,0.069,5.695
0.111,6.4,5,6.3,3.678,4.55,2,0.78,1.069,0.97,1.039,2.472,11.757,0.13,232.06,-5.98,0.069,5.36
0.111,6.2,5,6.2,3.687,4.58,5,0.82,0.998,0.789,0.984,2.349,11.396,-0.08,232.06,-5.98,0.069,5.29
0.111,5.7,5,6.0,3.712,4.55,5,0.92,0.865,0.511,0.893,2.092,11.016,-0.11,232.06,-5.98,0.069,4.92
0.111,4.5,5,5.0,3.76,4.33,7,0.98,0.635,0.063,0.727,1.611,9.879,-0.24,232.06,-5.98,0.069,3.847
0.111,5.3,5,5.6,3.734,4.51,2,0.99,0.779,0.365,0.835,1.882,10.554,0.07,232.06,-5.98,0.069,4.583
0.111,4.4,5,5.0,3.78,4.42,3,1.13,0.578,0.035,0.652,1.464,9.671,-0.08,232.06,-5.98,0.069,3.81
0.111,4.2,5,4.8,3.79,4.4,1,1.19,0.548,0.024,0.613,1.362,9.43,-0.05,232.06,-5.98,0.069,3.642
0.111,3.8,5,4.5,3.81,4.35,1,1.28,0.488,0.0,0.539,1.15,9.17,-0.01,232.06,-5.98,0.069,3.306
0.111,3.2,5,4.5,3.81,4.16,3,1.36,0.491,0.024,0.536,1.141,8.548,0.06,232.06,-5.98,0.069,2.706
0.111,2.2,4,4.6,3.79,3.73,3,1.67,0.548,0.065,0.612,1.346,7.438,0.01,232.06,-5.98,0.069,1.715
0.111,1.3,4,3.7,3.91,3.95,2,2.03,0.161,0.141,0.175,0.434,6.615,-0.04,232.06,-5.98,0.069,1.104
0.111,-0.2,4,2.9,4.06,3.93,2,3.25,-0.096,-0.324,-0.047,-0.223,5.159,0.07,232.06,-5.98,0.069,-0.101
0.131,9.8,5,7.15,3.568,4.81,7,0.52,1.49,1.216,1.959,4.019,15.426,-0.15,232.06,-5.98,0.083,8.303
0.131,9.6,5,7.15,3.572,4.78,2,0.54,1.47,1.238,1.897,4.047,15.169,0.0,232.06,-5.98,0.083,8.103
0.131,9.5,5,7.15,3.575,4.76,7,0.54,1.475,1.227,1.895,3.846,15.078,-0.27,232.06,-5.98,0.083,8.003
0.131,9.5,5,7.1,3.575,4.79,2,0.55,1.471,1.234,1.886,3.923,15.114,-0.14,232.06,-5.98,0.083,8.034
0.131,9.1,5,7.0,3.585,4.77,2,0.58,1.44,1.258,1.801,3.883,14.8,0.0,232.06,-5.98,0.083,7.666
0.131,9.0,5,7.0,3.587,4.74,7,0.58,1.43,1.205,1.799,3.629,14.638,-0.37,232.06,-5.98,0.083,7.566
0.131,8.0,5,6.7,3.616,4.66,1,0.67,1.338,1.281,1.534,3.316,13.715,0.05,232.06,-5.98,0.083,6.662
0.131,8.0,5,6.7,3.616,4.66,3,0.67,1.334,1.301,1.539,3.202,13.729,0.12,232.06,-5.98,0.083,6.662
