# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.033,12.3,5,7.5,3.518,4.98,5,0.26,1.551,1.191,2.581,4.783,14.88,-0.01,222.38,-24.24,0.014,10.644
0.033,11.8,5,7.4,3.527,4.96,2,0.31,1.517,1.145,2.438,4.616,14.363,-0.01,222.38,-24.24,0.014,10.175
0.033,7.8,5,6.7,3.623,4.66,5,0.68,1.308,1.373,1.453,3.119,10.439,0.51,222.38,-24.24,0.014,6.493
0.052,12.0,5,7.4,3.524,4.95,5,0.28,1.423,1.226,2.543,4.891,15.541,0.19,222.38,-24.24,0.028,10.375
0.052,10.3,5,7.2,3.557,4.84,7,0.47,1.532,1.193,2.09,3.965,13.852,-0.45,222.38,-24.24,0.028,8.771
0.052,7.8,5,6.7,3.623,4.66,5,0.69,1.298,1.231,1.442,3.28,11.395,-0.02,222.38,-24.24,0.028,6.493
0.052,5.4,5,5.8,3.728,4.52,2,0.96,0.815,0.462,0.839,1.904,9.025,0.21,222.38,-24.24,0.028,4.651
0.071,10.5,5,7.3,3.552,4.86,7,0.45,1.564,1.198,2.128,4.002,14.771,-0.55,222.38,-24.24,0.042,8.939
0.071,10.1,5,7.2,3.561,4.83,7,0.49,1.496,1.19,2.014,4.067,14.416,-0.17,222.38,-24.24,0.042,8.571
0.071,10.0,5,7.2,3.563,4.8,5,0.49,1.455,1.192,1.979,4.042,14.364,0.05,222.38,-24.24,0.042,8.471
0.071,10.0,5,7.2,3.563,4.81,7,0.5,1.53,1.175,1.938,3.783,14.372,-0.76,222.38,-24.24,0.042,8.471
0.071,9.9,5,7.2,3.565,4.79,2,0.51,1.447,1.201,1.958,3.991,14.306,0.06,222.38,-24.24,0.042,8.371
0.071,9.6,5,7.15,3.572,4.77,7,0.53,1.48,1.199,1.92,3.694,13.818,-0.51,222.38,-24.24,0.042,8.103
0.071,9.0,5,7.0,3.587,4.75,4,0.59,1.418,1.218,1.774,3.684,13.339,-0.22,222.38,-24.24,0.042,7.566
0.071,7.7,5,6.7,3.626,4.63,5,0.69,1.276,1.187,1.41,3.172,11.949,-0.14,222.38,-24.24,0.042,6.393
0.071,5.4,5,5.6,3.728,4.54,2,0.97,0.792,0.396,0.838,1.917,9.614,0.03,222.38,-24.24,0.042,4.683
0.071,5.1,5,5.5,3.745,4.49,3,1.01,0.72,0.262,0.784,1.735,9.486,0.08,222.38,-24.24,0.042,4.415
0.071,4.8,5,5.3,3.76,4.45,2,1.06,0.658,0.147,0.721,1.584,9.21,0.06,222.38,-24.24,0.042,4.147
0.091,10.8,5,7.3,3.546,4.86,6,0.41,1.579,1.198,2.214,4.151,15.7,-0.45,222.38,-24.24,0.055,9.207
0.091,10.6,5,7.3,3.55,4.88,4,0.44,1.403,1.104,2.128,4.231,15.402,0.31,222.38,-24.24,0.055,9.039
0.091,10.4,5,7.3,3.555,4.83,6,0.45,1.551,1.201,2.127,4.011,15.318,-0.47,222.38,-24.24,0.055,8.839
0.091,10.4,5,7.3,3.555,4.84,6,0.46,1.557,1.202,2.121,3.988,15.291,-0.53,222.38,-24.24,0.055,8.839
0.091,9.0,5,7.0,3.587,4.74,5,0.58,1.422,1.209,1.784,3.647,13.826,-0.3,222.38,-24.24,0.055,7.566
0.091,8.3,5,6.9,3.607,4.67,5,0.64,1.354,1.219,1.61,3.441,13.16,-0.2,222.38,-24.24,0.055,6.93
0.091,7.3,5,6.5,3.641,4.64,4,0.73,1.24,1.195,1.315,2.965,12.06,0.04,222.38,-24.24,0.055,6.065
0.091,7.1,5,6.5,3.648,4.59,2,0.74,1.198,1.116,1.25,2.851,12.005,-0.09,222.38,-24.24,0.055,5.865
0.091,5.2,5,5.6,3.74,4.49,5,0.96,0.765,0.347,0.815,1.808,10.025,0.17,222.38,-24.24,0.055,4.483
0.091,3.9,5,4.6,3.8,4.35,4,1.21,0.511,0.002,0.569,1.246,8.759,-0.06,222.38,-24.24,0.055,3.374
0.091,3.2,4,4.8,3.79,4.01,5,1.27,0.548,0.044,0.606,1.34,8.1,0.0,222.38,-24.24,0.055,2.715
0.091,2.7,5,3.9,3.87,4.26,2,1.58,0.31,0.063,0.316,0.675,7.524,-0.01,222.38,-24.24,0.055,2.397
0.091,9.0,5,6.88,3.606,4.85,8,0.49,1.314,1.039,1.703,3.222,13.876,-0.82,222.38,-24.24,0.055,8.101
0.111,10.0,5,7.2,3.563,4.81,3,0.5,1.487,1.2,1.986,4.139,15.365,-0.04,222.38,-24.24,0.069,8.471
