# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.016,14.1,5,7.65,3.486,5.06,7,0.16,1.806,1.511,3.089,5.391,15.115,-0.36,134.10001,-1.94,0.0,12.316
0.033,13.6,5,7.6,3.495,5.07,1,0.18,1.665,1.383,2.949,5.332,16.283,0.02,134.10001,-1.94,0.014,11.88
0.033,13.6,5,7.6,3.495,5.07,5,0.18,1.692,1.388,2.947,5.277,16.236,-0.06,134.10001,-1.94,0.014,11.88
0.033,12.4,5,7.5,3.516,4.98,6,0.25,1.507,1.24,2.624,4.908,15.043,0.06,134.10001,-1.94,0.014,10.744
0.033,11.8,5,7.4,3.527,4.96,3,0.31,1.508,1.149,2.442,4.626,14.503,0.01,134.10001,-1.94,0.014,10.175
0.052,12.3,5,7.4,3.518,5.0,6,0.26,1.525,1.218,2.597,4.847,15.9,0.03,134.10001,-1.94,0.028,10.675
0.052,11.5,5,7.3,3.533,4.94,5,0.34,1.462,1.176,2.372,4.55,15.171,0.08,134.10001,-1.94,0.028,9.907
0.052,9.8,5,7.15,3.568,4.81,4,0.52,1.468,1.203,1.931,4.001,13.337,-0.1,134.10001,-1.94,0.028,8.303
0.052,6.8,5,6.4,3.66,4.6,6,0.75,1.16,1.138,1.169,2.674,10.476,0.2,134.10001,-1.94,0.028,5.695
0.052,5.7,5,6.0,3.712,4.54,5,0.91,0.857,0.517,0.876,2.056,9.274,-0.06,134.10001,-1.94,0.028,4.92
0.052,2.7,4,4.8,3.79,3.85,5,1.39,0.554,0.089,0.595,1.305,6.249,0.17,134.10001,-1.94,0.028,2.215
0.052,9.0,5,6.88,3.606,4.85,8,0.49,1.318,1.084,1.691,3.241,12.632,-0.61,134.10001,-1.94,0.028,8.101
0.071,11.6,5,7.4,3.531,4.91,2,0.32,1.518,1.142,2.387,4.583,15.828,-0.01,134.10001,-1.94,0.041,9.975
0.071,11.6,5,7.3,3.531,4.95,2,0.33,1.436,1.19,2.42,4.65,15.866,0.15,134.10001,-1.94,0.041,10.007
0.071,11.4,5,7.3,3.535,4.93,6,0.35,1.579,1.2,2.305,4.416,15.795,-0.28,134.10001,-1.94,0.041,9.807
0.071,11.0,5,7.3,3.542,4.89,2,0.39,1.459,1.129,2.213,4.271,15.408,0.11,134.10001,-1.94,0.041,9.407
0.071,10.2,5,7.2,3.559,4.85,2,0.48,1.492,1.18,2.023,4.154,14.508,-0.07,134.10001,-1.94,0.041,8.671
0.071,10.1,5,7.2,3.561,4.83,7,0.49,1.513,1.195,2.037,3.955,14.492,-0.37,134.10001,-1.94,0.041,8.571
0.071,8.6,5,7.0,3.598,4.71,3,0.62,1.389,1.255,1.682,3.627,12.91,-0.07,134.10001,-1.94,0.041,7.198
0.071,7.2,5,6.5,3.644,4.62,7,0.73,1.164,0.986,1.262,2.811,11.515,-0.47,134.10001,-1.94,0.041,5.965
0.071,7.1,5,6.5,3.648,4.63,5,0.74,1.204,1.151,1.251,2.846,11.481,0.02,134.10001,-1.94,0.041,5.93
0.071,6.7,5,6.4,3.664,4.58,5,0.77,1.092,0.936,1.11,2.599,11.018,-0.25,134.10001,-1.94,0.041,5.595
0.071,4.9,5,5.4,3.76,4.47,2,1.05,0.633,0.073,0.716,1.588,9.249,-0.19,134.10001,-1.94,0.041,4.247
0.091,7.9,5,6.7,3.62,4.63,4,0.66,1.321,1.258,1.486,3.347,12.707,0.01,134.10001,-1.94,0.055,6.562
0.091,6.9,5,6.5,3.656,4.58,4,0.75,1.156,1.051,1.187,2.725,11.662,-0.13,134.10001,-1.94,0.055,5.73
0.091,6.5,5,6.3,3.673,4.57,3,0.79,1.079,0.965,1.057,2.512,11.401,0.02,134.10001,-1.94,0.055,5.46
0.091,6.3,5,6.3,3.682,4.56,7,0.83,0.975,0.701,0.984,2.377,11.197,-0.46,134.10001,-1.94,0.055,5.325
0.091,5.6,5,5.8,3.717,4.54,4,0.9,0.835,0.458,0.872,2.034,10.448,-0.09,134.10001,-1.94,0.055,4.851
0.111,10.1,5,7.2,3.561,4.83,2,0.49,1.482,1.191,2.007,4.156,15.313,0.02,134.10001,-1.94,0.069,8.571
0.111,10.1,5,7.2,3.561,4.83,4,0.49,1.431,1.178,2.021,4.04,15.417,0.19,134.10001,-1.94,0.069,8.571
0.111,10.0,5,7.2,3.563,4.81,2,0.5,1.384,1.172,2.003,4.111,15.289,0.37,134.10001,-1.94,0.069,8.471
0.111,9.9,5,7.2,3.565,4.79,2,0.51,1.494,1.207,1.98,4.015,15.107,-0.19,134.10001,-1.94,0.069,8.371
0.111,9.5,5,7.15,3.575,4.76,5,0.54,1.472,1.221,1.892,3.81,14.729,-0.3,134.10001,-1.94,0.069,8.003
0.111,9.5,5,7.1,3.575,4.79,5,0.55,1.465,1.232,1.879,3.926,14.796,-0.12,134.10001,-1.94,0.069,8.034
0.111,9.2,5,7.1,3.582,4.74,5,0.57,1.444,1.228,1.826,3.781,14.578,-0.2,134.10001,-1.94,0.069,7.734
0.111,7.1,5,6.5,3.648,4.59,7,0.74,1.203,1.122,1.256,2.864,12.477,-0.08,134.10001,-1.94,0.069,5.865
0.111,6.9,5,6.5,3.656,4.59,6,0.76,1.174,1.095,1.198,2.744,12.099,-0.02,134.10001,-1.94,0.069,5.73
0.111,6.4,5,6.3,3.678,4.57,2,0.78,1.043,0.877,1.022,2.458,11.753,-0.12,134.10001,-1.94,0.069,5.425
0.111,5.8,5,6.0,3.707,4.56,5,0.9,0.884,0.537,0.906,2.133,11.0,-0.18,134.10001,-1.94,0.069,5.02
0.111,5.4,5,5.8,3.728,4.5,5,0.93,0.799,0.392,0.846,1.94,10.719,0.01,134.10001,-1.94,0.069,4.651
0.111,4.1,5,4.8,3.79,4.37,4,1.16,0.566,0.069,0.612,1.351,9.438,0.12,134.10001,-1.94,0.069,3.542
0.131,9.7,5,7.15,3.57,4.78,5,0.52,1.495,1.215,1.953,3.858,15.323,-0.36,134.10001,-1.94,0.083,8.203
0.131,9.4,5,7.1,3.577,4.76,3,0.55,1.43,1.256,1.866,3.785,15.048,0.1,134.10001,-1.94,0.083,7.934
0.131,9.3,5,7.1,3.58,4.74,7,0.56,1.462,1.195,1.862,3.633,14.902,-0.53,134.10001,-1.94,0.083,7.834
0.131,8.9,5,7.0,3.59,4.72,2,0.6,1.426,1.257,1.763,3.776,14.482,-0.07,134.10001,-1.94,0.083,7.466
0.131,8.8,5,7.0,3.593,4.72,2,0.6,1.414,1.278,1.743,3.711,14.505,0.03,134.10001,-1.94,0.083,7.398
0.131,8.6,5,7.0,3.598,4.71,6,0.62,1.367,1.345,1.702,3.5,14.34,0.34,134.10001,-1.94,0.083,7.198
0.131,8.4,5,6.9,3.604,4.7,6,0.64,1.363,1.186,1.652,3.419,14.032,-0.36,134.10001,-1.94,0.083,7.03
0.131,7.8,5,6.7,3.623,4.66,2,0.69,1.307,1.214,1.463,3.278,13.561,-0.11,134.10001,-1.94,0.083,6.493
0.131,7.6,5,6.5,3.63,4.65,3,0.7,1.29,1.231,1.4,3.224,13.34,-0.01,134.10001,-1.94,0.083,6.325
