# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.033,12.4,5,7.5,3.516,4.98,3,0.25,1.58,1.226,2.59,4.79,15.019,-0.1,259.26999,-50.06,0.014,10.744
0.033,11.0,5,7.3,3.542,4.9,2,0.4,1.439,1.111,2.203,4.26,13.604,0.15,259.26999,-50.06,0.014,9.407
0.033,9.4,5,7.1,3.577,4.76,5,0.55,1.4,1.24,1.838,3.75,12.016,0.16,259.26999,-50.06,0.014,7.934
0.052,12.0,5,7.4,3.524,4.97,7,0.29,1.581,1.213,2.449,4.623,15.624,-0.2,259.26999,-50.06,0.028,10.375
0.052,11.9,5,7.4,3.525,4.95,5,0.3,1.549,1.176,2.445,4.619,15.602,-0.11,259.26999,-50.06,0.028,10.275
0.052,10.6,5,7.3,3.55,4.88,7,0.44,1.542,1.182,2.143,4.118,14.267,-0.34,259.26999,-50.06,0.028,9.039
0.052,10.0,5,7.2,3.563,4.81,2,0.5,1.472,1.189,1.966,4.117,13.685,-0.01,259.26999,-50.06,0.028,8.471
0.052,9.4,5,7.1,3.577,4.77,7,0.56,1.45,1.206,1.857,3.732,13.035,-0.32,259.26999,-50.06,0.028,7.934
0.052,4.0,5,4.8,3.78,4.24,6,1.12,0.556,0.005,0.634,1.427,7.606,-0.17,259.26999,-50.06,0.028,3.41
0.052,3.7,5,4.7,3.79,4.22,5,1.22,0.516,-0.029,0.596,1.329,7.239,-0.25,259.26999,-50.06,0.028,3.142
0.071,11.5,5,7.3,3.533,4.94,2,0.34,1.455,1.188,2.382,4.562,15.725,0.1,259.26999,-50.06,0.041,9.907
0.071,10.9,5,7.3,3.544,4.9,2,0.41,1.479,1.126,2.173,4.253,15.114,0.07,259.26999,-50.06,0.041,9.339
0.071,10.7,5,7.3,3.548,4.86,2,0.42,1.555,1.184,2.171,4.154,15.045,-0.35,259.26999,-50.06,0.041,9.139
0.071,10.5,5,7.3,3.552,4.86,7,0.45,1.529,1.179,2.113,4.144,14.888,-0.26,259.26999,-50.06,0.041,8.939
0.071,10.3,5,7.2,3.557,4.84,2,0.47,1.493,1.172,2.04,4.201,14.539,-0.04,259.26999,-50.06,0.041,8.771
0.071,10.2,5,7.2,3.559,4.85,1,0.48,1.489,1.179,2.02,4.171,14.472,-0.04,259.26999,-50.06,0.041,8.671
0.071,9.6,5,7.15,3.572,4.78,3,0.54,1.435,1.23,1.887,3.878,13.882,0.07,259.26999,-50.06,0.041,8.103
0.071,6.7,5,6.4,3.664,4.59,6,0.79,1.118,1.015,1.119,2.611,10.972,-0.03,259.26999,-50.06,0.041,5.595
0.071,6.6,5,6.3,3.669,4.61,4,0.8,1.074,0.919,1.079,2.547,10.98,-0.2,259.26999,-50.06,0.041,5.56
0.071,5.9,5,6.1,3.701,4.55,3,0.87,0.925,0.67,0.917,2.157,10.259,0.06,259.26999,-50.06,0.041,5.055
0.071,5.4,5,5.8,3.728,4.5,5,0.92,0.787,0.377,0.834,1.915,9.699,-0.01,259.26999,-50.06,0.041,4.651
0.091,10.2,5,7.2,3.559,4.85,3,0.48,1.516,1.192,2.054,4.055,15.001,-0.27,259.26999,-50.06,0.054,8.671
0.091,10.2,5,7.2,3.559,4.85,5,0.48,1.482,1.18,2.022,4.176,15.017,0.02,259.26999,-50.06,0.054,8.671
0.091,10.0,5,7.2,3.563,4.81,5,0.5,1.436,1.192,1.992,3.971,14.894,0.12,259.26999,-50.06,0.054,8.471
