# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.033,13.3,5,7.6,3.5,4.99,5,0.19,1.669,1.347,2.844,5.112,15.884,-0.16,75.54,-13.78,0.014,11.58
0.033,12.9,5,7.5,3.508,5.0,5,0.22,1.628,1.295,2.727,4.954,15.517,-0.13,75.54,-13.78,0.014,11.212
0.033,10.4,5,7.3,3.555,4.84,3,0.46,1.439,1.15,2.065,4.045,13.022,0.1,75.54,-13.78,0.014,8.839
0.033,10.0,5,7.2,3.563,4.81,4,0.5,1.461,1.185,1.962,4.084,12.578,0.01,75.54,-13.78,0.014,8.471
0.052,12.5,5,7.5,3.515,4.99,6,0.24,1.598,1.248,2.62,4.832,16.079,-0.12,75.54,-13.78,0.028,10.844
0.052,12.5,5,7.5,3.515,4.99,7,0.24,1.648,1.309,2.578,4.768,16.061,-0.31,75.54,-13.78,0.028,10.844
0.052,10.8,5,7.3,3.546,4.89,2,0.42,1.537,1.162,2.163,4.244,14.45,-0.21,75.54,-13.78,0.028,9.239
0.052,10.3,5,7.2,3.557,4.82,6,0.47,1.509,1.18,2.06,4.083,13.841,-0.23,75.54,-13.78,0.028,8.739
0.052,10.2,5,7.2,3.559,4.85,2,0.48,1.485,1.176,2.014,4.158,13.769,-0.04,75.54,-13.78,0.028,8.671
0.052,5.4,5,5.6,3.728,4.54,2,0.97,0.782,0.374,0.829,1.904,8.951,-0.02,75.54,-13.78,0.028,4.683
0.071,11.3,5,7.3,3.537,4.92,6,0.36,1.52,1.14,2.289,4.497,15.691,-0.01,75.54,-13.78,0.042,9.707
0.071,10.7,5,7.3,3.548,4.86,6,0.42,1.484,1.14,2.126,4.249,14.927,0.05,75.54,-13.78,0.042,9.139
0.071,10.1,5,7.2,3.561,4.83,5,0.49,1.485,1.186,1.999,4.136,14.453,-0.05,75.54,-13.78,0.042,8.571
0.071,9.6,5,7.15,3.572,4.78,5,0.54,1.415,1.23,1.891,3.855,13.921,0.17,75.54,-13.78,0.042,8.103
0.071,6.5,5,6.3,3.673,4.58,3,0.8,1.076,0.969,1.054,2.502,10.874,0.04,75.54,-13.78,0.042,5.46
0.071,6.2,5,6.2,3.687,4.59,6,0.85,0.97,0.721,0.968,2.318,10.512,-0.26,75.54,-13.78,0.042,5.29
0.071,5.7,5,6.0,3.712,4.52,3,0.86,0.865,0.532,0.882,2.069,10.037,-0.02,75.54,-13.78,0.042,4.92
0.071,4.2,5,4.8,3.78,4.37,3,1.15,0.601,0.102,0.64,1.427,8.595,0.18,75.54,-13.78,0.042,3.61
0.091,10.0,5,7.2,3.563,4.81,5,0.5,1.477,1.196,1.978,4.135,14.948,0.01,75.54,-13.78,0.056,8.471
0.091,9.1,5,7.0,3.585,4.77,4,0.58,1.401,1.267,1.8,3.649,13.878,0.15,75.54,-13.78,0.056,7.666
0.091,9.1,5,7.0,3.585,4.77,5,0.58,1.432,1.249,1.79,3.857,13.899,-0.01,75.54,-13.78,0.056,7.666
