# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.016,12.0,5,7.4,3.524,4.97,3,0.29,1.55,1.183,2.461,4.627,13.096,-0.11,129.12,-35.25,0.0,10.375
0.033,13.7,5,7.65,3.493,5.0,7,0.17,1.748,1.445,2.959,5.245,16.309,-0.3,129.12,-35.25,0.014,11.948
0.033,12.4,5,7.5,3.516,4.98,2,0.25,1.464,1.27,2.632,5.003,15.063,0.15,129.12,-35.25,0.014,10.744
0.033,10.5,5,7.3,3.552,4.85,1,0.44,1.434,1.136,2.086,4.085,13.195,0.13,129.12,-35.25,0.014,8.939
0.033,5.8,5,6.0,3.707,4.54,4,0.86,0.888,0.598,0.888,2.09,8.488,0.03,129.12,-35.25,0.014,5.02
0.033,5.4,5,5.8,3.728,4.5,5,0.93,0.755,0.29,0.822,1.888,7.97,-0.24,129.12,-35.25,0.014,4.651
0.033,12.0,5,7.3,3.546,5.11,8,0.19,1.518,1.146,2.631,4.309,14.692,-0.06,129.12,-35.25,0.014,10.353
0.052,11.7,5,7.4,3.529,4.94,1,0.31,1.52,1.146,2.411,4.597,15.263,-0.02,129.12,-35.25,0.028,10.075
0.052,11.2,5,7.3,3.539,4.9,4,0.37,1.531,1.151,2.253,4.415,14.824,-0.1,129.12,-35.25,0.028,9.607
0.052,7.1,5,6.5,3.648,4.64,1,0.75,1.193,1.121,1.242,2.833,10.735,-0.05,129.12,-35.25,0.028,5.93
0.052,2.8,4,4.6,3.82,4.06,3,1.47,0.435,-0.006,0.486,1.007,6.373,-0.06,129.12,-35.25,0.028,2.387
0.052,5.8,5,5.42,3.746,4.61,8,0.75,0.699,0.21,0.77,1.719,9.36,-0.07,129.12,-35.25,0.028,5.637
0.071,10.8,5,7.3,3.546,4.86,7,0.41,1.552,1.175,2.182,4.215,15.21,-0.29,129.12,-35.25,0.042,9.207
0.071,10.5,5,7.3,3.552,4.85,7,0.44,1.589,1.182,2.02,3.926,14.833,-0.83,129.12,-35.25,0.042,8.939
0.071,10.4,5,7.3,3.555,4.84,5,0.46,1.461,1.159,2.07,4.122,14.772,0.07,129.12,-35.25,0.042,8.839
0.071,8.4,5,6.9,3.604,4.7,4,0.64,1.369,1.248,1.633,3.533,12.665,-0.1,129.12,-35.25,0.042,7.03
0.071,7.6,5,6.7,3.63,4.61,2,0.69,1.278,1.258,1.391,3.021,11.891,0.09,129.12,-35.25,0.042,6.293
0.071,7.1,5,6.5,3.648,4.64,7,0.75,1.152,0.977,1.234,2.78,11.427,-0.44,129.12,-35.25,0.042,5.93
0.091,10.4,5,7.3,3.555,4.84,2,0.46,1.5,1.168,2.064,4.252,15.256,-0.02,129.12,-35.25,0.055,8.839
0.091,9.9,5,7.2,3.565,4.79,2,0.51,1.481,1.204,1.963,4.068,14.828,-0.08,129.12,-35.25,0.055,8.371
0.091,9.7,5,7.15,3.57,4.78,6,0.52,1.477,1.214,1.928,3.928,14.538,-0.21,129.12,-35.25,0.055,8.203
0.091,9.6,5,7.15,3.572,4.77,5,0.53,1.415,1.234,1.896,3.882,14.532,0.2,129.12,-35.25,0.055,8.103
0.091,9.5,5,7.1,3.575,4.79,2,0.55,1.461,1.228,1.874,3.908,14.346,-0.13,129.12,-35.25,0.055,8.034
0.091,8.3,5,6.9,3.607,4.68,4,0.65,1.353,1.306,1.619,3.282,13.228,0.11,129.12,-35.25,0.055,6.93
0.091,8.1,5,6.7,3.613,4.66,2,0.66,1.335,1.226,1.549,3.392,12.89,-0.13,129.12,-35.25,0.055,6.762
0.091,7.4,5,6.5,3.637,4.62,5,0.71,1.244,1.169,1.334,3.042,12.155,-0.08,129.12,-35.25,0.055,6.125
0.091,7.3,5,6.5,3.641,4.64,6,0.73,1.198,1.05,1.3,2.895,12.085,-0.35,129.12,-35.25,0.055,6.065
0.091,4.9,5,5.4,3.76,4.46,3,1.03,0.659,0.139,0.723,1.596,9.662,0.02,129.12,-35.25,0.055,4.247
