# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.016,15.3,5,7.74,3.463,5.11,5,0.12,1.931,1.669,3.542,6.011,16.366,-0.3,85.37,8.15,0.0,13.453
0.033,13.2,5,7.5,3.502,5.06,4,0.2,1.648,1.332,2.829,5.097,15.734,-0.06,85.37,8.15,0.014,11.512
0.033,13.1,5,7.5,3.504,5.02,5,0.2,1.673,1.359,2.772,4.996,15.706,-0.25,85.37,8.15,0.014,11.412
0.033,12.1,5,7.4,3.522,4.96,4,0.27,1.575,1.212,2.482,4.657,14.748,-0.17,85.37,8.15,0.014,10.475
0.033,11.1,5,7.3,3.54,4.89,4,0.38,1.5,1.127,2.212,4.406,13.63,0.01,85.37,8.15,0.014,9.507
0.033,10.0,5,7.2,3.563,4.81,2,0.5,1.47,1.186,1.965,4.084,12.603,-0.05,85.37,8.15,0.014,8.471
0.052,12.1,5,7.4,3.522,4.96,3,0.27,1.477,1.219,2.552,4.82,15.689,0.07,85.37,8.15,0.028,10.475
0.052,11.0,5,7.3,3.542,4.89,4,0.39,1.518,1.135,2.185,4.383,14.663,-0.04,85.37,8.15,0.028,9.407
0.052,10.4,5,7.3,3.555,4.84,4,0.46,1.491,1.161,2.052,4.227,14.067,-0.02,85.37,8.15,0.028,8.839
0.052,9.9,5,7.2,3.565,4.79,5,0.51,1.421,1.194,1.957,3.928,13.438,0.14,85.37,8.15,0.028,8.371
0.052,9.0,5,7.0,3.587,4.75,6,0.59,1.414,1.216,1.768,3.68,12.603,-0.2,85.37,8.15,0.028,7.566
0.052,8.2,5,6.9,3.61,4.65,5,0.64,1.339,1.286,1.574,3.302,11.845,0.07,85.37,8.15,0.028,6.83
0.052,6.1,5,6.2,3.692,4.57,4,0.86,0.974,0.779,0.953,2.26,9.79,0.06,85.37,8.15,0.028,5.19
0.052,5.3,5,5.6,3.734,4.51,1,0.98,0.743,0.275,0.811,1.843,8.925,-0.16,85.37,8.15,0.028,4.583
0.052,4.3,5,5.0,3.77,4.32,6,1.09,0.609,0.083,0.673,1.499,7.854,-0.01,85.37,8.15,0.028,3.679
0.052,10.2,5,7.06,3.58,4.96,8,0.35,1.443,1.144,2.074,3.545,13.833,-0.7,85.37,8.15,0.028,9.022
