# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.016,5.3,5,5.6,3.734,4.48,5,0.93,0.783,0.411,0.811,1.819,6.319,0.23,153.48,34.13,0.0,4.583
0.033,13.9,5,7.65,3.49,5.06,2,0.16,1.731,1.432,3.031,5.396,16.531,-0.1,153.48,34.13,0.014,12.148
0.033,4.7,5,5.2,3.77,4.47,2,1.08,0.607,0.083,0.667,1.489,7.401,0.01,153.48,34.13,0.014,4.079
0.052,11.9,5,7.4,3.525,4.94,6,0.29,1.586,1.214,2.404,4.567,15.53,-0.25,153.48,34.13,0.027,10.275
0.052,11.5,5,7.4,3.533,4.9,6,0.33,1.539,1.162,2.336,4.496,15.142,-0.12,153.48,34.13,0.027,9.875
0.052,10.8,5,7.3,3.546,4.86,5,0.41,1.542,1.166,2.169,4.221,14.478,-0.25,153.48,34.13,0.027,9.207
0.052,9.3,5,7.1,3.58,4.74,2,0.56,1.4,1.251,1.825,3.722,12.877,0.16,153.48,34.13,0.027,7.834
0.052,9.2,5,7.1,3.582,4.74,2,0.57,1.415,1.248,1.801,3.757,12.83,0.05,153.48,34.13,0.027,7.734
0.052,5.5,5,5.8,3.723,4.48,7,0.89,0.779,0.321,0.844,1.954,9.153,-0.29,153.48,34.13,0.027,4.751
0.052,3.9,5,4.8,3.78,4.22,5,1.17,0.536,-0.046,0.634,1.432,7.405,-0.37,153.48,34.13,0.027,3.31
0.052,3.1,4,5.0,3.77,3.88,5,1.26,0.586,0.037,0.672,1.497,6.774,-0.2,153.48,34.13,0.027,2.567
0.071,11.6,5,7.3,3.531,4.95,2,0.33,1.473,1.18,2.406,4.606,15.808,0.07,153.48,34.13,0.039,10.007
0.071,10.6,5,7.3,3.55,4.87,7,0.43,1.562,1.198,2.167,4.061,14.848,-0.47,153.48,34.13,0.039,9.039
0.071,10.6,5,7.3,3.55,4.88,2,0.44,1.461,1.144,2.115,4.146,14.867,0.09,153.48,34.13,0.039,9.039
