# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.016,13.6,5,7.65,3.495,5.0,6,0.18,1.697,1.381,2.929,5.233,14.545,-0.16,358.62,50.49,0.0,11.848
0.033,12.0,5,7.4,3.524,4.95,6,0.28,1.436,1.232,2.528,4.815,14.659,0.11,358.62,50.49,0.013,10.375
0.033,9.9,5,7.2,3.565,4.79,7,0.51,1.486,1.192,1.972,3.884,12.52,-0.33,358.62,50.49,0.013,8.371
0.052,11.2,5,7.3,3.539,4.91,7,0.38,1.556,1.175,2.256,4.358,14.811,-0.23,358.62,50.49,0.026,9.607
0.052,9.9,5,7.2,3.565,4.79,7,0.51,1.491,1.196,1.978,3.892,13.581,-0.34,358.62,50.49,0.026,8.371
0.052,9.3,5,7.1,3.58,4.74,3,0.56,1.404,1.25,1.825,3.707,12.969,0.13,358.62,50.49,0.026,7.834
0.052,8.5,5,7.0,3.601,4.68,6,0.63,1.368,1.224,1.654,3.501,12.145,-0.2,358.62,50.49,0.026,7.098
0.071,11.2,5,7.3,3.539,4.89,6,0.36,1.596,1.213,2.267,4.284,15.526,-0.42,358.62,50.49,0.038,9.607
0.071,10.7,5,7.3,3.548,4.86,5,0.42,1.525,1.159,2.136,4.256,14.909,-0.14,358.62,50.49,0.038,9.139
0.071,10.7,5,7.3,3.548,4.87,7,0.43,1.524,1.159,2.135,4.261,14.968,-0.13,358.62,50.49,0.038,9.139
0.071,10.5,5,7.3,3.552,4.86,7,0.45,1.522,1.174,2.104,4.168,14.866,-0.2,358.62,50.49,0.038,8.939
0.071,10.4,5,7.3,3.555,4.84,5,0.46,1.498,1.166,2.061,4.218,14.723,-0.06,358.62,50.49,0.038,8.839
0.071,10.4,5,7.3,3.555,4.84,6,0.46,1.438,1.15,2.075,4.08,14.642,0.13,358.62,50.49,0.038,8.839
0.071,9.3,5,7.1,3.58,4.74,3,0.56,1.408,1.253,1.83,3.717,13.541,0.12,358.62,50.49,0.038,7.834
0.071,8.5,5,7.0,3.601,4.68,2,0.63,1.383,1.272,1.657,3.609,12.844,-0.03,358.62,50.49,0.038,7.098
0.071,7.2,5,6.5,3.644,4.62,7,0.74,1.164,0.988,1.26,2.81,11.53,-0.46,358.62,50.49,0.038,5.965
0.071,6.1,5,6.2,3.692,4.55,3,0.83,0.964,0.728,0.949,2.263,10.351,-0.08,358.62,50.49,0.038,5.19
0.071,4.6,5,5.1,3.77,4.42,5,1.06,0.598,0.044,0.677,1.514,8.872,-0.15,358.62,50.49,0.038,3.979
0.071,2.9,5,4.2,3.84,4.21,2,1.48,0.382,-0.012,0.416,0.84,7.112,-0.02,358.62,50.49,0.038,2.501
0.071,0.6,3,3.4,3.96,3.84,2,2.46,0.017,0.041,0.039,0.123,4.979,-0.05,358.62,50.49,0.038,0.524
0.091,10.6,5,7.3,3.55,4.87,6,0.43,1.515,1.16,2.111,4.271,15.453,-0.08,358.62,50.49,0.049,9.039
0.091,10.6,5,7.3,3.55,4.88,6,0.44,1.518,1.163,2.114,4.261,15.393,-0.1,358.62,50.49,0.049,9.039
0.091,9.7,5,7.15,3.57,4.79,7,0.53,1.482,1.207,1.936,3.848,14.536,-0.33,358.62,50.49,0.049,8.203
0.091,7.2,5,6.5,3.644,4.62,3,0.73,1.211,1.13,1.277,2.91,12.063,-0.09,358.62,50.49,0.049,5.965
0.091,6.6,5,6.3,3.669,4.6,2,0.79,1.104,1.014,1.095,2.569,11.534,0.05,358.62,50.49,0.049,5.56
0.091,4.8,5,5.3,3.76,4.42,5,1.0,0.621,0.033,0.719,1.596,9.684,-0.33,358.62,50.49,0.049,4.147
0.091,4.8,5,5.3,3.76,4.44,4,1.04,0.633,0.068,0.719,1.594,9.583,-0.21,358.62,50.49,0.049,4.147
0.091,4.8,5,5.3,3.76,4.45,2,1.06,0.662,0.153,0.725,1.59,9.73,0.07,358.62,50.49,0.049,4.147
0.091,0.7,3,3.6,3.92,3.8,2,2.34,0.11,0.146,0.118,0.348,5.472,0.07,358.62,50.49,0.049,0.528
0.091,4.2,5,4.73,3.793,4.26,8,0.88,0.483,-0.101,0.596,1.332,8.947,-0.62,358.62,50.49,0.049,4.108
0.111,10.2,5,7.2,3.559,4.85,4,0.48,1.469,1.18,2.03,4.114,15.467,0.05,358.62,50.49,0.058,8.671
0.111,9.9,5,7.2,3.565,4.78,4,0.5,1.474,1.205,1.956,4.11,15.228,0.0,358.62,50.49,0.058,8.371
0.111,9.7,5,7.15,3.57,4.78,5,0.52,1.48,1.214,1.931,3.913,15.007,-0.23,358.62,50.49,0.058,8.203
0.111,9.6,5,7.15,3.572,4.77,5,0.53,1.464,1.229,1.891,3.991,14.909,-0.05,358.62,50.49,0.058,8.103
0.111,9.5,5,7.1,3.575,4.79,7,0.55,1.432,1.242,1.873,3.83,14.733,0.08,358.62,50.49,0.058,8.034
0.111,9.2,5,7.1,3.582,4.74,7,0.57,1.44,1.141,1.76,3.527,14.441,-0.79,358.62,50.49,0.058,7.734
0.111,8.9,5,7.0,3.59,4.72,4,0.59,1.41,1.269,1.754,3.698,14.101,0.04,358.62,50.49,0.058,7.466
