# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.033,13.6,5,7.65,3.495,5.03,4,0.18,1.681,1.365,2.943,5.278,16.242,-0.05,154.71001,54.6,0.013,11.848
0.033,13.5,5,7.6,3.497,5.05,2,0.18,1.676,1.364,2.916,5.233,16.192,-0.05,154.71001,54.6,0.013,11.78
0.033,10.6,5,7.3,3.55,4.88,3,0.44,1.5,1.149,2.091,4.255,13.23,-0.05,154.71001,54.6,0.013,9.039
0.033,8.1,5,6.7,3.613,4.66,5,0.65,1.3,1.138,1.531,3.214,10.797,-0.37,154.71001,54.6,0.013,6.762
0.033,6.3,5,6.3,3.682,4.56,6,0.83,1.002,0.816,0.98,2.354,8.938,-0.11,154.71001,54.6,0.013,5.325
0.052,12.3,5,7.5,3.518,4.98,1,0.26,1.574,1.216,2.568,4.769,15.897,-0.09,154.71001,54.6,0.026,10.644
0.052,12.0,5,7.4,3.524,4.95,3,0.28,1.425,1.226,2.541,4.881,15.506,0.18,154.71001,54.6,0.026,10.375
0.052,10.9,5,7.3,3.544,4.86,5,0.4,1.471,1.119,2.165,4.243,14.556,0.07,154.71001,54.6,0.026,9.307
0.052,8.6,5,7.0,3.598,4.71,5,0.62,1.37,1.185,1.681,3.456,12.133,-0.35,154.71001,54.6,0.026,7.198
0.052,8.1,5,6.7,3.613,4.66,2,0.66,1.336,1.254,1.537,3.429,11.762,-0.01,154.71001,54.6,0.026,6.762
0.052,5.1,5,5.5,3.745,4.48,3,1.0,0.696,0.193,0.77,1.721,8.766,-0.12,154.71001,54.6,0.026,4.415
0.052,4.9,5,5.4,3.76,4.44,5,1.0,0.641,0.107,0.71,1.571,8.439,-0.06,154.71001,54.6,0.026,4.247
0.052,3.6,4,5.4,3.74,3.88,7,1.11,0.687,0.122,0.792,1.776,7.241,-0.43,154.71001,54.6,0.026,2.916
0.071,11.2,5,7.3,3.539,4.89,6,0.36,1.522,1.141,2.255,4.45,15.565,-0.04,154.71001,54.6,0.038,9.607
0.071,11.2,5,7.3,3.539,4.9,5,0.37,1.536,1.155,2.257,4.421,15.449,-0.11,154.71001,54.6,0.038,9.607
