# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.033,11.2,5,7.3,3.539,4.9,2,0.37,1.461,1.146,2.266,4.381,13.812,0.08,68.57,35.41,0.014,9.607
0.033,10.3,5,7.2,3.557,4.81,7,0.46,1.54,1.186,2.056,3.901,12.873,-0.59,68.57,35.41,0.014,8.739
0.033,10.1,5,7.2,3.561,4.83,4,0.49,1.421,1.169,1.999,3.974,12.626,0.15,68.57,35.41,0.014,8.571
0.033,5.8,5,6.0,3.707,4.54,3,0.86,0.896,0.631,0.896,2.09,8.411,0.11,68.57,35.41,0.014,5.02
0.052,12.4,5,7.5,3.516,4.98,1,0.25,1.575,1.218,2.603,4.814,16.046,-0.06,68.57,35.41,0.027,10.744
0.052,11.8,5,7.4,3.527,4.96,3,0.31,1.464,1.191,2.464,4.689,15.379,0.07,68.57,35.41,0.027,10.175
0.052,11.8,5,7.4,3.527,4.96,4,0.31,1.538,1.165,2.427,4.604,15.462,-0.07,68.57,35.41,0.027,10.175
0.052,11.7,5,7.4,3.529,4.94,2,0.31,1.529,1.155,2.403,4.583,15.399,-0.05,68.57,35.41,0.027,10.075
0.052,11.6,5,7.4,3.531,4.91,2,0.32,1.419,1.18,2.42,4.686,15.224,0.21,68.57,35.41,0.027,9.975
0.052,10.9,5,7.3,3.544,4.9,2,0.41,1.543,1.16,2.183,4.269,14.548,-0.21,68.57,35.41,0.027,9.339
0.052,10.7,5,7.3,3.548,4.86,4,0.42,1.469,1.134,2.124,4.202,14.249,0.07,68.57,35.41,0.027,9.139
0.052,9.7,5,7.15,3.57,4.79,2,0.53,1.465,1.208,1.911,3.934,13.381,-0.15,68.57,35.41,0.027,8.203
0.052,9.4,5,7.1,3.577,4.77,4,0.56,1.425,1.238,1.839,3.823,13.07,0.05,68.57,35.41,0.027,7.934
0.052,5.1,5,5.5,3.745,4.49,2,1.01,0.707,0.227,0.77,1.721,8.707,-0.01,68.57,35.41,0.027,4.415
0.052,4.1,5,4.8,3.79,4.39,2,1.21,0.531,0.003,0.595,1.325,7.689,-0.09,68.57,35.41,0.027,3.542
0.071,11.6,5,7.4,3.531,4.92,5,0.33,1.561,1.185,2.359,4.514,15.853,-0.18,68.57,35.41,0.039,9.975
0.071,11.2,5,7.3,3.539,4.9,5,0.37,1.57,1.189,2.263,4.344,15.409,-0.29,68.57,35.41,0.039,9.607
0.071,10.7,5,7.3,3.548,4.87,4,0.43,1.449,1.128,2.138,4.161,14.963,0.13,68.57,35.41,0.039,9.139
0.071,9.0,5,7.0,3.587,4.75,5,0.59,1.418,1.23,1.77,3.73,13.374,-0.14,68.57,35.41,0.039,7.566
0.071,8.3,5,6.9,3.607,4.68,6,0.65,1.356,1.24,1.603,3.48,12.513,-0.11,68.57,35.41,0.039,6.93
0.071,7.3,5,6.5,3.641,4.63,3,0.71,1.244,1.25,1.319,2.909,11.51,0.21,68.57,35.41,0.039,6.065
0.071,6.5,5,6.3,3.673,4.58,2,0.8,1.093,1.034,1.069,2.508,10.842,0.2,68.57,35.41,0.039,5.46
0.091,10.7,5,7.3,3.548,4.87,3,0.43,1.443,1.122,2.143,4.184,15.605,0.16,68.57,35.41,0.051,9.139
0.091,10.4,5,7.3,3.555,4.84,2,0.46,1.502,1.169,2.067,4.23,15.256,-0.05,68.57,35.41,0.051,8.839
0.091,10.3,5,7.2,3.557,4.84,5,0.47,1.498,1.176,2.046,4.201,15.219,-0.06,68.57,35.41,0.051,8.771
0.091,10.3,5,7.2,3.557,4.82,3,0.47,1.484,1.171,2.041,4.202,15.215,0.02,68.57,35.41,0.051,8.739
0.091,8.5,5,6.9,3.601,4.7,2,0.63,1.377,1.294,1.668,3.468,13.272,0.06,68.57,35.41,0.051,7.13
0.091,6.8,5,6.4,3.66,4.61,3,0.76,1.126,0.998,1.152,2.666,11.632,-0.18,68.57,35.41,0.051,5.695
0.091,6.6,5,6.3,3.669,4.59,7,0.76,1.056,0.859,1.075,2.546,11.445,-0.37,68.57,35.41,0.051,5.56
0.091,5.8,5,6.1,3.707,4.52,5,0.86,0.887,0.56,0.899,2.119,10.692,-0.1,68.57,35.41,0.051,4.955
0.091,3.4,4,4.8,3.78,4.07,5,1.29,0.591,0.091,0.644,1.436,8.222,0.11,68.57,35.41,0.051,2.891
0.091,2.9,5,4.2,3.83,4.15,3,1.47,0.414,-0.005,0.461,0.929,7.809,-0.05,68.57,35.41,0.051,2.469
0.091,1.1,4,3.6,3.92,3.92,2,2.14,0.119,0.138,0.126,0.358,6.022,0.05,68.57,35.41,0.051,0.928
0.091,8.6,5,6.8,3.617,4.8,8,0.52,1.265,1.0,1.541,3.066,13.469,-0.78,68.57,35.41,0.051,7.803
0.111,10.1,5,7.2,3.561,4.83,7,0.49,1.494,1.192,2.011,4.137,15.415,-0.08,68.57,35.41,0.062,8.571
0.111,9.4,5,7.1,3.577,4.76,7,0.55,1.458,1.224,1.863,3.828,14.784,-0.22,68.57,35.41,0.062,7.934
0.111,8.9,5,7.0,3.59,4.72,7,0.59,1.414,1.204,1.766,3.597,14.206,-0.34,68.57,35.41,0.062,7.466
0.111,7.3,5,6.5,3.641,4.64,2,0.73,1.236,1.164,1.312,2.997,12.576,-0.05,68.57,35.41,0.062,6.065
0.111,5.6,5,6.0,3.717,4.51,5,0.9,0.842,0.473,0.874,2.041,10.895,-0.04,68.57,35.41,0.062,4.82
0.111,5.5,5,5.8,3.723,4.49,7,0.91,0.774,0.272,0.858,1.983,10.767,-0.46,68.57,35.41,0.062,4.751
0.111,5.5,5,5.8,3.723,4.5,2,0.93,0.817,0.426,0.858,1.99,10.688,-0.02,68.57,35.41,0.062,4.751
0.111,5.1,5,5.5,3.745,4.48,3,0.99,0.727,0.271,0.793,1.752,10.323,0.08,68.57,35.41,0.062,4.415
0.111,3.7,5,4.6,3.8,4.26,4,1.23,0.512,0.009,0.572,1.249,8.995,-0.05,68.57,35.41,0.062,3.174
0.111,6.2,5,5.75,3.726,4.65,8,0.71,0.743,0.183,0.846,1.95,11.502,-0.69,68.57,35.41,0.062,5.982
0.111,4.6,5,4.8,3.787,4.38,8,0.86,0.506,-0.101,0.625,1.405,9.958,-0.63,68.57,35.41,0.062,4.502
0.131,9.9,5,7.2,3.565,4.79,4,0.51,1.442,1.208,1.975,3.949,15.464,0.1,68.57,35.41,0.071,8.371
0.131,9.5,5,7.15,3.575,4.76,3,0.54,1.44,1.247,1.877,3.868,15.225,0.07,68.57,35.41,0.071,8.003
0.131,9.1,5,7.1,3.585,4.72,7,0.57,1.437,1.208,1.815,3.658,14.662,-0.36,68.57,35.41,0.071,7.634
0.131,8.7,5,7.0,3.595,4.7,4,0.61,1.407,1.26,1.716,3.688,14.382,-0.08,68.57,35.41,0.071,7.298
0.131,8.3,5,6.9,3.607,4.67,3,0.64,1.368,1.257,1.616,3.522,13.877,-0.08,68.57,35.41,0.071,6.93
0.131,7.7,5,6.7,3.626,4.64,5,0.7,1.289,1.203,1.423,3.212,13.283,-0.11,68.57,35.41,0.071,6.393
0.131,7.6,5,6.5,3.63,4.66,7,0.71,1.239,1.074,1.387,2.99,13.182,-0.42,68.57,35.41,0.071,6.325
0.131,7.1,5,6.5,3.648,4.64,3,0.75,1.214,1.16,1.265,2.871,12.687,0.03,68.57,35.41,0.071,5.93
0.131,7.0,5,6.5,3.652,4.62,2,0.76,1.198,1.143,1.235,2.806,12.621,0.03,68.57,35.41,0.071,5.83
0.131,6.8,5,6.4,3.66,4.61,3,0.77,1.144,1.037,1.164,2.689,12.4,-0.09,68.57,35.41,0.071,5.695
0.131,6.4,5,6.3,3.678,4.55,6,0.79,1.039,0.862,1.021,2.458,12.096,-0.16,68.57,35.41,0.071,5.36
0.131,6.0,5,6.2,3.697,4.52,4,0.82,0.946,0.671,0.939,2.23,11.692,-0.1,68.57,35.41,0.071,5.09
0.131,5.8,5,6.0,3.707,4.56,4,0.91,0.89,0.555,0.908,2.137,11.544,-0.14,68.57,35.41,0.071,5.02
0.131,5.7,5,6.0,3.712,4.54,6,0.91,0.901,0.625,0.908,2.097,11.294,0.19,68.57,35.41,0.071,4.92
0.131,5.2,5,5.5,3.74,4.52,2,1.0,0.758,0.328,0.822,1.822,10.754,0.11,68.57,35.41,0.071,4.515
0.131,4.5,5,5.0,3.78,4.44,3,1.11,0.598,0.087,0.652,1.455,10.086,0.11,68.57,35.41,0.071,3.91
0.131,4.0,5,5.0,3.77,4.2,6,1.12,0.604,0.045,0.691,1.541,9.557,-0.19,68.57,35.41,0.071,3.379
0.131,3.0,5,4.2,3.83,4.19,3,1.44,0.425,0.012,0.466,0.937,8.708,0.04,68.57,35.41,0.071,2.569
0.131,2.8,5,4.0,3.85,4.2,2,1.52,0.364,0.013,0.387,0.801,8.395,-0.01,68.57,35.41,0.071,2.433
0.131,1.4,3,4.3,3.85,3.74,3,1.94,0.354,0.074,0.368,0.766,7.059,0.1,68.57,35.41,0.071,1.059
0.151,9.0,5,7.0,3.587,4.74,5,0.58,1.43,1.224,1.791,3.701,15.068,-0.24,68.57,35.41,0.079,7.566
0.151,8.9,5,7.0,3.59,4.72,1,0.59,1.426,1.266,1.76,3.806,14.781,-0.01,68.57,35.41,0.079,7.466
0.151,8.9,5,7.0,3.59,4.72,5,0.6,1.42,1.215,1.772,3.634,14.854,-0.3,68.57,35.41,0.079,7.466
0.151,8.6,5,7.0,3.598,4.71,6,0.62,1.395,1.235,1.7,3.59,14.6,-0.2,68.57,35.41,0.079,7.198
0.151,8.4,5,6.9,3.604,4.7,2,0.64,1.37,1.336,1.657,3.359,14.311,0.2,68.57,35.41,0.079,7.03
0.151,7.9,5,6.7,3.62,4.67,7,0.67,1.265,1.028,1.467,3.071,13.863,-0.71,68.57,35.41,0.079,6.593
0.151,7.2,5,6.5,3.644,4.61,3,0.72,1.232,1.186,1.296,2.931,13.078,0.04,68.57,35.41,0.079,5.965
0.151,5.9,5,6.1,3.701,4.53,3,0.83,0.92,0.611,0.925,2.186,11.955,-0.13,68.57,35.41,0.079,5.055
0.151,5.9,5,6.0,3.701,4.59,7,0.89,0.877,0.461,0.917,2.172,11.944,-0.56,68.57,35.41,0.079,5.12
0.151,5.4,5,5.6,3.728,4.53,5,0.94,0.786,0.341,0.85,1.948,11.448,-0.15,68.57,35.41,0.079,4.683
0.151,5.5,5,5.8,3.723,4.51,7,0.95,0.816,0.408,0.866,2.005,11.473,-0.09,68.57,35.41,0.079,4.751
0.151,5.4,5,5.6,3.728,4.54,2,0.96,0.781,0.323,0.85,1.948,11.279,-0.2,68.57,35.41,0.079,4.683
0.151,5.2,5,5.6,3.74,4.5,2,0.99,0.74,0.258,0.815,1.829,11.229,-0.09,68.57,35.41,0.079,4.483
0.151,4.3,5,5.0,3.76,4.26,7,1.01,0.609,-0.011,0.732,1.624,10.317,-0.5,68.57,35.41,0.079,3.647
0.151,4.2,5,4.8,3.78,4.37,5,1.13,0.577,0.026,0.656,1.473,10.246,-0.13,68.57,35.41,0.079,3.61
0.151,3.5,5,4.8,3.78,4.07,6,1.18,0.558,-0.016,0.656,1.476,9.423,-0.32,68.57,35.41,0.079,2.91
0.151,2.6,4,4.7,3.78,3.79,4,1.51,0.587,0.08,0.656,1.458,8.6,0.01,68.57,35.41,0.079,2.091
0.151,2.9,5,4.0,3.85,4.26,2,1.52,0.359,-0.01,0.394,0.818,8.89,-0.2,68.57,35.41,0.079,2.533
0.151,2.7,4,4.4,3.84,4.13,3,1.52,0.395,0.024,0.425,0.854,8.629,0.1,68.57,35.41,0.079,2.335
0.151,1.9,4,4.4,3.81,3.72,3,1.77,0.483,0.049,0.538,1.141,7.929,0.02,68.57,35.41,0.079,1.463
0.151,5.8,5,5.42,3.746,4.61,8,0.75,0.686,0.123,0.79,1.766,11.836,-0.38,68.57,35.41,0.079,5.637
0.176,9.0,5,7.0,3.587,4.75,2,0.59,1.406,1.283,1.793,3.632,15.218,0.15,68.57,35.41,0.086,7.566
0.176,8.9,5,7.0,3.59,4.72,7,0.59,1.416,1.165,1.762,3.504,15.229,-0.58,68.57,35.41,0.086,7.466
0.176,8.9,5,7.0,3.59,4.72,5,0.6,1.426,1.245,1.768,3.736,15.163,-0.14,68.57,35.41,0.086,7.466
0.176,8.8,5,7.0,3.593,4.7,2,0.6,1.396,1.302,1.751,3.542,15.14,0.14,68.57,35.41,0.086,7.366
0.176,8.7,5,7.0,3.595,4.7,7,0.61,1.385,1.13,1.689,3.415,14.978,-0.69,68.57,35.41,0.086,7.298
0.176,8.6,5,7.0,3.598,4.71,7,0.62,1.399,1.247,1.702,3.62,14.93,-0.15,68.57,35.41,0.086,7.198
0.176,8.5,5,7.0,3.601,4.68,7,0.62,1.368,1.161,1.682,3.387,14.759,-0.51,68.57,35.41,0.086,7.098
0.176,8.5,5,7.0,3.601,4.68,2,0.63,1.383,1.314,1.685,3.418,14.731,0.09,68.57,35.41,0.086,7.098
0.176,8.3,5,6.9,3.607,4.66,2,0.63,1.371,1.301,1.626,3.439,14.708,0.05,68.57,35.41,0.086,6.93
0.176,8.2,5,6.9,3.61,4.66,5,0.65,1.354,1.312,1.602,3.278,14.532,0.11,68.57,35.41,0.086,6.83
0.176,8.1,5,6.7,3.613,4.66,7,0.65,1.32,1.144,1.561,3.255,14.338,-0.42,68.57,35.41,0.086,6.762
0.176,7.6,5,6.5,3.63,4.64,5,0.69,1.292,1.267,1.41,3.06,13.94,0.09,68.57,35.41,0.086,6.325
0.176,7.6,5,6.5,3.63,4.65,5,0.7,1.28,1.194,1.399,3.172,13.879,-0.11,68.57,35.41,0.086,6.325
0.176,7.4,5,6.5,3.637,4.61,7,0.7,1.181,0.921,1.314,2.872,13.733,-0.81,68.57,35.41,0.086,6.125
0.176,7.3,5,6.5,3.641,4.64,2,0.73,1.226,1.114,1.318,2.971,13.597,-0.2,68.57,35.41,0.086,6.065
0.176,7.2,5,6.5,3.644,4.62,7,0.74,1.16,0.923,1.265,2.824,13.471,-0.69,68.57,35.41,0.086,5.965
0.176,6.8,5,6.4,3.66,4.61,6,0.77,1.12,0.95,1.16,2.689,13.098,-0.33,68.57,35.41,0.086,5.695
0.176,6.6,5,6.3,3.669,4.6,6,0.78,1.133,1.085,1.125,2.611,12.852,0.2,68.57,35.41,0.086,5.56
0.176,6.3,5,6.3,3.682,4.54,3,0.79,1.038,0.87,1.013,2.423,12.578,-0.01,68.57,35.41,0.086,5.325
0.176,6.2,5,6.2,3.687,4.58,3,0.82,1.017,0.84,0.998,2.371,12.595,0.04,68.57,35.41,0.086,5.29
0.176,5.7,5,6.0,3.712,4.53,4,0.88,0.884,0.562,0.903,2.11,11.991,0.02,68.57,35.41,0.086,4.92
0.176,5.6,5,5.8,3.717,4.54,7,0.9,0.807,0.327,0.883,2.054,11.977,-0.47,68.57,35.41,0.086,4.851
0.176,5.5,5,5.8,3.723,4.5,7,0.93,0.798,0.337,0.869,2.008,11.81,-0.29,68.57,35.41,0.086,4.751
0.176,5.0,5,5.5,3.74,4.39,7,0.93,0.696,0.113,0.817,1.832,11.349,-0.54,68.57,35.41,0.086,4.283
0.176,4.9,5,5.4,3.75,4.43,5,0.99,0.726,0.267,0.785,1.725,11.146,0.15,68.57,35.41,0.086,4.215
0.176,4.7,5,5.2,3.77,4.46,5,1.05,0.623,0.081,0.697,1.556,11.117,-0.06,68.57,35.41,0.086,4.079
0.176,4.5,5,5.0,3.77,4.41,5,1.06,0.587,-0.016,0.697,1.562,10.737,-0.41,68.57,35.41,0.086,3.879
0.176,4.5,5,5.0,3.78,4.45,2,1.13,0.576,0.017,0.659,1.482,10.892,-0.17,68.57,35.41,0.086,3.91
0.176,4.3,5,5.0,3.78,4.41,2,1.15,0.593,0.065,0.658,1.476,10.641,0.02,68.57,35.41,0.086,3.71
0.176,2.6,5,3.8,3.87,4.24,2,1.62,0.318,0.072,0.328,0.703,8.888,-0.04,68.57,35.41,0.086,2.297
0.176,8.8,5,6.84,3.611,4.82,8,0.5,1.274,0.9,1.636,3.111,15.132,-1.31,68.57,35.41,0.086,7.951
0.176,8.2,5,6.7,3.631,4.77,8,0.56,1.209,0.94,1.396,2.908,14.606,-0.8,68.57,35.41,0.086,7.513
0.176,8.0,5,6.64,3.638,4.75,8,0.57,1.17,0.873,1.316,2.843,14.352,-0.91,68.57,35.41,0.086,7.368
0.176,6.8,5,6.21,3.695,4.68,8,0.66,0.894,0.468,0.937,2.24,13.162,-0.79,68.57,35.41,0.086,6.469
0.176,5.6,5,5.28,3.755,4.58,8,0.77,0.621,-0.031,0.756,1.688,11.849,-0.73,68.57,35.41,0.086,5.457
0.206,8.5,5,7.0,3.601,4.68,5,0.63,1.382,1.328,1.689,3.398,15.12,0.13,68.57,35.41,0.095,7.098
0.206,8.2,5,6.9,3.61,4.66,5,0.65,1.356,1.227,1.596,3.441,14.908,-0.18,68.57,35.41,0.095,6.83
0.206,8.1,5,6.7,3.613,4.66,5,0.65,1.341,1.212,1.565,3.382,14.808,-0.2,68.57,35.41,0.095,6.762
0.206,7.8,5,6.7,3.623,4.66,4,0.69,1.317,1.293,1.479,3.134,14.425,0.13,68.57,35.41,0.095,6.493
0.206,7.6,5,6.5,3.63,4.64,5,0.69,1.295,1.238,1.404,3.237,14.297,0.0,68.57,35.41,0.095,6.325
0.206,7.6,5,6.5,3.63,4.65,5,0.7,1.28,1.19,1.402,3.171,14.253,-0.13,68.57,35.41,0.095,6.325
0.206,7.6,5,6.5,3.63,4.66,3,0.71,1.295,1.283,1.415,3.057,14.303,0.15,68.57,35.41,0.095,6.325
0.206,7.4,5,6.5,3.637,4.64,7,0.71,1.201,0.992,1.334,2.902,14.164,-0.59,68.57,35.41,0.095,6.165
0.206,7.4,5,6.5,3.637,4.62,2,0.72,1.269,1.251,1.364,2.986,14.004,0.13,68.57,35.41,0.095,6.125
0.206,7.1,5,6.5,3.648,4.63,2,0.73,1.24,1.244,1.289,2.881,13.837,0.23,68.57,35.41,0.095,5.93
0.206,7.1,5,6.5,3.648,4.63,7,0.74,1.181,1.03,1.259,2.845,13.838,-0.34,68.57,35.41,0.095,5.93
0.206,6.7,5,6.4,3.664,4.57,7,0.75,1.097,0.913,1.128,2.641,13.334,-0.35,68.57,35.41,0.095,5.595
0.206,6.9,5,6.4,3.656,4.62,6,0.76,1.155,1.018,1.2,2.753,13.581,-0.25,68.57,35.41,0.095,5.795
0.206,6.7,5,6.4,3.664,4.59,6,0.79,1.143,1.075,1.152,2.67,13.408,0.09,68.57,35.41,0.095,5.595
0.206,6.6,5,6.3,3.669,4.6,5,0.79,1.112,0.995,1.107,2.603,13.187,-0.03,68.57,35.41,0.095,5.56
0.206,5.9,5,6.1,3.701,4.53,5,0.83,0.932,0.642,0.932,2.202,12.502,-0.05,68.57,35.41,0.095,5.055
0.206,6.1,5,6.2,3.692,4.56,5,0.84,0.993,0.786,0.978,2.318,12.666,0.04,68.57,35.41,0.095,5.19
0.206,6.0,5,6.1,3.697,4.56,5,0.85,0.942,0.641,0.948,2.248,12.605,-0.21,68.57,35.41,0.095,5.155
0.206,6.1,5,6.2,3.692,4.57,7,0.86,1.015,0.868,0.995,2.325,12.668,0.24,68.57,35.41,0.095,5.19
0.206,5.9,5,6.1,3.701,4.56,6,0.88,0.946,0.699,0.943,2.206,12.589,0.1,68.57,35.41,0.095,5.055
0.206,5.7,5,6.0,3.712,4.53,6,0.88,0.893,0.59,0.913,2.117,12.414,0.09,68.57,35.41,0.095,4.92
0.206,5.4,5,5.8,3.728,4.48,7,0.88,0.754,0.216,0.855,1.957,12.086,-0.52,68.57,35.41,0.095,4.651
0.206,5.8,5,6.0,3.707,4.56,3,0.9,0.914,0.623,0.923,2.162,12.379,0.03,68.57,35.41,0.095,5.02
0.206,5.8,5,6.0,3.707,4.56,5,0.9,0.872,0.469,0.914,2.149,12.401,-0.39,68.57,35.41,0.095,5.02
0.206,4.9,5,5.4,3.75,4.41,7,0.95,0.665,0.073,0.779,1.739,11.483,-0.46,68.57,35.41,0.095,4.215
0.206,5.5,5,5.8,3.723,4.52,6,0.96,0.802,0.346,0.872,2.015,12.098,-0.28,68.57,35.41,0.095,4.751
0.206,4.8,5,5.3,3.75,4.38,6,0.97,0.734,0.283,0.789,1.73,11.426,0.18,68.57,35.41,0.095,4.115
