# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.016,12.8,5,7.5,3.509,4.99,6,0.22,1.596,1.254,2.705,4.93,13.855,-0.06,46.65,14.79,0.0,11.112
0.033,12.4,5,7.5,3.516,4.98,2,0.25,1.433,1.248,2.635,5.13,15.064,0.38,46.65,14.79,0.014,10.744
0.033,9.9,5,7.2,3.565,4.79,7,0.51,1.478,1.193,1.961,3.948,12.44,-0.22,46.65,14.79,0.014,8.371
0.033,8.7,5,7.0,3.595,4.7,5,0.61,1.389,1.248,1.692,3.645,11.312,-0.06,46.65,14.79,0.014,7.298
0.033,5.5,5,5.8,3.723,4.48,2,0.88,0.808,0.438,0.843,1.948,8.197,0.04,46.65,14.79,0.014,4.751
0.052,12.1,5,7.4,3.522,4.96,4,0.27,1.545,1.178,2.522,4.713,15.697,-0.04,46.65,14.79,0.027,10.475
0.052,11.7,5,7.4,3.529,4.95,3,0.32,1.529,1.155,2.405,4.585,15.362,-0.05,46.65,14.79,0.027,10.075
0.052,11.5,5,7.3,3.533,4.92,5,0.33,1.415,1.163,2.388,4.634,15.139,0.23,46.65,14.79,0.027,9.907
0.052,11.4,5,7.3,3.535,4.92,6,0.34,1.544,1.166,2.308,4.46,14.911,-0.14,46.65,14.79,0.027,9.807
0.052,10.4,5,7.3,3.555,4.84,7,0.46,1.506,1.17,2.071,4.157,13.941,-0.15,46.65,14.79,0.027,8.839
0.052,10.2,5,7.2,3.559,4.85,3,0.48,1.428,1.163,2.027,4.014,13.71,0.15,46.65,14.79,0.027,8.671
0.052,9.8,5,7.15,3.568,4.81,5,0.52,1.473,1.202,1.938,3.954,13.446,-0.18,46.65,14.79,0.027,8.303
0.071,11.4,5,7.3,3.535,4.93,2,0.35,1.51,1.145,2.326,4.528,15.806,0.01,46.65,14.79,0.041,9.807
