# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.016,13.9,5,7.65,3.49,5.04,7,0.16,1.781,1.484,3.02,5.305,14.852,-0.35,96.35,-42.19,0.0,12.148
0.033,11.0,5,7.3,3.542,4.9,3,0.4,1.51,1.129,2.176,4.382,13.561,-0.02,96.35,-42.19,0.014,9.407
0.033,9.8,5,7.15,3.568,4.81,3,0.52,1.458,1.202,1.916,4.046,12.377,-0.01,96.35,-42.19,0.014,8.303
0.052,12.0,5,7.4,3.524,4.95,2,0.28,1.442,1.236,2.534,4.825,15.543,0.1,96.35,-42.19,0.028,10.375
0.052,11.5,5,7.3,3.533,4.94,6,0.34,1.55,1.173,2.333,4.488,15.087,-0.15,96.35,-42.19,0.028,9.907
0.052,11.2,5,7.3,3.539,4.9,4,0.37,1.525,1.145,2.252,4.429,14.746,-0.07,96.35,-42.19,0.028,9.607
0.052,11.2,5,7.3,3.539,4.9,7,0.37,1.462,1.151,2.274,4.389,14.708,0.09,96.35,-42.19,0.028,9.607
0.052,10.1,5,7.2,3.561,4.83,6,0.49,1.509,1.192,2.032,3.943,13.718,-0.37,96.35,-42.19,0.028,8.571
0.052,7.5,5,6.5,3.633,4.62,5,0.7,1.25,1.177,1.349,3.077,11.137,-0.08,96.35,-42.19,0.028,6.225
0.071,10.6,5,7.3,3.55,4.88,3,0.44,1.485,1.148,2.104,4.237,14.843,0.04,96.35,-42.19,0.042,9.039
0.071,10.6,5,7.3,3.55,4.88,7,0.44,1.603,1.182,2.026,3.947,14.947,-0.87,96.35,-42.19,0.042,9.039
0.071,10.3,5,7.2,3.557,4.82,5,0.47,1.436,1.159,2.054,4.058,14.604,0.14,96.35,-42.19,0.042,8.739
0.071,9.0,5,7.0,3.587,4.75,2,0.59,1.42,1.239,1.768,3.766,13.289,-0.08,96.35,-42.19,0.042,7.566
0.071,6.3,5,6.3,3.682,4.55,5,0.8,1.014,0.831,0.992,2.38,10.658,-0.09,96.35,-42.19,0.042,5.325
0.071,5.6,5,6.0,3.717,4.5,3,0.89,0.833,0.459,0.866,2.022,9.992,-0.07,96.35,-42.19,0.042,4.82
0.071,5.0,5,5.5,3.75,4.45,6,0.95,0.692,0.195,0.758,1.688,9.378,-0.02,96.35,-42.19,0.042,4.315
0.091,10.8,5,7.3,3.546,4.86,6,0.41,1.531,1.155,2.157,4.315,15.609,-0.11,96.35,-42.19,0.055,9.207
0.091,10.6,5,7.3,3.55,4.88,5,0.44,1.552,1.189,2.155,4.14,15.398,-0.34,96.35,-42.19,0.055,9.039
0.091,10.3,5,7.2,3.557,4.81,3,0.46,1.498,1.176,2.047,4.205,15.236,-0.05,96.35,-42.19,0.055,8.739
0.091,10.3,5,7.2,3.557,4.82,2,0.47,1.424,1.15,2.06,4.099,15.155,0.21,96.35,-42.19,0.055,8.739
0.091,10.3,5,7.2,3.557,4.82,7,0.47,1.517,1.186,2.07,4.111,15.161,-0.23,96.35,-42.19,0.055,8.739
0.091,8.8,5,7.0,3.593,4.72,1,0.6,1.405,1.271,1.731,3.686,13.587,0.03,96.35,-42.19,0.055,7.398
0.091,8.5,5,7.0,3.601,4.68,4,0.62,1.389,1.278,1.663,3.629,13.351,-0.02,96.35,-42.19,0.055,7.098
0.091,7.7,5,6.7,3.626,4.63,3,0.68,1.283,1.199,1.416,3.196,12.538,-0.12,96.35,-42.19,0.055,6.393
0.091,6.0,5,6.1,3.697,4.58,5,0.88,0.934,0.65,0.933,2.215,10.891,-0.16,96.35,-42.19,0.055,5.155
0.091,4.7,5,5.2,3.75,4.35,7,0.97,0.634,0.008,0.763,1.707,9.588,-0.66,96.35,-42.19,0.055,4.015
