# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.033,13.4,5,7.6,3.499,5.04,3,0.19,1.58,1.386,2.891,5.389,15.991,0.1,96.38,29.81,0.014,11.68
0.033,12.5,5,7.5,3.515,5.01,4,0.25,1.611,1.265,2.602,4.802,15.18,-0.17,96.38,29.81,0.014,10.844
0.033,5.2,5,5.6,3.74,4.5,3,0.98,0.734,0.294,0.794,1.771,7.796,0.06,96.38,29.81,0.014,4.483
0.033,5.0,5,5.5,3.75,4.47,4,1.0,0.671,0.152,0.746,1.664,7.61,-0.13,96.38,29.81,0.014,4.315
0.033,11.8,5,7.27,3.55,5.09,8,0.2,1.577,1.188,2.568,3.985,14.328,-0.66,96.38,29.81,0.014,10.22
0.052,12.4,5,7.5,3.516,4.98,3,0.25,1.461,1.27,2.637,5.044,15.927,0.21,96.38,29.81,0.027,10.744
0.052,12.4,5,7.5,3.516,5.0,7,0.26,1.552,1.214,2.619,4.853,16.079,0.01,96.38,29.81,0.027,10.744
0.052,9.1,5,7.1,3.585,4.72,4,0.57,1.422,1.243,1.779,3.813,12.697,-0.04,96.38,29.81,0.027,7.634
0.071,11.5,5,7.3,3.533,4.92,3,0.33,1.524,1.147,2.352,4.545,15.735,-0.03,96.38,29.81,0.04,9.907
0.071,11.2,5,7.3,3.539,4.89,7,0.36,1.581,1.198,2.265,4.32,15.455,-0.34,96.38,29.81,0.04,9.607
0.071,10.1,5,7.2,3.561,4.83,3,0.49,1.483,1.185,1.997,4.141,14.468,-0.04,96.38,29.81,0.04,8.571
0.071,9.0,5,7.0,3.587,4.75,6,0.59,1.418,1.222,1.772,3.701,13.245,-0.19,96.38,29.81,0.04,7.566
0.071,6.1,5,6.2,3.692,4.56,3,0.85,0.955,0.7,0.948,2.261,10.452,-0.16,96.38,29.81,0.04,5.19
0.071,5.2,5,5.5,3.74,4.51,5,0.97,0.718,0.22,0.799,1.794,9.558,-0.18,96.38,29.81,0.04,4.515
0.071,3.8,3,5.6,3.69,3.72,7,1.08,0.962,0.64,0.936,2.255,8.058,-0.29,96.38,29.81,0.04,2.882
0.071,9.2,5,6.91,3.601,4.87,8,0.47,1.32,1.004,1.766,3.234,13.427,-1.05,96.38,29.81,0.04,8.252
0.091,10.8,5,7.3,3.546,4.89,6,0.42,1.524,1.149,2.148,4.337,15.629,-0.06,96.38,29.81,0.052,9.239
0.091,10.6,5,7.3,3.55,4.87,5,0.43,1.51,1.156,2.103,4.301,15.506,-0.03,96.38,29.81,0.052,9.039
0.091,10.4,5,7.3,3.555,4.84,6,0.46,1.51,1.174,2.076,4.197,15.297,-0.12,96.38,29.81,0.052,8.839
0.091,10.1,5,7.2,3.561,4.83,3,0.49,1.491,1.19,2.007,4.125,14.887,-0.09,96.38,29.81,0.052,8.571
0.091,10.0,5,7.2,3.563,4.81,6,0.5,1.496,1.198,2.0,4.02,14.797,-0.21,96.38,29.81,0.052,8.471
0.091,9.6,5,7.15,3.572,4.77,4,0.53,1.442,1.233,1.89,3.91,14.474,0.06,96.38,29.81,0.052,8.103
0.091,9.2,5,7.1,3.582,4.74,4,0.57,1.43,1.252,1.809,3.838,14.046,0.02,96.38,29.81,0.052,7.734
0.091,8.9,5,7.0,3.59,4.72,6,0.59,1.408,1.184,1.766,3.53,13.76,-0.43,96.38,29.81,0.052,7.466
0.091,8.9,5,7.0,3.59,4.72,7,0.6,1.404,1.154,1.745,3.471,13.804,-0.59,96.38,29.81,0.052,7.466
0.091,8.2,5,6.9,3.61,4.66,3,0.65,1.343,1.318,1.587,3.261,13.005,0.17,96.38,29.81,0.052,6.83
0.091,7.7,5,6.7,3.626,4.63,5,0.69,1.287,1.215,1.416,3.22,12.574,-0.07,96.38,29.81,0.052,6.393
0.091,4.7,5,5.2,3.77,4.47,3,1.08,0.615,0.08,0.683,1.524,9.469,-0.03,96.38,29.81,0.052,4.079
0.091,4.2,5,4.8,3.79,4.4,2,1.18,0.544,0.023,0.605,1.346,9.052,-0.03,96.38,29.81,0.052,3.642
0.091,2.7,4,4.8,3.79,3.87,4,1.48,0.539,0.039,0.605,1.336,7.492,-0.05,96.38,29.81,0.052,2.215
0.091,4.4,5,4.75,3.791,4.32,8,0.87,0.462,-0.173,0.607,1.377,9.188,-1.15,96.38,29.81,0.052,4.305
0.111,10.1,5,7.2,3.561,4.83,5,0.49,1.497,1.193,2.015,4.121,15.361,-0.11,96.38,29.81,0.063,8.571
0.111,9.9,5,7.2,3.565,4.79,2,0.51,1.434,1.204,1.972,3.956,15.198,0.13,96.38,29.81,0.063,8.371
0.111,9.7,5,7.15,3.57,4.79,4,0.53,1.412,1.22,1.924,3.935,15.022,0.23,96.38,29.81,0.063,8.203
0.111,9.6,5,7.15,3.572,4.78,4,0.54,1.467,1.229,1.895,3.982,14.889,-0.08,96.38,29.81,0.063,8.103
0.111,9.3,5,7.1,3.58,4.74,2,0.56,1.448,1.239,1.836,3.875,14.605,-0.09,96.38,29.81,0.063,7.834
0.111,9.1,5,7.0,3.585,4.77,1,0.58,1.423,1.257,1.797,3.77,14.455,0.04,96.38,29.81,0.063,7.666
0.111,9.0,5,7.0,3.587,4.74,4,0.58,1.402,1.274,1.783,3.596,14.288,0.1,96.38,29.81,0.063,7.566
0.111,8.7,5,7.0,3.595,4.7,5,0.61,1.387,1.294,1.72,3.483,14.068,0.09,96.38,29.81,0.063,7.298
0.111,8.5,5,7.0,3.601,4.68,2,0.62,1.391,1.288,1.667,3.624,13.829,0.01,96.38,29.81,0.063,7.098
0.111,8.1,5,6.7,3.613,4.66,5,0.66,1.337,1.295,1.562,3.227,13.437,0.1,96.38,29.81,0.063,6.762
0.111,8.0,5,6.7,3.616,4.65,6,0.66,1.313,1.18,1.52,3.279,13.268,-0.25,96.38,29.81,0.063,6.662
0.111,7.6,5,6.7,3.63,4.61,1,0.69,1.261,1.157,1.386,3.1,12.802,-0.21,96.38,29.81,0.063,6.293
0.111,7.1,5,6.5,3.648,4.64,4,0.75,1.205,1.131,1.257,2.864,12.36,-0.05,96.38,29.81,0.063,5.93
0.111,6.9,5,6.4,3.656,4.62,2,0.77,1.177,1.131,1.206,2.751,12.172,0.09,96.38,29.81,0.063,5.795
0.111,6.4,5,6.3,3.678,4.59,5,0.82,1.037,0.864,1.019,2.452,11.786,-0.16,96.38,29.81,0.063,5.425
0.111,6.0,5,6.1,3.697,4.58,2,0.88,0.954,0.714,0.942,2.229,11.208,0.01,96.38,29.81,0.063,5.155
0.111,5.5,5,5.8,3.723,4.49,3,0.9,0.821,0.437,0.86,1.992,10.885,0.01,96.38,29.81,0.063,4.751
0.111,5.5,5,5.8,3.723,4.49,6,0.9,0.817,0.426,0.859,1.991,10.845,-0.03,96.38,29.81,0.063,4.751
0.111,5.6,5,5.8,3.717,4.54,2,0.91,0.832,0.441,0.875,2.04,10.824,-0.14,96.38,29.81,0.063,4.851
0.111,5.3,5,5.6,3.734,4.48,6,0.92,0.757,0.291,0.826,1.875,10.612,-0.13,96.38,29.81,0.063,4.583
0.111,5.3,5,5.6,3.734,4.5,3,0.96,0.768,0.327,0.826,1.876,10.531,-0.03,96.38,29.81,0.063,4.583
0.111,4.2,5,4.8,3.79,4.39,2,1.17,0.557,0.052,0.61,1.349,9.542,0.07,96.38,29.81,0.063,3.642
0.111,8.8,5,6.84,3.611,4.82,8,0.5,1.279,0.959,1.626,3.117,14.159,-1.05,96.38,29.81,0.063,7.951
0.131,9.1,5,7.1,3.585,4.72,6,0.57,1.437,1.246,1.801,3.817,14.818,-0.1,96.38,29.81,0.073,7.634
0.131,8.9,5,7.0,3.59,4.72,4,0.6,1.421,1.24,1.763,3.717,14.589,-0.15,96.38,29.81,0.073,7.466
0.131,8.5,5,7.0,3.601,4.68,2,0.63,1.377,1.313,1.68,3.386,14.126,0.09,96.38,29.81,0.073,7.098
0.131,8.3,5,6.9,3.607,4.68,5,0.65,1.357,1.34,1.625,3.329,13.866,0.23,96.38,29.81,0.073,6.93
0.131,7.9,5,6.7,3.62,4.68,2,0.68,1.323,1.334,1.504,3.179,13.52,0.28,96.38,29.81,0.073,6.593
0.131,7.7,5,6.7,3.626,4.63,2,0.68,1.3,1.279,1.436,3.073,13.44,0.11,96.38,29.81,0.073,6.393
0.131,7.6,5,6.5,3.63,4.65,3,0.7,1.288,1.247,1.401,3.133,13.339,0.05,96.38,29.81,0.073,6.325
0.131,7.0,5,6.5,3.652,4.62,6,0.76,1.203,1.174,1.244,2.813,12.621,0.12,96.38,29.81,0.073,5.83
0.131,6.4,5,6.3,3.678,4.56,5,0.8,1.05,0.894,1.026,2.464,12.052,-0.08,96.38,29.81,0.073,5.36
0.131,6.5,5,6.3,3.673,4.58,1,0.81,1.067,0.913,1.057,2.52,12.065,-0.14,96.38,29.81,0.073,5.46
0.131,6.4,5,6.3,3.678,4.59,7,0.82,1.085,1.028,1.05,2.484,12.13,0.27,96.38,29.81,0.073,5.425
0.131,6.3,5,6.3,3.682,4.56,5,0.82,1.014,0.807,1.002,2.405,11.906,-0.18,96.38,29.81,0.073,5.325
0.131,6.1,5,6.2,3.692,4.56,5,0.84,1.006,0.855,0.986,2.304,11.688,0.22,96.38,29.81,0.073,5.19
0.131,5.7,5,6.0,3.712,4.52,3,0.86,0.879,0.552,0.896,2.098,11.445,0.01,96.38,29.81,0.073,4.92
0.131,5.3,5,5.8,3.734,4.44,7,0.89,0.732,0.197,0.83,1.882,11.02,-0.42,96.38,29.81,0.073,4.551
0.131,5.8,5,6.0,3.707,4.56,3,0.9,0.92,0.663,0.923,2.144,11.399,0.15,96.38,29.81,0.073,5.02
0.131,5.4,5,5.8,3.728,4.5,5,0.93,0.77,0.29,0.847,1.941,11.116,-0.29,96.38,29.81,0.073,4.651
0.131,4.9,5,5.4,3.76,4.44,5,1.0,0.681,0.2,0.739,1.605,10.493,0.18,96.38,29.81,0.073,4.247
0.131,4.8,5,5.3,3.76,4.45,2,1.06,0.657,0.122,0.729,1.613,10.393,-0.05,96.38,29.81,0.073,4.147
