# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.033,13.4,5,7.6,3.499,5.04,5,0.19,1.579,1.389,2.878,5.405,16.053,0.16,276.38,-29.81,0.014,11.68
0.033,12.7,5,7.5,3.511,4.99,7,0.22,1.552,1.253,2.7,4.982,15.209,0.03,276.38,-29.81,0.014,11.044
0.033,12.1,5,7.4,3.522,4.97,6,0.28,1.443,1.24,2.555,4.855,14.746,0.11,276.38,-29.81,0.014,10.475
0.033,7.4,5,6.44,3.665,4.72,8,0.62,1.055,0.85,1.092,2.558,10.078,-0.46,276.38,-29.81,0.014,6.93
0.052,12.4,5,7.5,3.516,4.98,4,0.25,1.533,1.224,2.625,4.883,15.953,0.03,276.38,-29.81,0.028,10.744
0.052,11.6,5,7.4,3.531,4.92,2,0.33,1.524,1.149,2.375,4.557,15.158,-0.05,276.38,-29.81,0.028,9.975
0.052,10.3,5,7.2,3.557,4.84,3,0.47,1.496,1.173,2.044,4.151,13.96,-0.11,276.38,-29.81,0.028,8.771
0.052,9.9,5,7.2,3.565,4.79,6,0.51,1.47,1.197,1.948,4.063,13.487,-0.05,276.38,-29.81,0.028,8.371
0.052,9.5,5,7.1,3.575,4.79,6,0.55,1.466,1.194,1.891,3.649,13.096,-0.5,276.38,-29.81,0.028,8.034
0.052,5.3,5,5.6,3.734,4.51,1,0.99,0.747,0.288,0.812,1.844,8.903,-0.12,276.38,-29.81,0.028,4.583
0.071,11.5,5,7.3,3.533,4.94,2,0.34,1.442,1.182,2.387,4.586,15.734,0.14,276.38,-29.81,0.042,9.907
0.071,11.2,5,7.3,3.539,4.89,2,0.36,1.443,1.143,2.285,4.419,15.541,0.16,276.38,-29.81,0.042,9.607
0.071,11.2,5,7.3,3.539,4.91,2,0.38,1.437,1.138,2.287,4.426,15.412,0.18,276.38,-29.81,0.042,9.607
0.071,11.1,5,7.3,3.54,4.89,2,0.38,1.501,1.136,2.228,4.413,15.414,0.03,276.38,-29.81,0.042,9.507
0.071,9.8,5,7.15,3.568,4.81,2,0.52,1.47,1.208,1.932,4.043,14.205,-0.05,276.38,-29.81,0.042,8.303
0.071,9.8,5,7.15,3.568,4.81,3,0.52,1.474,1.207,1.938,4.007,14.184,-0.11,276.38,-29.81,0.042,8.303
0.071,5.5,5,5.8,3.723,4.47,7,0.87,0.791,0.348,0.85,1.969,9.744,-0.23,276.38,-29.81,0.042,4.751
0.071,5.6,5,5.8,3.717,4.55,2,0.93,0.84,0.488,0.868,2.025,9.872,0.01,276.38,-29.81,0.042,4.851
0.071,5.6,5,5.8,3.717,4.55,3,0.93,0.867,0.565,0.879,2.025,9.854,0.2,276.38,-29.81,0.042,4.851
0.071,5.3,5,5.6,3.734,4.49,5,0.95,0.779,0.382,0.827,1.857,9.541,0.13,276.38,-29.81,0.042,4.583
0.071,5.0,5,5.5,3.75,4.47,5,0.98,0.657,0.087,0.758,1.692,9.259,-0.37,276.38,-29.81,0.042,4.315
0.071,4.9,5,5.4,3.76,4.44,5,1.0,0.629,0.062,0.716,1.588,9.248,-0.23,276.38,-29.81,0.042,4.247
0.071,3.7,5,4.5,3.81,4.34,2,1.3,0.481,-0.002,0.527,1.124,7.944,0.01,276.38,-29.81,0.042,3.206
0.071,11.8,5,7.27,3.55,5.09,8,0.2,1.603,1.184,2.58,3.964,16.062,-0.82,276.38,-29.81,0.042,10.22
0.091,10.8,5,7.3,3.546,4.86,7,0.41,1.525,1.149,2.15,4.337,15.616,-0.07,276.38,-29.81,0.056,9.207
0.091,10.0,5,7.2,3.563,4.81,6,0.5,1.485,1.197,1.983,4.114,14.789,-0.06,276.38,-29.81,0.056,8.471
0.091,9.3,5,7.1,3.58,4.74,6,0.56,1.447,1.234,1.835,3.853,14.166,-0.12,276.38,-29.81,0.056,7.834
