# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.016,13.7,5,7.65,3.493,5.0,2,0.17,1.706,1.391,2.959,5.28,14.604,-0.15,63.6,-35.23,0.0,11.948
0.016,12.8,5,7.5,3.509,5.03,5,0.22,1.632,1.303,2.686,4.893,13.738,-0.18,63.6,-35.23,0.0,11.144
0.033,13.8,5,7.65,3.492,5.05,1,0.17,1.726,1.422,3.0,5.342,16.327,-0.13,63.6,-35.23,0.014,12.048
0.033,13.4,5,7.6,3.499,5.04,2,0.19,1.573,1.381,2.852,5.436,15.948,0.31,63.6,-35.23,0.014,11.68
0.033,13.3,5,7.6,3.5,4.99,7,0.19,1.753,1.465,2.811,5.009,15.882,-0.5,63.6,-35.23,0.014,11.58
0.033,13.0,5,7.5,3.506,5.03,5,0.21,1.612,1.28,2.776,5.025,15.588,-0.02,63.6,-35.23,0.014,11.312
0.033,12.2,5,7.4,3.52,4.97,3,0.26,1.454,1.252,2.581,4.892,14.796,0.1,63.6,-35.23,0.014,10.575
0.052,10.4,5,7.3,3.555,4.84,7,0.46,1.535,1.189,2.107,4.021,14.001,-0.41,63.6,-35.23,0.028,8.839
0.052,10.1,5,7.2,3.561,4.83,4,0.49,1.367,1.144,2.01,4.115,13.672,0.39,63.6,-35.23,0.028,8.571
0.052,5.6,5,5.8,3.717,4.56,6,0.94,0.788,0.315,0.859,2.002,9.105,-0.47,63.6,-35.23,0.028,4.851
0.052,3.8,5,4.5,3.81,4.34,2,1.26,0.499,0.042,0.522,1.101,7.49,0.23,63.6,-35.23,0.028,3.306
0.071,11.2,5,7.3,3.539,4.9,2,0.37,1.518,1.136,2.256,4.469,15.537,-0.01,63.6,-35.23,0.042,9.607
0.071,10.2,5,7.2,3.559,4.84,5,0.47,1.446,1.174,2.032,4.021,14.549,0.09,63.6,-35.23,0.042,8.671
0.071,8.4,5,6.9,3.604,4.7,2,0.64,1.358,1.309,1.642,3.307,12.737,0.13,63.6,-35.23,0.042,7.03
0.071,7.4,5,6.5,3.637,4.61,5,0.7,1.25,1.206,1.334,3.025,11.752,0.03,63.6,-35.23,0.042,6.125
0.071,6.9,5,6.4,3.656,4.61,1,0.75,1.196,1.207,1.208,2.743,11.126,0.28,63.6,-35.23,0.042,5.795
0.071,5.0,5,5.5,3.76,4.49,4,1.01,0.644,0.106,0.716,1.586,9.401,-0.08,63.6,-35.23,0.042,4.347
0.071,8.0,5,6.64,3.638,4.75,8,0.57,1.14,0.781,1.297,2.774,12.38,-1.19,63.6,-35.23,0.042,7.368
0.091,10.8,5,7.3,3.546,4.86,7,0.41,1.539,1.162,2.167,4.288,15.577,-0.17,63.6,-35.23,0.055,9.207
0.091,10.7,5,7.3,3.548,4.86,3,0.42,1.444,1.122,2.145,4.19,15.53,0.16,63.6,-35.23,0.055,9.139
0.091,10.5,5,7.3,3.552,4.86,5,0.45,1.425,1.128,2.104,4.159,15.278,0.22,63.6,-35.23,0.055,8.939
0.091,10.1,5,7.2,3.561,4.83,7,0.49,1.509,1.196,2.032,4.021,15.025,-0.27,63.6,-35.23,0.055,8.571
0.091,10.0,5,7.2,3.563,4.81,4,0.5,1.487,1.197,1.987,4.093,14.769,-0.09,63.6,-35.23,0.055,8.471
