# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.016,12.9,5,7.5,3.508,5.0,3,0.22,1.544,1.291,2.75,5.085,13.977,0.06,292.32001,-10.95,0.0,11.212
0.033,12.4,5,7.5,3.516,4.98,5,0.25,1.592,1.24,2.58,4.776,15.004,-0.14,292.32001,-10.95,0.014,10.744
0.033,11.8,5,7.4,3.527,4.94,7,0.3,1.432,1.211,2.47,4.721,14.471,0.11,292.32001,-10.95,0.014,10.175
0.033,11.7,5,7.4,3.529,4.94,6,0.31,1.526,1.153,2.397,4.569,14.365,-0.06,292.32001,-10.95,0.014,10.075
0.033,11.7,5,7.4,3.529,4.95,4,0.32,1.437,1.202,2.437,4.652,14.278,0.1,292.32001,-10.95,0.014,10.075
0.033,9.9,5,7.2,3.565,4.78,5,0.5,1.485,1.193,1.97,3.894,12.521,-0.31,292.32001,-10.95,0.014,8.371
0.033,3.8,5,4.8,3.78,4.19,6,1.15,0.555,0.012,0.629,1.412,6.361,-0.13,292.32001,-10.95,0.014,3.21
0.052,11.7,5,7.4,3.529,4.95,5,0.32,1.436,1.202,2.445,4.678,15.315,0.12,292.32001,-10.95,0.028,10.075
0.052,11.6,5,7.4,3.531,4.91,4,0.32,1.512,1.136,2.383,4.574,15.294,0.0,292.32001,-10.95,0.028,9.975
0.052,11.6,5,7.4,3.531,4.91,7,0.32,1.554,1.178,2.356,4.508,15.165,-0.17,292.32001,-10.95,0.028,9.975
0.052,7.2,5,6.5,3.644,4.62,3,0.73,1.214,1.153,1.271,2.909,10.74,-0.01,292.32001,-10.95,0.028,5.965
0.052,2.9,4,4.7,3.8,3.99,4,1.44,0.528,0.082,0.557,1.201,6.576,0.24,292.32001,-10.95,0.028,2.439
0.071,11.5,5,7.4,3.533,4.9,3,0.33,1.52,1.142,2.354,4.55,15.83,-0.03,292.32001,-10.95,0.042,9.875
0.071,10.7,5,7.3,3.548,4.86,3,0.42,1.462,1.136,2.137,4.173,15.031,0.09,292.32001,-10.95,0.042,9.139
0.071,5.4,5,5.8,3.728,4.49,6,0.91,0.766,0.303,0.834,1.913,9.622,-0.23,292.32001,-10.95,0.042,4.651
0.091,10.7,5,7.3,3.548,4.86,5,0.42,1.434,1.113,2.145,4.204,15.523,0.2,292.32001,-10.95,0.056,9.139
0.091,10.4,5,7.3,3.555,4.84,7,0.46,1.552,1.201,2.128,4.012,15.268,-0.47,292.32001,-10.95,0.056,8.839
