# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.033,9.4,5,7.1,3.577,4.76,7,0.55,1.451,1.174,1.839,3.588,11.909,-0.59,38.06,54.63,0.013,7.934
0.052,12.1,5,7.4,3.522,4.96,5,0.27,1.601,1.238,2.465,4.641,15.716,-0.25,38.06,54.63,0.026,10.475
0.052,11.7,5,7.4,3.529,4.95,3,0.32,1.474,1.178,2.43,4.637,15.303,0.06,38.06,54.63,0.026,10.075
0.052,11.7,5,7.4,3.529,4.95,4,0.32,1.549,1.175,2.388,4.553,15.245,-0.13,38.06,54.63,0.026,10.075
0.052,11.1,5,7.3,3.54,4.91,7,0.39,1.561,1.179,2.237,4.304,14.62,-0.28,38.06,54.63,0.026,9.507
0.052,11.0,5,7.3,3.542,4.89,6,0.39,1.463,1.129,2.204,4.267,14.525,0.09,38.06,54.63,0.026,9.407
0.052,10.1,5,7.2,3.561,4.83,7,0.49,1.485,1.184,2.0,4.086,13.743,-0.11,38.06,54.63,0.026,8.571
0.052,6.7,5,6.4,3.664,4.59,1,0.79,1.1,0.972,1.109,2.592,10.235,-0.14,38.06,54.63,0.026,5.595
0.052,4.9,5,5.4,3.76,4.47,2,1.05,0.65,0.135,0.712,1.57,8.476,0.03,38.06,54.63,0.026,4.247
0.071,11.5,5,7.3,3.533,4.92,7,0.33,1.526,1.148,2.35,4.54,15.808,-0.04,38.06,54.63,0.038,9.907
0.071,11.4,5,7.3,3.535,4.93,2,0.35,1.399,1.139,2.364,4.63,15.719,0.31,38.06,54.63,0.038,9.807
0.071,11.3,5,7.3,3.537,4.92,2,0.36,1.53,1.15,2.287,4.471,15.543,-0.07,38.06,54.63,0.038,9.707
0.071,11.1,5,7.3,3.54,4.89,4,0.38,1.56,1.177,2.24,4.323,15.346,-0.26,38.06,54.63,0.038,9.507
0.071,10.9,5,7.3,3.544,4.87,7,0.41,1.572,1.186,2.218,4.193,15.138,-0.39,38.06,54.63,0.038,9.307
0.071,9.4,5,7.1,3.577,4.76,2,0.55,1.423,1.243,1.846,3.791,13.776,0.08,38.06,54.63,0.038,7.934
0.071,6.8,5,6.4,3.66,4.61,6,0.76,1.108,0.949,1.142,2.647,11.2,-0.3,38.06,54.63,0.038,5.695
0.071,4.7,5,5.2,3.75,4.35,7,0.96,0.652,0.078,0.756,1.687,8.989,-0.39,38.06,54.63,0.038,4.015
0.071,4.7,5,5.2,3.77,4.46,5,1.05,0.617,0.098,0.678,1.509,8.912,0.04,38.06,54.63,0.038,4.079
0.071,1.5,3,4.5,3.79,3.48,3,1.82,0.561,0.132,0.599,1.306,5.712,0.23,38.06,54.63,0.038,1.015
0.071,9.6,5,6.98,3.592,4.91,8,0.42,1.389,1.138,1.891,3.444,13.971,-0.55,38.06,54.63,0.038,8.559
0.091,10.9,5,7.3,3.544,4.9,6,0.41,1.573,1.188,2.22,4.212,15.719,-0.37,38.06,54.63,0.048,9.339
0.091,10.9,5,7.3,3.544,4.9,7,0.41,1.598,1.204,2.223,4.135,15.702,-0.55,38.06,54.63,0.048,9.339
0.091,10.8,5,7.3,3.546,4.86,5,0.41,1.512,1.138,2.136,4.361,15.632,0.0,38.06,54.63,0.048,9.207
0.091,10.7,5,7.3,3.548,4.87,1,0.43,1.5,1.144,2.122,4.303,15.547,0.02,38.06,54.63,0.048,9.139
0.091,10.7,5,7.3,3.548,4.87,3,0.43,1.518,1.153,2.128,4.303,15.491,-0.07,38.06,54.63,0.048,9.139
0.091,9.9,5,7.2,3.565,4.78,7,0.5,1.5,1.201,1.991,3.891,14.761,-0.37,38.06,54.63,0.048,8.371
0.091,9.7,5,7.15,3.57,4.78,3,0.52,1.419,1.22,1.918,3.893,14.47,0.17,38.06,54.63,0.048,8.203
0.091,9.6,5,7.15,3.572,4.77,4,0.53,1.445,1.231,1.887,3.932,14.478,0.04,38.06,54.63,0.048,8.103
0.091,8.0,5,6.7,3.616,4.66,3,0.67,1.322,1.289,1.525,3.169,12.819,0.11,38.06,54.63,0.048,6.662
0.091,7.2,5,6.5,3.644,4.62,4,0.74,1.219,1.155,1.279,2.925,12.076,-0.02,38.06,54.63,0.048,5.965
0.091,6.0,5,5.58,3.737,4.63,8,0.73,0.696,0.121,0.81,1.828,10.872,-0.59,38.06,54.63,0.048,5.812
0.111,10.3,5,7.2,3.557,4.84,5,0.47,1.471,1.171,2.051,4.141,15.53,0.05,38.06,54.63,0.056,8.771
0.111,9.9,5,7.2,3.565,4.79,6,0.51,1.477,1.205,1.958,4.1,15.124,-0.03,38.06,54.63,0.056,8.371
0.111,9.8,5,7.2,3.568,4.77,4,0.51,1.458,1.214,1.937,4.021,15.013,0.04,38.06,54.63,0.056,8.271
0.111,9.7,5,7.15,3.57,4.78,3,0.52,1.471,1.219,1.917,4.002,14.97,-0.09,38.06,54.63,0.056,8.203
0.111,9.5,5,7.1,3.575,4.79,6,0.55,1.46,1.23,1.872,3.925,14.839,-0.1,38.06,54.63,0.056,8.034
0.111,9.2,5,7.1,3.582,4.74,5,0.57,1.441,1.213,1.827,3.71,14.489,-0.3,38.06,54.63,0.056,7.734
0.111,8.4,5,6.9,3.604,4.7,7,0.64,1.352,1.169,1.642,3.375,13.761,-0.4,38.06,54.63,0.056,7.03
0.111,8.2,5,6.7,3.61,4.69,2,0.66,1.344,1.301,1.59,3.249,13.486,0.12,38.06,54.63,0.056,6.862
0.111,7.1,5,6.5,3.648,4.64,7,0.75,1.164,1.006,1.242,2.804,12.413,-0.37,38.06,54.63,0.056,5.93
0.111,5.6,5,5.8,3.717,4.55,3,0.93,0.857,0.535,0.883,2.038,10.974,0.12,38.06,54.63,0.056,4.851
0.111,4.3,5,5.0,3.77,4.32,6,1.09,0.602,0.044,0.684,1.529,9.591,-0.17,38.06,54.63,0.056,3.679
0.111,4.6,5,5.1,3.77,4.44,2,1.11,0.602,0.042,0.684,1.531,9.862,-0.17,38.06,54.63,0.056,3.979
0.111,8.8,5,6.84,3.611,4.82,8,0.5,1.3,1.05,1.623,3.175,14.121,-0.7,38.06,54.63,0.056,7.951
0.137,9.5,5,7.15,3.575,4.76,4,0.54,1.432,1.246,1.875,3.829,15.206,0.09,38.06,54.63,0.063,8.003
0.137,9.5,5,7.15,3.575,4.76,7,0.54,1.473,1.214,1.895,3.758,15.307,-0.38,38.06,54.63,0.063,8.003
0.137,9.3,5,7.1,3.58,4.74,7,0.56,1.456,1.195,1.862,3.621,15.036,-0.5,38.06,54.63,0.063,7.834
0.137,9.1,5,7.0,3.585,4.77,6,0.58,1.434,1.236,1.799,3.798,14.795,-0.12,38.06,54.63,0.063,7.666
0.137,8.8,5,7.0,3.593,4.73,3,0.61,1.411,1.269,1.734,3.725,14.637,0.01,38.06,54.63,0.063,7.398
0.137,8.5,5,7.0,3.601,4.68,3,0.62,1.386,1.258,1.668,3.588,14.168,-0.11,38.06,54.63,0.063,7.098
0.137,8.4,5,6.9,3.604,4.7,7,0.64,1.342,1.123,1.627,3.307,14.05,-0.59,38.06,54.63,0.063,7.03
0.137,8.3,5,6.9,3.607,4.68,6,0.65,1.349,1.193,1.614,3.396,14.071,-0.3,38.06,54.63,0.063,6.93
0.137,7.6,5,6.5,3.63,4.65,7,0.7,1.285,1.243,1.396,3.129,13.315,0.04,38.06,54.63,0.063,6.325
0.137,7.4,5,6.5,3.637,4.61,2,0.7,1.257,1.223,1.346,2.999,13.154,0.06,38.06,54.63,0.063,6.125
0.137,7.3,5,6.5,3.641,4.63,6,0.71,1.216,1.103,1.307,2.945,13.091,-0.22,38.06,54.63,0.063,6.065
0.137,7.0,5,6.5,3.652,4.6,5,0.74,1.183,1.093,1.224,2.789,12.713,-0.1,38.06,54.63,0.063,5.83
0.137,7.0,5,6.5,3.652,4.62,3,0.76,1.178,1.077,1.223,2.786,12.704,-0.14,38.06,54.63,0.063,5.83
0.137,6.3,5,6.3,3.682,4.55,2,0.81,1.027,0.854,1.002,2.401,12.067,-0.04,38.06,54.63,0.063,5.325
0.137,6.4,5,6.3,3.678,4.59,4,0.82,1.06,0.943,1.031,2.464,12.18,0.06,38.06,54.63,0.063,5.425
0.137,6.2,5,6.2,3.687,4.59,2,0.85,1.019,0.874,0.998,2.354,12.02,0.14,38.06,54.63,0.063,5.29
0.137,6.0,5,6.1,3.697,4.57,4,0.86,0.948,0.692,0.939,2.226,11.653,-0.05,38.06,54.63,0.063,5.155
0.137,5.9,5,6.1,3.701,4.56,3,0.88,0.912,0.604,0.918,2.171,11.63,-0.14,38.06,54.63,0.063,5.055
0.137,5.3,5,5.6,3.734,4.49,5,0.94,0.781,0.377,0.836,1.876,11.065,0.1,38.06,54.63,0.063,4.583
0.137,5.2,5,5.5,3.74,4.53,2,1.01,0.738,0.266,0.809,1.815,10.983,-0.06,38.06,54.63,0.063,4.515
0.137,4.2,5,5.0,3.77,4.25,7,1.05,0.565,-0.055,0.687,1.544,9.844,-0.56,38.06,54.63,0.063,3.579
0.137,4.6,5,5.1,3.77,4.44,3,1.1,0.621,0.091,0.687,1.533,10.292,-0.01,38.06,54.63,0.063,3.979
0.137,4.6,5,5.1,3.77,4.44,2,1.12,0.648,0.16,0.692,1.524,10.362,0.21,38.06,54.63,0.063,3.979
0.137,4.2,5,4.8,3.78,4.36,5,1.12,0.573,0.027,0.649,1.458,9.964,-0.11,38.06,54.63,0.063,3.61
0.137,0.5,3,6.1,3.67,2.41,5,1.42,1.149,1.003,1.034,2.499,6.277,-0.1,38.06,54.63,0.063,-0.511
0.137,2.2,5,3.6,3.9,4.22,2,1.75,0.214,0.093,0.237,0.509,7.863,-0.03,38.06,54.63,0.063,1.992
0.137,1.8,4,3.9,3.9,4.07,2,1.85,0.207,0.139,0.225,0.484,7.547,0.18,38.06,54.63,0.063,1.579
0.137,8.0,5,6.64,3.638,4.75,8,0.57,1.186,0.964,1.306,2.857,13.819,-0.62,38.06,54.63,0.063,7.368
0.137,4.8,5,4.87,3.783,4.43,8,0.84,0.487,-0.185,0.642,1.468,10.521,-1.21,38.06,54.63,0.063,4.698
0.137,3.8,4,4.56,3.789,4.1,8,0.91,0.491,-0.102,0.615,1.386,9.64,-0.71,38.06,54.63,0.063,3.712
0.166,8.8,5,7.0,3.593,4.72,3,0.6,1.416,1.267,1.735,3.761,14.882,-0.01,38.06,54.63,0.07,7.398
0.166,8.4,5,6.9,3.604,4.7,4,0.64,1.379,1.259,1.644,3.566,14.624,-0.08,38.06,54.63,0.07,7.03
0.166,8.2,5,6.9,3.61,4.65,7,0.64,1.349,1.225,1.585,3.425,14.287,-0.17,38.06,54.63,0.07,6.83
0.166,8.1,5,6.7,3.613,4.66,3,0.66,1.35,1.265,1.555,3.468,14.219,-0.01,38.06,54.63,0.07,6.762
0.166,7.6,5,6.5,3.63,4.65,4,0.7,1.287,1.256,1.402,3.074,13.809,0.08,38.06,54.63,0.07,6.325
0.166,7.3,5,6.5,3.641,4.63,7,0.72,1.179,0.974,1.296,2.852,13.493,-0.58,38.06,54.63,0.07,6.065
0.166,7.0,5,6.5,3.652,4.6,4,0.73,1.196,1.131,1.23,2.803,13.16,0.0,38.06,54.63,0.07,5.83
0.166,6.5,5,6.3,3.673,4.57,2,0.79,1.057,0.884,1.052,2.513,12.716,-0.21,38.06,54.63,0.07,5.46
0.166,6.0,5,6.1,3.697,4.57,2,0.86,0.97,0.77,0.957,2.237,12.162,0.15,38.06,54.63,0.07,5.155
0.166,5.6,5,6.0,3.717,4.5,3,0.88,0.887,0.608,0.897,2.05,11.849,0.3,38.06,54.63,0.07,4.82
0.166,5.6,5,5.8,3.717,4.53,5,0.89,0.852,0.506,0.882,2.049,11.739,0.04,38.06,54.63,0.07,4.851
0.166,5.8,5,6.0,3.707,4.56,5,0.9,0.898,0.587,0.909,2.138,11.95,-0.05,38.06,54.63,0.07,5.02
0.166,5.7,5,6.0,3.712,4.54,6,0.91,0.87,0.527,0.893,2.093,11.866,-0.06,38.06,54.63,0.07,4.92
0.166,5.5,5,5.8,3.723,4.5,4,0.92,0.831,0.472,0.871,1.998,11.678,0.09,38.06,54.63,0.07,4.751
0.166,4.8,5,5.3,3.75,4.39,6,0.98,0.699,0.197,0.769,1.712,10.896,-0.04,38.06,54.63,0.07,4.115
0.166,4.6,5,5.1,3.77,4.43,3,1.09,0.652,0.167,0.695,1.529,10.752,0.22,38.06,54.63,0.07,3.979
0.166,4.5,5,5.0,3.78,4.44,3,1.11,0.589,0.064,0.652,1.46,10.608,0.03,38.06,54.63,0.07,3.91
