# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.016,12.3,5,7.5,3.518,4.98,1,0.26,1.619,1.269,2.508,4.678,13.403,-0.29,122.68001,24.3,0.0,10.644
0.033,13.7,5,7.65,3.493,5.0,2,0.17,1.686,1.362,2.968,5.322,16.322,-0.05,122.68001,24.3,0.014,11.948
0.033,13.0,5,7.5,3.506,5.03,4,0.21,1.639,1.315,2.758,4.989,15.572,-0.13,122.68001,24.3,0.014,11.312
0.033,12.6,5,7.5,3.513,5.01,4,0.24,1.589,1.242,2.656,4.875,15.191,-0.05,122.68001,24.3,0.014,10.944
0.033,11.2,5,7.3,3.539,4.89,7,0.36,1.601,1.22,2.259,4.233,13.905,-0.48,122.68001,24.3,0.014,9.607
0.052,12.1,5,7.4,3.522,4.97,5,0.28,1.583,1.219,2.485,4.666,15.647,-0.18,122.68001,24.3,0.027,10.475
0.052,11.6,5,7.4,3.531,4.91,3,0.32,1.452,1.194,2.408,4.612,15.243,0.09,122.68001,24.3,0.027,9.975
0.052,11.6,5,7.4,3.531,4.92,2,0.33,1.521,1.146,2.377,4.561,15.275,-0.04,122.68001,24.3,0.027,9.975
0.052,11.2,5,7.3,3.539,4.9,6,0.37,1.512,1.132,2.25,4.458,14.825,0.0,122.68001,24.3,0.027,9.607
0.052,9.6,5,7.15,3.572,4.77,2,0.53,1.448,1.225,1.875,3.972,13.223,0.01,122.68001,24.3,0.027,8.103
0.052,7.1,5,6.5,3.648,4.64,5,0.75,1.188,1.102,1.24,2.824,10.764,-0.1,122.68001,24.3,0.027,5.93
0.052,4.2,5,5.0,3.77,4.27,5,1.11,0.631,0.145,0.677,1.49,7.716,0.19,122.68001,24.3,0.027,3.579
0.052,4.4,5,5.0,3.78,4.42,2,1.15,0.577,0.059,0.634,1.42,8.007,0.05,122.68001,24.3,0.027,3.81
0.052,1.9,4,4.0,3.89,4.07,2,1.81,0.222,0.089,0.257,0.538,5.564,-0.22,122.68001,24.3,0.027,1.655
0.071,11.7,5,7.4,3.529,4.95,2,0.32,1.391,1.174,2.472,4.838,15.909,0.33,122.68001,24.3,0.04,10.075
0.071,11.4,5,7.3,3.535,4.93,2,0.35,1.524,1.146,2.32,4.518,15.699,-0.03,122.68001,24.3,0.04,9.807
0.071,11.2,5,7.3,3.539,4.89,4,0.36,1.529,1.148,2.257,4.438,15.44,-0.08,122.68001,24.3,0.04,9.607
0.071,11.3,5,7.3,3.537,4.93,7,0.37,1.589,1.209,2.283,4.351,15.563,-0.35,122.68001,24.3,0.04,9.707
0.071,11.2,5,7.3,3.539,4.9,3,0.37,1.498,1.141,2.263,4.447,15.6,0.03,122.68001,24.3,0.04,9.607
0.071,11.1,5,7.3,3.54,4.88,7,0.37,1.56,1.176,2.24,4.327,15.43,-0.25,122.68001,24.3,0.04,9.507
0.071,11.0,5,7.3,3.542,4.89,1,0.39,1.482,1.132,2.202,4.32,15.371,0.06,122.68001,24.3,0.04,9.407
0.071,10.8,5,7.3,3.546,4.89,3,0.42,1.521,1.147,2.145,4.323,15.041,-0.07,122.68001,24.3,0.04,9.239
0.071,10.4,5,7.3,3.555,4.84,7,0.46,1.528,1.186,2.099,4.082,14.679,-0.31,122.68001,24.3,0.04,8.839
0.071,10.1,5,7.2,3.561,4.83,3,0.49,1.482,1.185,1.995,4.149,14.318,-0.03,122.68001,24.3,0.04,8.571
0.071,9.9,5,7.2,3.565,4.78,6,0.5,1.472,1.201,1.95,4.088,14.132,-0.03,122.68001,24.3,0.04,8.371
0.071,9.8,5,7.15,3.568,4.81,4,0.52,1.478,1.204,1.945,3.957,14.034,-0.19,122.68001,24.3,0.04,8.303
0.071,9.7,5,7.15,3.57,4.79,7,0.53,1.469,1.212,1.916,3.949,13.93,-0.15,122.68001,24.3,0.04,8.203
0.071,9.6,5,7.15,3.572,4.78,7,0.54,1.47,1.21,1.904,3.823,13.981,-0.29,122.68001,24.3,0.04,8.103
0.071,8.4,5,6.9,3.604,4.69,6,0.63,1.351,1.182,1.634,3.393,12.768,-0.34,122.68001,24.3,0.04,7.03
0.071,7.7,5,6.7,3.626,4.63,1,0.69,1.289,1.286,1.422,3.051,12.085,0.16,122.68001,24.3,0.04,6.393
0.071,6.3,5,6.3,3.682,4.56,2,0.82,1.02,0.852,0.994,2.381,10.58,-0.03,122.68001,24.3,0.04,5.325
0.071,4.2,5,5.0,3.77,4.25,7,1.05,0.564,-0.044,0.678,1.521,8.542,-0.48,122.68001,24.3,0.04,3.579
0.071,6.2,5,5.75,3.726,4.65,8,0.71,0.704,0.046,0.832,1.93,10.566,-1.19,122.68001,24.3,0.04,5.982
0.091,10.6,5,7.3,3.55,4.88,7,0.44,1.556,1.193,2.16,4.117,15.535,-0.39,122.68001,24.3,0.052,9.039
0.091,10.5,5,7.3,3.552,4.86,5,0.45,1.503,1.16,2.081,4.284,15.307,-0.01,122.68001,24.3,0.052,8.939
0.091,10.2,5,7.2,3.559,4.85,2,0.48,1.495,1.183,2.028,4.164,15.106,-0.07,122.68001,24.3,0.052,8.671
0.091,9.5,5,7.1,3.575,4.79,5,0.55,1.467,1.214,1.887,3.79,14.278,-0.31,122.68001,24.3,0.052,8.034
0.091,9.5,5,7.1,3.575,4.79,6,0.55,1.468,1.212,1.889,3.771,14.381,-0.34,122.68001,24.3,0.052,8.034
0.091,9.4,5,7.1,3.577,4.76,7,0.55,1.463,1.199,1.879,3.655,14.201,-0.48,122.68001,24.3,0.052,7.934
0.091,9.1,5,7.0,3.585,4.77,4,0.58,1.417,1.256,1.794,3.734,14.01,0.05,122.68001,24.3,0.052,7.666
0.091,8.8,5,7.0,3.593,4.72,4,0.6,1.409,1.252,1.73,3.712,13.649,-0.07,122.68001,24.3,0.052,7.398
0.091,7.1,5,6.5,3.648,4.58,7,0.72,1.168,1.022,1.24,2.808,12.023,-0.33,122.68001,24.3,0.052,5.865
0.091,6.4,5,6.3,3.678,4.56,4,0.8,1.057,0.94,1.026,2.454,11.334,0.06,122.68001,24.3,0.052,5.36
0.091,6.1,5,6.2,3.692,4.55,2,0.82,0.985,0.793,0.965,2.282,10.987,0.09,122.68001,24.3,0.052,5.19
0.091,6.0,5,6.2,3.697,4.52,7,0.82,0.895,0.508,0.921,2.196,10.902,-0.55,122.68001,24.3,0.052,5.09
0.091,5.6,5,5.8,3.717,4.55,1,0.92,0.843,0.49,0.872,2.034,10.501,0.0,122.68001,24.3,0.052,4.851
0.091,5.0,5,5.5,3.75,4.47,5,0.99,0.72,0.273,0.772,1.694,9.798,0.18,122.68001,24.3,0.052,4.315
0.091,4.7,5,5.2,3.77,4.46,4,1.06,0.633,0.131,0.687,1.517,9.618,0.13,122.68001,24.3,0.052,4.079
0.091,4.2,5,4.8,3.78,4.37,4,1.15,0.558,-0.008,0.645,1.452,8.969,-0.23,122.68001,24.3,0.052,3.61
0.091,10.6,5,7.11,3.573,4.99,8,0.3,1.49,1.151,2.209,3.62,15.389,-0.86,122.68001,24.3,0.052,9.335
0.091,9.6,5,6.98,3.592,4.91,8,0.42,1.398,1.165,1.897,3.513,14.479,-0.42,122.68001,24.3,0.052,8.559
0.111,10.2,5,7.2,3.559,4.85,3,0.48,1.496,1.185,2.028,4.196,15.441,-0.03,122.68001,24.3,0.064,8.671
0.111,10.0,5,7.2,3.563,4.81,2,0.5,1.473,1.198,1.984,4.11,15.333,0.02,122.68001,24.3,0.064,8.471
0.111,9.9,5,7.2,3.565,4.79,5,0.51,1.479,1.207,1.96,4.112,15.287,-0.02,122.68001,24.3,0.064,8.371
0.111,9.6,5,7.15,3.572,4.78,2,0.54,1.412,1.234,1.9,3.903,14.812,0.23,122.68001,24.3,0.064,8.103
0.111,9.1,5,7.0,3.585,4.77,3,0.58,1.403,1.27,1.803,3.66,14.368,0.16,122.68001,24.3,0.064,7.666
0.111,9.0,5,7.0,3.587,4.75,3,0.59,1.426,1.229,1.782,3.727,14.319,-0.18,122.68001,24.3,0.064,7.566
0.111,7.8,5,6.7,3.623,4.66,4,0.69,1.31,1.241,1.457,3.313,13.05,-0.02,122.68001,24.3,0.064,6.493
0.111,7.4,5,6.5,3.637,4.62,6,0.71,1.232,1.122,1.335,2.999,12.606,-0.21,122.68001,24.3,0.064,6.125
0.111,7.1,5,6.5,3.648,4.63,3,0.73,1.216,1.191,1.27,2.845,12.347,0.12,122.68001,24.3,0.064,5.93
0.111,7.1,5,6.5,3.648,4.64,6,0.75,1.212,1.154,1.26,2.869,12.464,0.02,122.68001,24.3,0.064,5.93
0.111,6.1,5,6.2,3.692,4.56,2,0.85,0.975,0.746,0.961,2.287,11.454,-0.05,122.68001,24.3,0.064,5.19
0.111,5.8,5,6.0,3.707,4.55,7,0.88,0.882,0.534,0.904,2.128,11.108,-0.19,122.68001,24.3,0.064,5.02
0.111,4.6,5,5.1,3.76,4.36,6,1.03,0.634,0.063,0.725,1.607,9.929,-0.24,122.68001,24.3,0.064,3.947
0.111,3.7,5,4.5,3.81,4.33,2,1.28,0.498,0.025,0.534,1.136,9.066,0.11,122.68001,24.3,0.064,3.206
0.111,1.2,3,4.0,3.85,3.68,2,2.01,0.35,0.069,0.366,0.77,6.431,0.02,122.68001,24.3,0.064,0.859
0.111,8.4,5,6.75,3.623,4.78,8,0.54,1.212,0.847,1.466,2.931,13.741,-1.23,122.68001,24.3,0.064,7.657
0.111,6.2,5,5.75,3.726,4.65,8,0.71,0.712,0.055,0.842,1.952,11.533,-1.18,122.68001,24.3,0.064,5.982
0.131,8.9,5,7.0,3.59,4.72,5,0.59,1.421,1.233,1.765,3.696,14.465,-0.19,122.68001,24.3,0.075,7.466
0.131,8.8,5,7.0,3.593,4.73,3,0.61,1.416,1.254,1.74,3.725,14.51,-0.08,122.68001,24.3,0.075,7.398
0.131,8.6,5,7.0,3.598,4.71,3,0.62,1.403,1.281,1.695,3.688,14.181,0.0,122.68001,24.3,0.075,7.198
