,RA,DEC,ECLONG,ECLAT,V,Ks,TESSMAG,TEFF,RADIUS,MASS,CONTRATIO,SELECTED,tess_ccd,obs_len,isMdwarf,cosi,noise_level,Nplanets,planetRadius,planetPeriod,starID,T0,Ntransits,ars,ecc,rprs,impact,duration,duration_correction,transit_depth,transit_depth_diluted,nsectors
2665,277.816933,6.836104,278.973816,30.032212,10.744000000000002,6.744,8.8509998,3679.0,0.48199999,0.51599997,0.29889879,True,2,27.4,True,0.06010132753886066,122.1530028854958,4,2.993058005137865,1.942427784493041,1223,0.5255073964965833,14.0,10.906088939051731,0.03996586044720079,0.05684947428533588,0.6306691543521277,0.04821397933133752,1.07570233055065,3231.862726519065,2488.155929777304,1.0
2666,277.816933,6.836104,278.973816,30.032212,10.744000000000002,6.744,8.8509998,3679.0,0.48199999,0.51599997,0.29889879,True,2,27.4,True,0.06010132753886066,122.1530028854958,4,1.8082386595287443,3.0039576982219827,1223,0.439710127948124,9.0,14.58483954944326,0.020087022962490673,0.03434528064613788,0.8816248492879342,0.03553620067063271,0.9235089691471248,1179.5983026619735,908.1525918289396,1.0
2776,260.990131,-65.702209,264.992296,-42.419465,6.625,6.731999900000001,6.671999900000001,9355.0,2.3406301,2.3757567,0.004999845300000001,True,2,27.4,False,0.102174128153127,69.93116261783726,1,3.7152111726662285,6.87380442400761,1360,3.5055976793605916,4.0,8.676320117453226,0.03150908487514719,0.014531453853284774,0.8706741357954685,0.13209907508481916,1.7805554756973059,211.1631510901449,210.11262049210683,1.0
3183,287.898198,61.669621,336.244099,80.83113799999998,12.419,10.405999999999999,11.610999999999999,5370.0,0.83493,0.9302308000000001,0.1540812,True,4,328.7999999999999,False,0.011182987729049021,487.1124785597324,2,3.4306825971485413,11.4280918872047,1669,5.805451277938576,29.0,24.972704167973514,0.04731983648050354,0.037617404066083264,0.26826818200441443,0.14605500779877195,1.8722500332943053,1415.0690886709774,1226.1434365891912,12.0
3264,100.026774,-39.312466,106.77055700000001,-62.169256,9.5190001,7.9229999000000015,8.869999900000002,5922.0,0.95105499,1.0789161,0.038603667,True,3,54.8,False,0.004058830314762063,123.05066847765335,2,3.0673176978939543,14.051797863198571,1785,13.355393150876012,3.0,26.437138301598548,0.12283883217197847,0.029526466733768093,0.11637057165892305,0.17311107178790675,2.038299713709876,871.812237780314,839.4080104671092,2.0
3280,65.982803,-66.737144,347.903522,-80.537664,6.9629997999999995,6.2140002,6.703000099999999,7290.0,2.3593599999999997,1.6462146,0.0073686936,True,4,356.2,False,0.007756640947390703,70.21951857227225,1,1.7595450783794773,10.237453441666107,1802,2.5176348490844545,35.0,9.933420377340706,0.019223320180211605,0.00682754441567379,0.07844790295012075,0.329861047794932,2.8136568993177486,46.615362747998354,46.274381012785476,13.0
3317,129.581615,-75.095993,231.020234,-74.89879300000003,9.5010004,7.900000099999999,8.9049997,6104.0,1.12982,1.148167,0.045551971,True,4,137.0,False,0.05161163789695344,124.73387128468494,1,3.989662024791047,7.785683664504738,1857,5.128110489817245,17.0,15.32709499230594,0.011336441028508473,0.03232847341785597,0.7997512828263388,0.10571916082765764,1.5928778546592277,1045.1301935290198,999.5965982727986,5.0
3320,81.60004399999998,-43.375698,74.640051,-66.367673,8.198,7.2069997999999975,7.822999999999999,6752.0,1.44164,1.4431945,0.51186889,True,3,82.19999999999997,False,0.08025411780193538,87.42463441895111,2,1.7561109838564108,2.0678512175305195,1862,1.8629139278172124,39.0,5.356328953619534,0.022089483789074302,0.011152018574127688,0.4260116881490783,0.11361803164369312,1.6513124354429831,124.36751827768894,82.2607827307624,3.0
3433,206.544646,-35.172752,217.656709,-22.532134,8.2749996,7.178,7.820000200000001,6733.0,1.6510900000000002,1.4353623,0.0072058742,True,1,27.4,False,0.0022439693461240307,87.3557862692748,4,3.9259170796421246,9.974469364569,2006,4.9986953502499,3.0,13.327413821667786,0.0995470815120029,0.021768511022490385,0.032302403800290966,0.24353223679255065,2.417596675010374,473.8680721362854,470.477867806984,1.0
3531,62.879964,-26.764166,53.497076,-46.825504,9.2930002,7.75,8.703000099999999,5804.0,1.3620700000000001,1.0429517,0.0022940091,True,2,27.4,False,0.019587663381053225,115.53341697165631,1,1.5210243933660377,0.8401092969400183,2150,0.3912565738796303,33.0,2.790714546577897,0.0036316106859382116,0.010223394040883418,0.05446819799381116,0.09892118708982843,1.5408142296058542,104.51778571517059,104.27856972728121,1.0
4258,130.256753,-9.051982,135.419919,-26.36791,6.6300000999999975,6.6220002000000004,6.642000200000001,9638.0,2.1331,2.4564347,0.011293158000000001,True,1,27.4,False,0.03765404161580277,69.65926176609811,2,3.813037652600905,7.15329413207704,2801,2.1527500696694264,4.0,9.886232774900877,0.06490019727891252,0.016365083544869572,0.3615268295719194,0.21927015370703276,2.2940103942590993,267.81595943056084,264.82524608414366,1.0
4391,48.183953,-54.52821700000001,10.66375,-66.814419,10.254000000000001,8.3990002,9.415,6062.6001,1.1294899999999999,1.0897185,0.17437626,True,3,54.8,False,0.18461393898771086,154.14027382006694,1,1.7830263454858115,1.4325494762113995,2978,0.4646875147730198,38.0,4.874144373476184,0.19737980670009544,0.014452191867942703,0.7127823690633814,0.06897477547224284,1.286621393936005,208.86584978782918,177.85258175078334,2.0
4590,195.06288,-44.189491,212.917248,-34.429569,11.495,9.3559999,10.681,5091.2998,0.85761797,0.82316405,0.024929287,True,2,27.4,False,0.036466877839121725,286.3946251296217,3,3.0184479629750114,8.286051985719633,3238,1.2272177083844624,4.0,18.838064500482012,0.023962950403298832,0.03222167919480072,0.6882287718528848,0.10781203392628202,1.6085673172829196,1038.2366101326536,1012.9836499956057,1.0
4591,195.06288,-44.189491,212.917248,-34.429569,11.495,9.3559999,10.681,5091.2998,0.85761797,0.82316405,0.024929287,True,2,27.4,False,0.036466877839121725,286.3946251296217,3,9.796082093032398,6.977379983990987,3238,4.776976967113487,4.0,16.798329426146296,0.04327513268164673,0.1045723558727572,0.637577755485656,0.11939146306290176,1.6927477997355789,10935.37761277858,10669.397149130911,1.0
4813,187.762119,-20.314281,195.305817,-15.55357,8.5570002,7.375999900000001,8.112999900000002,6495.0,1.30732,1.3290832000000001,0.00045862843,True,1,27.4,False,0.04451391101558255,94.8462206944733,1,1.8981988384820483,5.827409677136815,3506,2.860664687234768,5.0,11.465388340511527,0.021739284018910558,0.013292851303661805,0.518318950852706,0.14114069869548915,1.8404827542500202,176.6998957812633,176.61889333550445,1.0
4988,313.348136,-40.870525,304.1645220000001,-22.434001,10.331,8.350999799999999,9.5909996,5307.0,1.24621,0.91316319,0.011649795,True,1,27.4,False,0.046506411781245705,166.73978770007136,2,3.856714618773372,6.31406250969629,3761,1.6107905573174963,5.0,11.19610775216263,0.014010862220020228,0.028332481953178213,0.5278490866484515,0.15875916432490708,1.9519784690917492,802.7295336271692,793.4855891777934,1.0
