,TESSMAG,Ks,transit_depth,planetPeriod,RADIUS,TEFF
2717,5.6409998,5.4569998,201.09055172641197,4.312093285025568,2.1858499,10300.7
3146,9.013999900000002,8.0369997,811.0986405278376,3.451432366493434,1.1670200000000002,5655.0
3256,9.0190001,6.978000200000001,2718.345478761637,6.476319661907469,0.56400001,3863.0
3436,8.7419996,7.923999799999999,380.4163857866809,6.590007578456715,1.61499,6105.0
4066,6.3410001,6.1760000999999995,162.78412697612788,6.286271162883883,1.80013,9525.46
4186,5.7290000999999995,5.3140000999999994,84.28201917970956,4.467238050331432,2.3567400000000003,7413.0
4295,10.21,8.602999699999998,292.8155718815085,3.062751833903872,0.81173199,4549.0
4296,10.21,8.602999699999998,579.9110474884795,10.800750982717792,0.81173199,4549.0
4514,9.967,8.880999599999997,733.2396527433463,2.5187014171467443,1.15354,5465.0
4720,9.8149996,8.7349997,1568.1727626983252,6.308867541641628,0.96820998,5567.0
4742,9.7110004,8.887000099999998,896.3939248212711,4.381996698391371,1.0979299999999999,6515.0
4771,9.1660004,8.277999900000001,3091.277544439637,3.5822904333036236,1.11958,5704.0
4864,9.4729996,8.3920002,128.1471856160897,2.7172894868808486,0.98003,5375.0
4865,9.4729996,8.3920002,1292.7590263051202,5.7936488639594845,0.98003,5375.0
4905,10.033999999999999,8.4049997,297.29438646852225,9.007488224375793,0.72142798,4418.0
4909,9.916999800000001,8.786999699999999,1247.6196372074592,6.657835039015351,0.98752898,5395.0
5271,9.666999800000001,8.9359999,625.6274559984843,9.835467203708417,1.36026,6269.0
5283,9.967,9.005999599999997,1112.11778644763,8.3457066858954,1.11542,5733.0
5356,9.963000300000001,8.704000500000001,388.40698023577596,42.12440542743281,0.931844,5243.0
5500,10.946,9.8319998,1764.2520365342014,2.4829632784481497,0.852,5311.0
5524,10.19,9.246999699999998,1388.0388048265424,6.718245661589598,1.09657,6003.0
5680,10.191,9.1820002,615.1913504955633,6.983016242489433,1.08085,5642.0
5681,10.191,9.1820002,18004.204491796,4.350178977845413,1.08085,5642.0
5777,9.8140001,8.7580004,430.9263883943989,8.308272124325228,1.08538,5654.0
5817,10.568,9.602000199999999,268.71883410667044,18.626859441372527,1.17387,5950.0
6149,10.154,8.921999900000003,271.6160287748906,8.79245331647176,0.92133701,5213.0
6275,10.907,9.803000500000001,2112.9292533364223,3.7168258028428975,0.82235497,5377.0
6282,11.081,9.5860004,1532.8540565259345,3.861840072052372,0.77394003,4775.0
6335,10.437000000000001,9.5839996,1196.2368896831692,9.945107244141784,1.02654,6011.0
6511,10.366,8.9829998,1688.0095539456265,4.687863851995767,0.81846601,4871.0
6805,10.459000000000001,9.548000300000002,397.08867476861366,2.3793679999736317,1.22252,5990.0
7107,10.627,8.411000300000001,2071.397171092813,6.364245503994996,0.40599999,3535.0
7346,12.218,10.21,1749.1936950742581,13.499084858127251,0.69358301,4258.0
7408,10.71,8.423000300000002,1197.5877776949546,8.825442379270267,0.38100001,3487.0
7749,11.514000000000001,9.3149996,2237.988472897511,9.820930617553481,0.38600001,3497.0
8077,11.189,9.7930002,1246.0313529717564,30.771418729788977,0.91036701,5181.0
8443,11.337,9.687999699999999,793.6288673638312,3.1051806529874613,0.727036,4449.0
9126,14.950999999999999,12.436,11144.06577902265,5.202252298914824,0.244,3210.0
9640,12.67,9.9569998,6773.470664396689,23.49657605999898,0.28799999,3306.0
10823,12.54,10.445,3844.811670152005,8.845881044989335,0.51099998,3737.0
11331,13.136,10.58,8489.644674030846,6.003618849853959,0.330367,3266.0
11333,13.136,10.58,3319.368273272509,6.1431044276208375,0.330367,3266.0
12483,14.207,11.540999999999999,11721.847830711824,2.3426177621097817,0.301404,3212.0
13560,13.478,11.155,6475.969495214267,16.703823039588553,0.35499999,3438.0
14032,13.047,10.922,5681.422697462397,2.1794254455871838,0.46200001,3641.0
14241,12.822000000000001,10.177,13510.381078721013,6.831721606033192,0.19400001,3085.0
14242,12.822000000000001,10.177,25787.70654212457,8.554985209432825,0.19400001,3085.0
14700,13.434000000000001,11.133,5682.75448195696,6.686967016365624,0.37200001,3470.0
15040,13.368,10.860999999999999,4022.174672262166,3.140863906640495,0.35700101,3314.0
16822,8.7349997,7.685999900000001,307.81021519073425,5.758069833866558,1.30674,6164.0
17004,9.302,8.2729998,671.3817589780888,6.160043901170104,1.0846200000000001,5652.0
17399,11.946,9.3450003,2102.449327761616,26.877243856362234,0.30455101,3218.0
18550,14.630999999999998,12.077,12220.248850975713,2.98689037971901,0.25600001,3236.0
20736,11.360999999999999,10.463,1839.4518880521728,5.991997224214543,0.71587598,6137.0
20753,10.259,9.380000099999998,634.6408953599419,4.288452260516461,1.30328,6168.0
20865,10.466,9.345999699999998,942.5116676219252,7.348395216290103,0.93909699,5451.0
20882,10.652999999999999,9.717,2395.8807691369875,23.75227088390788,1.07681,6216.0
20908,10.754000000000001,9.8339996,842.9143703297957,19.33406298388241,0.95818901,6287.0
20962,10.466,9.395999900000001,373.1020664716186,2.2551496979936583,0.77256697,5529.0
21238,9.998000099999999,9.187999699999999,980.380962110885,3.4435031494819195,1.14792,6287.0
21342,11.165999999999999,10.365,1146.65152329364,5.432442120312926,0.95859498,6448.5
21656,9.3179998,8.385999700000001,555.0602632954009,10.78351090765095,1.4880000000000002,6371.0
21667,9.758999800000002,8.6700001,299.23676495245047,4.2698791311364195,1.0079200000000001,5449.0
21781,9.272999800000001,8.302,785.529320739933,2.188079245479524,1.08236,5646.0
21783,9.272999800000001,8.302,732.1940708561847,10.496277782229887,1.08236,5646.0
